,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
1304,Learnt,An online marketplace that allows students to seamlessly and instantaneously connect with highly vetted tutors online and in-person.,https://learnt.io," E-Commerce, E-Learning, EdTech, Education",01 to 10 ," New York, New York, United States",2017," Commerce and Shopping, Education, Software",,software_2017
1305,LedgerPrime,LedgerPrime is a Digital Asset Investment Firm,https://www.ledgerprime.com/," Banking, FinTech, Information Technology, Venture Capital",01 to 10 ," Miami, Florida, United States",2017," Financial Services, Information Technology, Lending and Investments","LedgerPrime is a quantitative and systematic investment firm in the Digital Asset space. With a data centric approach and a commitment to rapid innovation and technology, LedgerPrime seeks to become a global leader in generating sustained and superior risk-adjusted returns.",software_2017
1306,Ledgie,Ledgie is an upcoming personal finance app for cryptocurrency users.,https://www.ledgie.io," Blockchain, Financial Services, FinTech, Internet, Mobile, Mobile Apps, Payments",01 to 10 ," Berkeley, California, United States",2017," Apps, Financial Services, Internet Services, Mobile, Other, Payments, Software",Ledgie is an upcoming website where cryptocurrency users can manage their finances.,software_2017
1307,Legacy Beta,Legacy Beta is a provider of IT consulting and contracting services.,https://www.legacybeta.com/," Consulting, Information Technology",01 to 10 ," Dover, Delaware, United States",01-01-17 0:00," Information Technology, Professional Services",,software_2017
1308,LegacyBook,Fintech SaaS Mobile Application,https://www.legacybookapp.com," FinTech, Software",01 to 10 ," Wichita, Kansas, United States",2017," Financial Services, Software","LegacyBook is a revolutionary, fully mobile solution for financial planners and their clients to better manage their estates while capturing and preserving their legacies. Built with both financial planners and their clients in mind, LegacyBook helps financial planners have conversations with their clients about 9 key life domains that informs the wealth building process while providing financial planners a comprehensive tool that touches the soft-side of financial planning and provides a strong referral base.",software_2017
1309,LegalLeaf,"LegalLeaf is a case management software that provides paperless documentation, document organization and tracking.",https://legalleaf.org/tailored/," Assistive Technology, Management Information Systems, Software",01 to 10 ," Oviedo, Florida, United States",2017," Health Care, Information Technology, Software",,software_2017
1310,LegatumX,LegatumX is transform traditional documents into Blockchain smart contracts.,https://legatumx.com/," Computer, Software",01 to 10 ," Santa Monica, California, United States",2017," Consumer Electronics, Hardware, Software",LegatumX is transform traditional documents into Blockchain smart contracts.,software_2017
1311,Leisurely,"Leisurely is a booking platform for discovery and culinary experiences including hospitality, cooking classes, marketplace and ticketing.",https://www.leisurelyapp.co," App Discovery, Online Portals, Service Industry",01 to 10 ," New York, New York, United States",2017," Apps, Internet Services, Other, Sales and Marketing, Software",,software_2017
1312,Lemacks Media,World's Leading Web Developer | Web Designer | Hosting Company | Solutions Provider,https://lemacksmedia.com," Business Information Systems, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Google, SEO, Web Development, Web Hosting",01 to 10 ," Winnabow, North Carolina, United States",01-01-17 0:00," Hardware, Information Technology, Internet Services, Platforms, Privacy and Security, Sales and Marketing, Software","Lemacks Media offers business solutions including: Web Design/Development, Web Hosting, Productivity Solutions like Google © G Suite © and more. Learn how you can manage your businesses website and SEO assets with Lemacks Media!",software_2017
1313,Leo,Leo is an augmented reality app that allows people to experience advanced augmented reality through realistic animated and 3D objects.,https://www.leoapp.com/," Apps, Augmented Reality, Digital Media",01 to 10 ," San Francisco, California, United States",2017," Apps, Hardware, Media and Entertainment, Software","Leo, formerly known as Surreal, is an augmented reality app that allows people to experience advanced augmented reality through realistic animated and 3D objects. The phone camera becomes a portal and tool that allows anyone to augment their world through Surreal. People can customize any surrounding environment into their wildest dreams: expressing themselves in a new mixed reality space, as well as sharing with family, friends and other social outlets.

Surreal has hundreds of realistic animated 3D objects. In addition to that, Surreal has special effects like money falling, balloons flying or a rain of roses. People can customize the real world how they want, and whenever they want.",software_2017
1314,Levered Learning,Levered Learning is a classroom-tested and teacher-designed instructional system providing 3rd-5th grade mathematical learning.,https://www.levered.com," E-Learning, EdTech, Education",01 to 10 ," Soquel, California, United States",2017," Education, Software","Levered Learning is a classroom-tested and teacher-designed instructional system providing 3rd-5th grade mathematical learning. The company was founded in 2017 by Mitch Slater and is headquartered in Soquel, California, United States.",software_2017
1315,LexiconAI,"Voice-operated, intelligent assistant for professionals",https://www.lexicon.ai,Speech Recognition,01 to 10 ," San Francisco, California, United States",01-01-17 0:00," Data and Analytics, Software","LexiconAI is built for lawyers, doctors and other professionals who are frustrated with the valuable hours they lose filling out paperwork. LexiconAI empowers professionals by providing them with an intuitive, easy to use user interface that is hands and eyes free. With LexiconAI, professionals can tackle their documentation at twice the speed of typing, saving time and money.

",software_2017
1316,LienIQ,LienIQ decentralizes residential non-performing second lien analytics-based investing.,http://www.lieniq.com," Information Technology, Real Estate Investment",01 to 10 ," New York, New York, United States",01-01-17 0:00," Financial Services, Information Technology, Real Estate","In this late-cycle credit environment, several factors suggest off-the-run, short-duration,
high-yielding assets may be the sweet spot in the credit investment space as these types
of assets may outperform through a much overdue downturn. A firm with the right expertise
in real estate, credit modeling, and application development can position itself to capture this
opportunity.

These factors include, but are not limited to: (1) Low rates and flat yield curves, which indicate that the market may not be
compensating investors for moving out the maturity spectrum. (2) A re-levered consumer base that may not be able to meet their financial obligations
and may therefore change spending behavior. (3) Punitive regulations instituted after the last financial crisis potentially making
originators, mainly banks, less apt to hold distressed assets on balance sheet. (4) A reluctance of traditional managers to engage in smaller, fragmented asset
markets that may be costly to enter.

LienIQ is that firm. We are made up of fixed income and technology professionals that are
committed to capturing unique investment opportunities in the consumer credit space.
By marrying cutting-edge, machine-learning based, financial modeling and traditional real
estate capital structure analysis with the distributed, bottom-up power of blockchain
technology, we can engage the broader investment community and democratize the rewards
from this endeavor.

Our first order of business is purchasing and working out Non-Performing Loans (NPL’s)
in the second lien mortgage space. NPL’s present a unique opportunity because they are
rising in volume, can be sourced effectively through our network, and traditional funds tend to
avoid them because are smaller in size and carry headline risk. Furthermore, they are
buttressed by home prices, which may continue to rise through the next downturn. By
researching the market, the team discovered that a rigorous, model-driven approach was
lacking and that a scale-able second lien portfolio pricing engine may provide smaller
participants a marked advantage. In response to this insight, the team created the first version
of a small-scale, proprietary lien scoring system to evaluate claims.

Our vision is to institute a best-in-class investment process for the consumer credit space
through the next downturn so we may generate dividends for our token-holders. With
improvements of our quanta-mental approach, LienIQ will solidify this competitive
advantage. We already built and used the first version of this model to evaluate ~$5MM in
second lien portfolios and purchase several individual liens. In addition, we developed similar
models for other consumer credit assets, like unsecured term loans used for pricing and
underwriting purposes. By enhancing the model suite with more relevant and timely historical
performance data, additional human capital, and an expanded sourcing network, we may be
able to not only project future cash-flows, but also the borrower order of payments across
many financial obligations. We then may be able to intelligently select, purchase, and workout
those portfolios to monetize this informational advantage and outperform other market
participants. ",software_2017
1317,Life Bot,Life Bot is the only voice app you need to complete daily activities with your voice.,http://www.asklifebot.com," Apps, Mobile Apps, Scheduling",01 to 10 ," San Francisco, California, United States",2017," Apps, Information Technology, Mobile, Software",Life Bot is the only voice app you need to complete daily activities with your voice. Life Bot is a team of voice designers and developers making it their mission to build the best voice apps for Alexa and Google home.,software_2017
1318,Life Snapshot,"Life Snapshot is a digital storage vault that protects personal assets, final wishes, and critical documents.",https://www.lifesnapshot.com/,Data Storage,01 to 10 ," Chicago, Illinois, United States",2017," Hardware, Software","Life Snapshot is a digital storage vault that protects personal assets, final wishes, and critical documents.

The company's technology helps families organize personal assets and final wishes so their loved ones can easily find them while grieving.

It was founded in Chicago, Illinois in 2017 by Cheri Williams-Franklin.",software_2017
1319,JGist,JGist is the developer of a mobile application intended to connect consumers and companies respectfully .,https://www.jgist.com/," Communications Infrastructure, Information Technology, Messaging, Social Network",01 to 10 ," Minneapolis, Minnesota, United States",2017," Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Developer of a mobile application intended to connect consumers and companies respectfully within the normal flow of their conversations. The company's symbol powered messaging system helps in solving problems of communication, information overload and inefficient advertising and it introduces messages of disney quality with symbols, pictures, sounds, emotions and personally fit, enabling people to connect with commonly used or popular symbols.",software_2017
1320,JITX,JITX provides electronic design as a service.,https://www.jitx.com/,Software,01 to 10 ," Berkeley, California, United States",2017,Software,JITX provides electronic design as a service. Their in-house technology automates routine error-prone work to ensure high-quality results.,software_2017
1321,JobMethods Inc.,Recruitment of high-salaried professionals,https://www.jobmethods.com," Human Resources, Information Technology, Software, Staffing Agency",01 to 10 ," Fremont, California, United States",2017," Administrative Services, Information Technology, Software","JobMethods connects hi-tech professionals to highly matched opportunities, saving time and bringing real results. Professionals work with our highly rated interviewing and coaching platform and our staff who understand their needs and their skills to link them with hiring managers and employers that are a glove fit.

Small and mid-sized employers benefit from our no-nonsense pricing, anti-bias policies and very high quality candidates that are custom matched by machine and people for each job opening. We do the legwork and provide report on each candidate referral to complement any current recruiting, sourcing and pre-screening effort.",software_2017
1322,Join Digital,Join Digital manages public and private cloud data and apps through predictive analytics engine.,https://joindigital.com/," Analytics, Apps, Big Data, Cloud Data Services, Information Technology, Internet, Software",01 to 10 ," Sunnyvale, California, United States",2017," Apps, Data and Analytics, Information Technology, Internet Services, Software","Cloudbus simplifies IT infrastructure by managing public and private cloud data and apps through predictive analytics engine. Cloudbus connects enterprises to their premise and public cloud data, securely, reliably, and elastically through our full-stack, cloud-first infrastructure.

With Cloudbus, companies with sensitive data can reduce their IT costs without sacrificing performance, access, or data assurance. Its connectivity service reduces the attack surface of the network, encrypts and scrambles data in flight, and enforces user traffic to remain on the private network.",software_2017
1323,Jonny Dapper,Custom Suits For Men & Women,https://www.jonnydapper.com/," E-Commerce, Fashion, Made to Order, Men's, Retail, Retail Technology, Shoes, Women's",01 to 10 ," Brentwood, Tennessee, United States",01-01-17 0:00," Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Hardware, Software","Jonny Dapper is a custom suit company for men and women. Mixing both the personal tailor experience and the online custom experience. 


",software_2017
1324,Jono Marketing,"Jono is a creative agency that provides digital advertising, web development and marketing solutions.",https://www.jonomarketing.com/," Advertising, Creative Agency, Digital Marketing, Web Development",01 to 10 ," Weehawken, New Jersey, United States",2017," Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Software",,software_2017
1325,Jrop LLC,On Demand Roadside Assistance platform. Request roadside assistance using the mobile app or directly on the website in under 60 seconds.,https://www.jrop.com/," Apps, Automotive, Mobile Apps",01 to 10 ," Royal Oak, Michigan, United States",01-01-17 0:00," Apps, Mobile, Software, Transportation",On Demand Roadside Assistance platform. Request roadside assistance using the mobile app or directly on the website in under 60 seconds.,software_2017
1326,Jugl LLC,We're building software to make it easier to be a working parent. Sign up to be part of our pre-release community at www.getjugl.com!,http://www.getjugl.com," Computer, Information Technology, Software",01 to 10 ," Chicago, Illinois, United States",01-01-17 0:00," Consumer Electronics, Hardware, Information Technology, Software","Jugl creates software to make it easier to be a working parent.  Our first product is a family calendar and logistics manager that reduces the time and effort involved in managing the schedule, planning and information of busy modern households.  It’s an invaluable work/life coordination tool, reducing letdown and meltdown potential at home, allowing parents to get the job done at work.  Jugl puts the user in control: Simple, smart, synchronized and secure; optimizing family flow and at-work presence and productivity.",software_2017
1327,Juicebox,"Juicebox is making a more pleasurable world by providing 1-on-1 sex, dating, and relationship coaching anonymously via an app.",https://www.juiceboxit.com," Consumer Software, Health Care, Wellness",01 to 10 ," San Francisco, California, United States",2017," Health Care, Software","Juicebox, a digital health company, is making the world a more pleasurable place. The app provides an anonymous platform for users to have meaningful conversations with certified sex and relationship coaches and counselors – anything from erectile and libido issues to questions about dating and orgasms is fair game. Founded by Brianna Rader, who was legally condemned by the state of Tennessee for her work in sex ed, Juicebox’s mission is to provide everyone, regardless of sexual/gender identity, physical location, or even sexual experience to have a “safe space” and direct access to personalized, affordable sex education and coaching.",software_2017
1328,Junum,Elevating Clinical Nutrition to Drive Results. Improve patient outcomes — and your bottom line — with clinician-driven technology.,http://www.junum.io/," Apps, Health Care, Hospital",01 to 10 ," Louisiana, Missouri, United States",2017," Apps, Health Care, Software",Nutrition First!  Our mission is to empower clinical nutrition care to improve patient outcomes across core settings using technology and data.,software_2017
1329,Just Learn,Just Learn is a developer of compact ecosystems with add-on modules to fuse nature and technology into engaging hands-on STEM experiences.,https://www.justlearn.io/," EdTech, Education, STEM Education",01 to 10 ," Tampa, Florida, United States",2017," Education, Science and Engineering, Software","Just Learn is a developer of compact ecosystems with add-on modules as a way to fuse nature and technology into engaging hands-on STEM experiences for K-12 students along with an indoor garden powered by an aquatic ecosystem of fish, bacteria, and plants which helps create in-class experiences that bring life to STEM that enable students to develop critical thinking and problem-solving skills and help innovate solutions to global issues.

Just Learn was founded in 2017 and is based in Tampa, Florida.",software_2017
1330,Just My Style,Just My Style is a fashion matching app that creates the ultimate window shopping experience for users through machine learning.,https://www.justmystyleapp.com/," Machine Learning, Mobile Apps",01 to 10 ," Raleigh, North Carolina, United States",01-01-17 0:00," Apps, Artificial Intelligence, Data and Analytics, Mobile, Software",The company was founded in 2017 as an answer to a world overflowing with clothing options. Their mobile app 'Just My Style' helps users sift through all of the possibilities by using machine learning to match users with their new favorite clothes.,software_2017
1331,JustProtect,JustProtect is a platform that helps enterprises simplify the process of distributing to internal and third-party assessments.,https://www.justprotect.co/," Cyber Security, Risk Management, SaaS, Software",01 to 10 ," New York, New York, United States",2017," Information Technology, Privacy and Security, Professional Services, Software","JustProtect is a Software-as-a-Service platform that helps enterprises simplify the process of distributing and responding to internal and third-party assessments to meet regulatory assessment requirements. The company offers automated risk assessment solutions to businesses of all sizes, plugging seamlessly into an organization’s data to ensure compliance at any stage of the business life cycle. It aims to eliminate spreadsheet-based assessments and accelerate the process and reporting of data gathered, to provide organizations with data that more accurately assesses the maturity of an organization at multiple levels to make meaningful business decisions. Its SaaS platform uses industrial psychological assessment techniques and will gather behavioral analytics while asking compliance questions to people at different levels, to be able to determine the real efficacy of compliance control.

JustProtect was founded in 2017 and is headquartered in New York, New York.",software_2017
1332,JustSpot.me,JustSpot.me is a smart location device that doesn’t need to be charged.,https://www.justspot.me/,Information Technology,01 to 10 ," Houston, Texas, United States",2017,Information Technology,"JustSpot.me is a smart location device that doesn’t need to be charged. It is lightweight, small and waterproof, with a customizable minimalist design and trendy colors.
What sets us apart is also that JustSpot.me is charge free, affordable, and easy to use.

Existing trackers use Bluetooth or cellular network - they have a short range or need daily charging. Their device works over any distance and the battery can last up to 4 years. Put it in forget it!

",software_2017
1333,Kai XR,"Kai XR develops inclusive mixed reality spaces allowing children to explore, dream, and create.",https://kaixr.com/," Augmented Reality, E-Learning, Education, Virtual Reality",01 to 10 ," Oakland, California, United States",2017," Education, Hardware, Software","Kai XR develops inclusive mixed reality spaces allowing children to explore, dream, and create. Its educational resources provide educators, parents, and life-long learners a path to become early adopters of mixed reality.

Kai XR's videos send children on a field trip to a museum without the price of admission and never having to leave the classroom. The company will launch it’s new kid-friendly virtual reality platform to the public in Spring 2020.",software_2017
1334,Kalepa,AI-powered Decision Support for Commercial Underwriters,https://kalepainsurance.com," Analytics, Artificial Intelligence, Big Data, Insurance, InsurTech, Machine Learning, SaaS, Software",01 to 10 ," New York, New York, United States",2017," Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Kalepa delivers decision-support software to commercial insurance underwriters. Kalepa's AI-powered Copilot enables underwriters to focus their time on the highest ROI opportunities and rapidly evaluate, select, and price risk. By analyzing billions of points of structured and unstructured data, Kalepa's Copilot augments underwriters with insights and recommendations on every risk. Copilot allows each underwriter to perform at the level of the most experienced and effective underwriters and at top efficiency.",software_2017
1335,KapVoom,KapVoom is an app for driving.,https://kapvoom.com/," Apps, Automotive",01 to 10 ," Miami Beach, Florida, United States",01-01-17 0:00," Apps, Software, Transportation",,software_2017
1336,Karhappy,KarHappy is an app that organizes routine car maintenance by picking up and returning fleet vehicles accordingly.,http://www.karhappy.com/," Apps, Service Industry, Transportation",01 to 10 ," Herndon, Virginia, United States",2017," Apps, Other, Software, Transportation",,software_2017
1337,KARLO,KARLO is the perfect tool to increase customer satisfaction by improving interaction with them and their post-sale experience.,https://karlo.io," Computer, Software",01 to 10 ," Mexico, Maine, United States",2017," Consumer Electronics, Hardware, Software",,software_2017
1338,Karma Nation,Karma Nation is a technology Company.,,Information Technology,01 to 10 ," San Diego, California, United States",2017,Information Technology,,software_2017
1339,Karyosoft,Karyosoft is a Developer of a Web-based enterprise platform,https://www.karyosoft.com/," Biotechnology, Information Technology, Software",01 to 10 ," Carmel, Indiana, United States",2017," Biotechnology, Information Technology, Science and Engineering, Software","Developer of a Web-based enterprise platform designed to empower life scientists with time and cost saving software for their high-quality product development workflow. The company's platform offers scientific and technological support to streamline workflow in areas as diverse as customer needs in agricultural biotechnology and helps scientists spend more time on answering biological questions, enabling biologists to efficiently manage, quickly analyze and easily visualize microbial genome sequence data.",software_2017
1340,Kickwheel Co.,We put students in charge of their journey to and through college.,https://kickwheel.com/," Higher Education, Messaging, Mobile Apps, Social Network",01 to 10 ," Palo Alto, California, United States",2017," Apps, Education, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Maker of The College Fair app, Kickwheel is on a mission to put students in charge of the journey to and through college. Building on decades of research showing the power of nudging and the efficacy of one-on-one performance coaching, Kickwheel combines data-driven matching tools with message-based coaching to give students the support they need to master the application process and be successful in college.",software_2017
1341,Kinima,Kinima.fit is an adaptive fitness system that uses 3D camera technology combined with AI to guide your workout like a personal trainer.,http://www.kinima.fit/," Artificial Intelligence, Computer Vision, Fitness, Machine Learning, Sports, Training, Wellness",01 to 10 ," Palo Alto, California, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Education, Hardware, Health Care, Science and Engineering, Software, Sports","Kinima.fit is a revolutionary AI fitness trainer and station that provides real-time, personalized coaching. Our connected fitness system turns a 3D camera and large-screen display into a fully autonomous workout station, displaying users side-by-side a virtual trainer. Kinima tracks your reps, effort and form to adapt and guide your workout, just like a personal trainer. Best part: no wearables.

Kinima.fit is powered by advanced body analytics algorithms enabled by machine learning and computer vision. We have launched in major establishments.",software_2017
1342,Kinzie Capital Partners,"Kinzie invests in lower middle market companies amidst transition in the consumer, manufacturing, and services industries.",http://www.kinziecp.com/," Financial Services, Information Technology, Manufacturing, Telecommunications",01 to 10 ," Chicago, Illinois, United States",2017," Financial Services, Hardware, Information Technology, Manufacturing","Kinzie invests in lower middle-market companies amidst transition in the consumer, manufacturing, and services industries. Whether a company is experiencing a generational shift, period of high growth, or changes in business cycles, they seek opportunities to create lasting change in today’s disruptive environment by leveraging technology and a strong operational focus to eliminate inefficiencies and unlock new business opportunities.

The company was founded by David Namkung and Suzanne Yoon in 2017 and is based in Chicago, Illinois.",software_2017
1343,Kix Mobile,Buy / Sell / Trade / Xchange-Repair™ Mobile Devices,http://www.kixfranchise.com," Consumer Electronics, Mobile, Mobile Devices, Retail",01 to 10 ," Orlando, Florida, United States",01-01-17 0:00," Commerce and Shopping, Consumer Electronics, Hardware, Mobile","We are changing the way you buy and repair mobile devices! Providing high-quality refurbished and unlocked (portable with carriers) phones and tablets. Kix Mobile is an industry disrupter and groundbreaking franchise opportunity. Why wait hours to get your mobile device repaired – when we will swap it out and have you on your way in minutes! We offer a new and innovative approach to device and electronics repair by offering fast and easy device and data Xchange-Repair™ for one low price. I.E. You hand us your iPhone, Droid or other device that is broken and we hand you back a high-quality refurbished phone with your data restored for an affordable flat fee.",software_2017
1344,Kleard,Kleard is an app for real estate agents that helps verify individuals on-the-spot for a showing or open house.,https://www.kleard.com," Public Safety, Real Estate, Software",01 to 10 ," Seattle, Washington, United States",2017," Government and Military, Real Estate, Software","Kleard is an app for real estate agents that helps verify individuals on-the-spot for a showing or open house.

It is a real estate app with an innovative, fully integrated cloud-based solution providing real-time visitor verification for open houses. This increases safety, helps prevent crime, and allows better agent productivity when using Kleard's lead follow-up system.

Kleard was founded in 2017 by Jonathan Martis and is based in Seattle, Washington.",software_2017
1345,Klearly,Klearly is the intelligent GPS for revenue-focused B2B marketing teams.,https://klearly.com," Computer, Machine Learning, Marketing, SaaS, Sales, Software",01 to 10 ," Durham, North Carolina, United States",2017," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Sales and Marketing, Software","Klearly is SaaS for B2B Marketing. It's a total reboot for B2B Marketing, empowering these teams with the vision and power to drive tomorrow’s revenue. No more vanity metrics or lagging indicators. Klearly leverages machine learning to give B2B marketing the predictive power to know which accounts to prioritize, what activities to focus on next, and the expected business impact. Klearly is the intelligent GPS for revenue-focused B2B marketing teams. Get ready to see Klearly.",software_2017
1346,KleverPay,KleverPay is an app for payment solutions.,https://kleverpay.app/," Apps, Financial Services, Payments",01 to 10 ," San Diego, California, United States",01-01-17 0:00," Apps, Financial Services, Payments, Software",,software_2017
1347,KLYP,We empower Beauty Service Professionals to take control of their careers by providing innovative tools to market and grow their businesses.,https://www.klypme.com," Apps, Beauty",01 to 10 ," Salt Lake City, Utah, United States",2017," Apps, Consumer Goods, Software",Our mission is to put creative control in the hands of​ KLYPISTS and clients.​ We empower Beauty Service Professionals to take control of their careers by providing innovative tools to market and grow their businesses. KLYP seamlessly cultivates lasting relationships between KLYPISTS and their clients.​,software_2017
1348,Know Network Risk,KNR is a cyber security consulting firm that provides cyber security risk management and compliance services.,https://www.knownetworkrisk.com/," Cyber Security, Information Technology, Risk Management",01 to 10 ," Asheville, North Carolina, United States",2017," Information Technology, Privacy and Security, Professional Services","KNR is an Asheville, NC based cyber security consulting firm. Their specialties include red team penetration testing, hardware and application security assessments, threat hunting and incident response, vulnerability and risk assessments, and compliance audits.  All of their consultants have over 14 years experience and have, at one point in time, worked for a major consultancy firm in a senior role.

Penetration testing may be their main area of expertise, but they  want their services to help you better understand where you can improve your security and compliance posture.  This means that everything they do is about helping you understand the how and why.

KNR is strongly devoted to investing in their team and sends personnel to extensive SANS training sessions regularly to stay abreast of current cyber security trends.",software_2017
1349,Knowbility,AI CFO for founders and Investors,http://www.knowbility.co,Artificial Intelligence,01 to 10 ," San Diego, California, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",,software_2017
1350,Kobai,Kobai is a new discipline combining machine and human intelligence with an outcome-first and question and answer-based approach.,https://www.kobai.io/," Artificial Intelligence, Machine Learning, SaaS, Software",01 to 10 ," Pleasanton, California, United States",2017," Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Kobai delivers industry-leading Decision Intelligence SaaS solutions, that unlock enterprise data and crowd-sourced knowledge securely and combine it with human intelligence and AI-based continuous learning.  Using our Kobai Decision Studio(™) and Kobai Decision Intelligence Applications (™)  patented technologies, Fortune Global 500 companies  can make intelligent decisions in real time, with contextual data and effective collaboration from Cloud-to-Edge, in a repeatable, scalable way. Kobai is a privately-held company with headquarters in Pleasanton, California, founded by former industry executives who have created award-winning digital platforms.",software_2017
1351,Kognos,"Kognos is a cloud-based detection and investigation platform that detects, investigates, and responds to attack campaigns.",https://www.kognos.io," Artificial Intelligence, Cyber Security, Network Security, Security, Software",01 to 10 ," Santa Clara, California, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Kognos is a cloud-based detection and investigation platform that detects, investigates, and responds to attack campaigns.

The XDR investigator platform gives security teams the ability to detect an attacker executing their campaign in real-time. It uses artificial intelligence to ask forensic questions per second, mining these relationships to track malicious users or external actors throughout the network and present the findings as visual stories that empower security analysts to respond in real-time and significantly reduce dwell time.

The Santa Clara, California-based startup was founded in 2017 by Rakesh Nair.",software_2017
1352,Koki Technology,Developer of an automation software designed to standardize and organize all of the steps of distributed application management.,http://www.koki.io/," Information Services, Information Technology, Software",01 to 10 ," Palo Alto, California, United States",2017," Information Technology, Software","Developer of an automation software designed to standardize and organize all of the steps of distributed application management. The company's automation software offers a language that provides rich primitives for defining, composing, packaging and managing the life-cycle of applications, thereby reducing entropy of application management, enabling non-engineers and engineers to set up application can in a trusted, production ready fashion with just 1-click of a button.",software_2017
1353,Kolu,Kolu is a mobile application that brings tourists together with local tour guides based on three interests.,https://www.koluapp.com," Business Travel, Leisure, Mobile, Mobile Apps, Tour Operator, Tourism, Travel",01 to 10 ," New York, New York, United States",2017," Apps, Community and Lifestyle, Mobile, Software, Travel and Tourism","Kolu is a platform that helps visitors match with local guides based on their shared interests, budget, and availability. In effect, the app provides visitors with a truly customizable experience when immersing themselves into all that a new destination has to offer. Their mobile technology allows for human interaction and global mobility that positions Kolu as the digital destination for those visiting or moving to a new city.

Kolu uses machine learning to match travelers with local experts based on their mutual interests. The local guides provide customized walking tours and recommendations within the proximity that the traveler is staying during their visit.  It matches travelers with a personal tour guide based on their shared interests.",software_2017
1354,Konch,"Konch is a transcription platform that supports educational institutions with translation, transcoding and entity recognition.",https://konch.ai," Developer APIs, Information Technology, Internet of Things",01 to 10 ," San Francisco, California, United States",2017," Information Technology, Internet Services, Software",,software_2017
1355,Innovations Realized,Innovations Realized is an information technology company.,https://www.innovationsrealized.com/," Information Technology, Software Engineering",01 to 10 ," San Diego, California, United States",01-01-17 0:00," Information Technology, Science and Engineering, Software",,software_2017
1356,InNovo Partners,InNovo Partners is a Developer of a data management platform,https://innovopartners.com/," Civil Engineering, Data Integration, Information Technology",01 to 10 ," Orlando, Florida, United States",2017," Data and Analytics, Information Technology, Science and Engineering, Software","InNovo Partners, LLC is a women-owned boutique engineering firm specialized in delivering innovative technology and data management solutions to the transportation operations and planning industry.",software_2017
1357,Innsena Communications,Innsena Communications serves companies in the healthcare technology sector with strategic marketing and public relations counsel.,," Consulting, Health Care, Information Technology",01 to 10 ," Roswell, Georgia, United States",01-01-17 0:00," Health Care, Information Technology, Professional Services",Innsena Communications’ consultants work exclusively in the healthcare technology sector. Our lead consultants have worked with more than 60 digital health/healthcare tech companies over the past 10 years.,software_2017
1358,InOrbit,InOrbit is a cloud-based robot management platform to help robotics developers and operators scale their robot fleets.,https://inorbit.ai," Artificial Intelligence, Cloud Data Services, Enterprise Software, Robotics, SaaS",01 to 10 ," Mountain View, California, United States",2017," Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","InOrbit is bridging the autonomy gap through a cloud robot management platform that enables robotics companies and operators to develop, deploy and orchestrate autonomous robots at global scale. The commercial service robot market, is growing over 40% YoY and is expected to hit $50B by 2024.

InOrbit is pioneering the new field of RobOps, or DevOps for Robotics -- think of it as Splunk/Datadog for Robots. InOrbit’s multi-cloud platform provides secure, real-time analytics and data collection, robot performance monitoring (RPM), incident management and remote interventions. The company’s proprietary technology, including adaptive diagnostics and predictive analytics, is able to derive unique value by leveraging industry-wide data that provides InOrbit’s customer’s insight they are unable to obtain on their own.  InOrbit has access to over 300 Petabytes of data per month and can learn faster than any robotics company by operating across different robots and industry verticals. Customers and partners include Google, Qualcomm, Sprint, Brain Corp., Bossa Nova Robotics and over a dozen other robot manufacturers that range from early stage to scaling. 

InOrbit’s founding team includes Mario Munich, a pioneer in robotics and former SVP Technology at iRobot (through acquisition of Evolution Robotics, where he was CTO); Julian Cerruti, an expert in complex systems, robotics and augmented reality (experience with Willow Garage, creator of de facto standard Robot Operating System, Savioke, Clearpath, Google, IBM); and Florian Pestoni, with experience leading product teams reaching hundreds of millions of users at large-scale cloud companies (formerly at Microsoft, Adobe, Atlassian, Facebook, Ooyala). Together the team holds well over 50 patents in security, autonomous navigation, image processing, distributed systems and collaboration, with diverse experience including starting companies, scaling teams, shipping products at scale and achieving venture-backed exit through acquisition.",software_2017
1359,Inovium,Inovium is a full ERP services provider leveraging a combination of expertise and innovation.,http://inovium.com/,Information Technology,01 to 10 ," Irvine, California, United States",2017,Information Technology,"Inovium is built on core values and we approach all opportunities with respect, responsibility, transparent communication and flexibility to ensure we work in alignment with your goals and objectives.",software_2017
