Category,Products,Activity Level,Company Description,Min Employees,Max Employees,Average Employees
finance productivity startups accounting and legal,web app,high company activity detected,smarter invoicing for smarter companies,5,10,7
data entertainment big data content,desktop app mobile app web app,high company activity detected,sme provides an enterprise file fabric that unifies all storage assets into a single namespace,11,50,30
advertising e commerce marketing startups,web app,high company activity detected,helps increase conversions sales and traffic by adding a branded calltoaction and retargeting pixels to every link you share,0,2,1
real estate,service,high company activity detected,pass the keys provides landlords with a hasslefree short let management solution through a scalable tech solution,11,50,30
retail hospitality,desktop app mobile app service web app,high company activity detected,web and mobile platforms for preordering food drink goods and services,11,50,30
design e commerce startups software dev,service,no recent company activity detected,customised cloud hosting for digital agencies and freelancers,0,1,0
other analytics finance big data,desktop app mobile app,high company activity detected,data science business delivering aidriven algorithm solutions and apps for the global fund markets,5,10,7
finance,mobile app web app,low company activity detected,welendus is a shortterm consumer peertopeer lending platform authorised and regulated by the fca with full authorisation,5,10,7
other finance startups,web app,sourced by startup tracker,cryptocurrency payment tools for buyers and sellers,5,10,7
retail,other,high company activity detected,love the sales takes the sales on many websites and puts them on one website,5,10,7
e commerce finance insurance blockchain,web app,high company activity detected,shufti pro is a digital kyc and aml service,11,50,30
insurance productivity retail real estate,mobile app web app,high company activity detected,property management marketplace,0,3,1
marketing productivity social networks software dev,desktop app,high company activity detected,a multifunctional research tool for bulk seo analysis that helps you audit urls by a wide range of parameters,11,50,30
marketing productivity social networks software dev,desktop app,high company activity detected,a desktop tool for fast and comprehensive technical audit of the entire website created by netpeak software,11,50,30
design education retail,physical goods,no recent company activity detected,primo toys helps children to learn play and create with technologies,11,50,30
other marketing social networks,other web app,no recent company activity detected,buzzramp makes marketing and pr easier for smaller businesses,0,4,2
other design iot retail,physical goods service,high company activity detected,good night lamp lets global friends and family share their presence and availability in an ambient way,0,2,1
finance iot blockchain big data,desktop app mobile app service web app,high company activity detected,miracl authentication solutions use a zeroknowledge proof to mitigate against data breaches and identity theft,51,100,75
analytics marketing social networks,web app,no recent company activity detected,reponseio is a social people analytics platform for digital marketers,0,2,1
other startups,other web app,high company activity detected,the platform for written content,5,10,7
data productivity software dev,service web app,no recent company activity detected,postkit allows developers to create api endpoints for their apps and websites in less than 2 minutes,0,1,0
retail hospitality,mobile app,no recent company activity detected,cloud based ipad point of sale epos platform,11,50,30
finance insurance,other,high company activity detected,turning social data into insurance data,11,50,30
analytics data ai,web app,high company activity detected,track intercom conversation topic trends and make better product sales and marketing decisions,0,1,0
health,desktop app mobile app web app,no recent company activity detected,this pregnancy app is created by health  parenting in partnership with philips,51,100,75
education startups,mobile app web app,high company activity detected,building personalised and dynamic learning paths that help professionals achieve their career goals,5,10,7
productivity startups software dev,other web app,high company activity detected,checkbot for chrome tells you how to boost the seo speed  security of your site by letting you test 1000s of pages in minutes with ease,0,1,0
analytics biotech iot startups,service,high company activity detected,we share the latest news on the use of wearable technology in sports including product reviews startups ideas and trends,0,3,1
other food and beverages startups software dev,mobile app web app,high company activity detected,accept card payments run your business and do your paperwork straight from your smartphone,5,10,7
advertising entertainment events sales,other physical goods,low company activity detected,import voiture doccasion angleterre achat vehicule dangleterre import rhdachat voiture angleterre importation voiture dangleterre,0,2,1
insurance,mobile app web app,high company activity detected,concirrus is the creator of quest  big data and machine learning software for commercial marine and motor insurers,11,50,30
e commerce marketing retail events,physical goods,high company activity detected,flowers  gifts london uk  europe,11,50,30
automotive e commerce sharing economy,service web app,no recent company activity detected,making it incredibly easy to buy and sell your car in a 21st century world,11,50,30
analytics finance blockchain ai,desktop app mobile app web app,no recent company activity detected,a secure crypto trading exchange for the masses,11,50,30
hr and recruitment startups ai big data,service,sourced by startup tracker,technology recruitment fused with artificial intelligence,5,10,7
e commerce education media social networks,desktop app mobile app service web app,no recent company activity detected,all the worlds students in one place,11,50,30
other finance startups ai,service,high company activity detected,match capital is a marketplace which connects growing businesses and relevant investors together,0,4,2
other accounting and legal software dev,service,high company activity detected,a low cost reliable sms api for developes,0,2,1
design marketing productivity startups,desktop app service web app,no recent company activity detected,smart brand management software for gsuite improve your brand clarity with pilcro  your virtual brand champ,0,4,2
consulting marketing big data,service,high company activity detected,hyperstarter is an analytics tool that works with crowdfunding campaigns and gives valuable advice on how to make them successful,0,4,2
health productivity hr and recruitment ai,mobile app physical goods,low company activity detected,innovating  creating stress management and wellbeing products that help to transform peoples lives for the better,11,50,30
food and beverages e commerce events,mobile app,high company activity detected,a web and app marketplace helping people discover and transact at handpicked local food  drink establishments,11,50,30
other social networks,other,high company activity detected,the plan is to build a  hexagon float floating city with 60 meters to the side 5 levels  floors apartments offices ,0,1,0
other entertainment,mobile app,no recent company activity detected,the digital home for football fans,5,10,7
other security,mobile app,no recent company activity detected,find  manage high paying reliable temporary jobs in the security industry,5,10,7
data fashion iot ai,mobile app service web app,high company activity detected,fashiontech startup mixing ai  iot to help people manage their wardrobe and buy better,0,4,2
marketing sharing economy startups productivity,mobile app service,high company activity detected,londons most affordable network of coworking clubs perfect for those that need flexible workspace  bookable meeting rooms,0,3,1
data design productivity big data,web app,no recent company activity detected,save hours on your daily web tasks,0,1,0
advertising food and beverages marketing ai,desktop app mobile app service web app,sourced by startup tracker,stinjee finds all the best food and drink offers in your area right now,5,10,7
health medical,hardware mobile app service,sourced by startup tracker,_,0,1,0
marketing messaging sales,web app,no recent company activity detected,jumplead is marketing automation software designed to be lean,5,10,7
e commerce health medical,mobile app web app,high company activity detected,discover whats hiding in your skincare and cosmetics 17 health concerns including contact allergens and carcinogens across 800k products,0,4,2
other design e commerce software dev,web app,high company activity detected,website downtime alerts  monitoring emailsms alerts if a website goes down 60 websites monitored completely free powerful pro features,0,2,1
education entertainment media content,service web app,sourced by startup tracker,bibblio boosts engagement and revenue by suggesting the best content to your users from across your site,11,50,30
hr and recruitment,desktop app mobile app web app,low company activity detected,instantly solving all sourcing matching and vetting problems for hiring,5,10,7
consulting hr and recruitment startups,desktop app web app,sourced by startup tracker,were connecting companies with a selective community of freelancers in order to shape the future of work,11,50,30
blockchain,mobile app web app,no recent company activity detected,an ethereum wallet for all your erc20 tokens,5,10,7
finance blockchain,other,sourced by startup tracker,atlas neue creates funds and supports exciting ventures in the blockchain space,0,3,1
marketing startups ai,service,sourced by startup tracker,prumio is an aidriven platform that helps companies get press coverage costeffectively to save time and money,0,2,1
design fashion marketing media,service web app,no recent company activity detected,a digital community of toplevel creative talent exclusively for the fashion industry accessible through a network of freelancers,0,2,1
e commerce entertainment social networks,mobile app web app,no recent company activity detected,social photography contest platform with money prizes that rise with each participant,5,10,7
other health startups,mobile app,no recent company activity detected,new celebrity fitness trainer prof greg whyte releases a bespoke exercise and nutrition app,0,3,1
advertising food and beverages,mobile app web app,sourced by startup tracker,a fun new way to find drinks you might enjoy based on recommendations that matter rather than a number,0,1,0
hospitality,hardware,no recent company activity detected,captive media manufactures an interactive entertainment and digital signage system for installation in washrooms,0,2,1
analytics productivity hr and recruitment ai,web app,sourced by startup tracker,saberr creates technology to help teams work well together,11,50,30
marketing social networks software dev,mobile app service web app,no recent company activity detected,pорulаrіtу оf wоо соmmеrсе рlаtfоrm is nоt hidden frоm аnуbоdу,5,10,7
finance health marketing retail,service,no recent company activity detected,infosums decentralised technology allows companies to combine and analyse data in disparate schemas without moving or sharing it,11,50,30
design marketing productivity startups,service web app,high company activity detected,buildily is an all in one business platform providing effective tools to help entrepreneurs start build or grow their business,0,3,1
food and beverages startups,web app,high company activity detected,city pantry delivers londons best food for lunch meetings office parties or weekly team lunches to 500 of londons best companies,11,50,30
finance,mobile app web app,high company activity detected,middletrust is africas most reliable escrow payment service provider,5,10,7
design marketing content software dev,web app,high company activity detected,jobhuntrio is the best place to find jobs on the internet,0,1,0
media robotics hardware software dev,desktop app hardware mobile app service web app,high company activity detected,falt inc is a nigerian tech startup in website development mobile app development and computer hardware,5,10,7
accounting and legal,service,low company activity detected,lexdot is the marketplace of flexible legal professionals,0,1,0
consulting e commerce startups software dev,service,high company activity detected,platform that curates the best resources and tools to help accelerate a startups journey especially those based in africa,0,3,1
other startups,web app,no recent company activity detected,connects business owners to technical and creative freelancers,0,1,0
advertising education,mobile app,high company activity detected,a peer to peer quiz app where students review learned topic with focus on longer retention,0,4,2
consulting health marketing bots,desktop app hardware mobile app service web app,high company activity detected,we are a digital agency with expertise in web development mobile development creative designs uiux designs and digital marketing,11,50,30
communication education sharing economy blockchain,mobile app service web app,low company activity detected,suapp is a decentralized idea sharing and rewards blockchain platform,0,4,2
other advertising fashion events,service,high company activity detected,lastmile delivery experts built around growth technology and quality we help businesses grow,11,50,30
health iot startups software dev,hardware mobile app web app,low company activity detected,low cost infusion monitor device for simpler and safer blood transfusion,0,3,1
e commerce retail security real estate,service web app,high company activity detected,vesicash technologies is an instant digital escrow service provider for peertopeer and marketplace transactions,0,4,2
other,mobile app service,high company activity detected,mobile app delivering mass transportation as a service via ride sharing,5,10,7
e commerce finance startups software dev,mobile app service web app,high company activity detected,payant provides an easy way for africans to send and receive money both online and offline,5,10,7
advertising communication design content,other mobile app service web app,no recent company activity detected,the main items   instant did or virtual number assignment virtual officesecretary pbx and money exchange,0,2,1
finance iot big data,desktop app mobile app service,high company activity detected,our products help micro businesses to become economically empowered,11,50,30
e commerce marketing social networks startups,web app,high company activity detected,terawork is a website that connects freelancers  service providers with individuals or businesses that need their skills and services,11,50,30
social networks bots content messaging,web app,no recent company activity detected,a better way to follow quotes and replies to tweets,0,1,0
productivity,web app,high company activity detected,wangll is an asynchronous status reporting tool for teams improving transparency and communication,0,1,0
media ai bots content,web app,no recent company activity detected,conteidon is a cloudbased content management system that focuses on productivity,0,2,1
e commerce energy startups software dev,desktop app mobile app web app,high company activity detected,we partner with entrepreneurs and startups to transform their ideas into profitable tech companies,5,10,7
real estate,mobile app web app,high company activity detected,nigerias real estate marketplace,5,10,7
communication marketing productivity sharing economy,desktop app mobile app service web app,sourced by startup tracker,our mission is to build unconventional communities that helps people connect and improve lives through our products,5,10,7
education productivity startups messaging sales,web app,no recent company activity detected,easily trade anything with anyone even time,5,10,7
finance productivity accounting and legal sales,mobile app web app,no recent company activity detected,free online invoicing software for small business owners and freelancers,5,10,7
e commerce marketing startups content analytics,other service web app,high company activity detected,wordpress plugin to grow  engage your email list,0,3,1
gaming,desktop app service,no recent company activity detected,yesornolive enables nigerians to predict and earn cash on entertainment politics business  sports  and general topics,11,50,30
e commerce fashion social networks ai,mobile app service web app,low company activity detected,with touchabl you can instantly search for anything in a picture by touching it its like a magic wand but for pictures,5,10,7
automotive,other,high company activity detected,cars45 buys sells prices and rates the condition of preowned autos,51,100,75
productivity,mobile app,no recent company activity detected,helm helps you save any info you come across while using your ios device and lets you access the saved info from any app with its keyboard,0,2,1
social networks ai content messaging,mobile app web app,sourced by startup tracker,banta is a social platform that allow you express yourself without revealing your identity,5,10,7
consulting finance retail accounting and legal analytics,mobile app service,high company activity detected,paystack lets businesses accept payments via credit card debit card money transfer and mobile money on their websites or mobile apps,11,50,30
food and beverages,web app,no recent company activity detected,chowhub is an online restaurant discovery and food ordering service,0,3,1
education,mobile app web app,sourced by startup tracker,scholarx helps young africans access quality education for free or cheaper through scholarships,0,4,2
advertising analytics,web app,sourced by startup tracker,rubiqube is a video advertising network that gives users the power to acquire premium content by watching a 15second advert,0,2,1
