description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking
Mooditude helps build resilience to stress and anxiety,https://apps.apple.com/us/app/mooditude-mood-tracker-cbt/id1450661800?ref=startuptracker,https://producthunt.com/posts/moody,Mooditude,1,health,mobile app,"b2c, free to use",Mooditude App,April 4 2019,Santa Monica US,2,3,1,Undisclosed,1k,9,94.1m,54
Single inbox for business messengers.,https://replynow.io/?ref=startuptracker,https://crunchbase.com/organization/reply-now,Reply Now,4,"other, messaging","desktop app, web app","b2b, freemium, subscription",Danilka,May 1 2018,San Jose US,10-May,3,1,Undisclosed,10,9,2.4k,1.9m
"Continuous, affordable, and powerful cyber Red Teaming service - powered by artificial intelligence and automation.",http://www.breachbits.com?ref=startuptracker,https://www.crunchbase.com/organization/breachbits,breachbits,2,"consulting, insurance, security, ai",service,"b2b, b2g, subscription","breachbits, John L.",February 28 2018,"Washington, D.C. US",2,1,1,Self,86,9,1.9k,2.5m
PlaybookUX is a user testing software that connects businesses with their target demographic.,https://www.playbookux.com?ref=startuptracker,https://crunchbase.com/organization/playbookux,PlaybookUX,2,"design, productivity, startups",web app,"b2b, freemium","PlaybookUX, Personal Zen",November 1 2018,New York US,3,3,1,Undisclosed,214,9,30.2k,158k
Platform to help celebrities and content creators to create their merchandise store.,http://yoobe.me?ref=startuptracker,https://www.crunchbase.com/organization/yoobe,Yoobe,1,"design, e commerce, fashion, social networks","desktop app, mobile app, web app","other, b2c, b2b, free to use, commission, affiliation",Genau Junior,November 8 2018,San Francisco US,10-May,3,1,Undisclosed,638k,9,7.4k,638k
Nynedge is a peer to peer SaaS-based Platform for Remote Jobs.,https://www.nynedge.com?ref=startuptracker,https://www.crunchbase.com/organization/nynedge,Nynedge,1,hr and recruitment,desktop app,"b2c, b2b, free to use, subscription",Nynedge,November 24 2018,GAITHERSBURG US,10-May,3,1,Undisclosed,61,9,779,5.9m
Collaboration is now as easy as copy and paste!,https://www.copybucket.com?ref=startuptracker,https://startuptracker.io,CopyBucket,4,"data, productivity, messaging, software dev","desktop app, mobile app, service","b2c, freemium",,January 31 2018,Cupertino US,1,3,1,Undisclosed,See,9,0,0
View construction history before you hire and build,https://yooney.com?ref=startuptracker,https://www.crunchbase.com/organization/yooney,Yooney,4,"data, social networks, real estate","mobile app, web app","b2c, b2b, freemium, sales, subscription","Lillian 🏗♻️, Yooney 🏗, Block Notary, Microwork, POA Network",January 8 2019,san mateo US,10-May,2,1,Undisclosed,53,9,53,0
Crowdfunding and crowdsourcing for cold and unsolved cases.,https://www.coldcrowd.com/?ref=startuptracker,https://crunchbase.com/organization/coldcrowd,ColdCrowd,4,"other, social networks",web app,"b2c, other, free to use",ColdCrowd,July 22 2019,Cleveland US,1,1,1,Undisclosed,250,9,250,0
"Publist connects to all of the apps you use so you can search, organize, and store all of your file in one place.",https://publist.app?ref=startuptracker,https://crunchbase.com/organization/publist,Publist,1,productivity,"desktop app, web app","b2c, b2b, subscription",,June 5 2017,San Fransisco US,2,3,1,Undisclosed,See,9,0,0
"DapIt is a new way for businesses to offer gift cards digitally. Customers have the ability to buy, give instantly, share, and pay.",http://www.dapitapp.com?ref=startuptracker,https://www.crunchbase.com/organization/dapit-app,DapIt App,1,"food and beverages, fashion, startups, sales","mobile app, service","other, b2c, b2b, non profit, sales, subscription",MyCali Designs,March 1 2018,Woodland US,10-May,3,2,Undisclosed,10,9,0,0
AI Driven Test Automation for all!,https://testsigma.com?ref=startuptracker,https://www.crunchbase.com/organization/testsigma-inc,Testsigma,1,"other, startups, ai, software dev","other, desktop app, mobile app, service, web app","other, b2c, b2b, affiliation, freemium, subscription",Testsigma,August 27 2017,Delaware US,11-50,3,1,Undisclosed,425,9,19.2k,247.5k
"Plai, Align and focus your employees around what matters with the first free OKR tool. Set objectives, track progress and monitor dashboard!",https://plai.team?ref=startuptracker,https://crunchbase.com/organization/plai-a8fd,Plai,1,"analytics, productivity, hr and recruitment, startups",web app,"b2b, free to use, freemium, subscription","Andriy Bas, Dima Kovalenko",June 5 2019,Los Angeles US,10-May,1,1,Undisclosed,65,9,17.9k,264.6k
Invest IRAs and old 401(k)s into cool things. Welcome to “21st century diversification”,https://www.rocketdollar.com?ref=startuptracker,https://www.crunchbase.com/organization/rocket-dollar,Rocket Dollar,1,finance,service,"b2c, b2b, affiliation, sales, subscription","Henry Yoshida, CFP®, Thomas Young, Richard Dude Jr.",February 15 2018,Austin US,11-50,2,1,Undisclosed,898,9,20.5k,231.9k
Production support for modern teams,https://fluxroll.com?ref=startuptracker,https://betalist.com/startups/fluxroll,fluxroll,4,"startups, software dev",web app,"b2b, subscription",Darshan Patil,June 1 2018,New York US,3,3,1,Undisclosed,See,9,0,0
"In one simple step, the platform enables engineers to accurately price professional services and reduce time to scope a project",https://scopestack.io?ref=startuptracker,https://startuptracker.io,ScopeStack,4,"communication, consulting, sales, software dev","service, web app","b2b, subscription","ScopeStack, Jon Scott",January 1 2018,"Greenville, SC US",4,3,2,Undisclosed,39,9,3k,1.6m
We’re building a new kind of software that empowers people to make better decisions with data.,http://www.sisu.ai?ref=startuptracker,https://www.crunchbase.com/organization/sisu-data,Sisu,1,"analytics, data, big data",web app,"b2b, freemium, sales",Peter Bailis,May 15 2018,San Francisco US,11-50,3,1,Undisclosed,1.3k,9,4.3k,1.1m
MedBlox provides validation of Patient Identity across organizations.,https://MedBlox.io?ref=startuptracker,https://crunchbase.com/organization/medblox,MedBlox,4,"biotech, health, blockchain, medical",other,other,"Josh Maurer, Todd",January 1 2018,Coralville US,4,1,1,Undisclosed,306,9,0,0
Create connections and scale your business with a more powerful and flexible online form builder.,https://www.mightyforms.com/?ref=startuptracker,https://www.crunchbase.com/organization/mightyforms,MightyForms,1,"education, marketing, hr and recruitment, accounting and legal","service, web app","b2b, free to use, subscription",Bogdan Glushko,August 10 2018,Cleveland US,10-May,2,1,Undisclosed,205,9,16.5k,287.9k
Basicly is a tool to help video makers get paid as soon as a project is completed.,https://basicly.io?ref=startuptracker,https://producthunt.com/posts/basicly,Basicly,1,"media, startups, content, sales",service,"b2c, b2b, subscription",Alex,May 6 2019,New York US,2,1,1,Undisclosed,218,9,0,0
Ubiquitous platform for standardizing and sharing operating procedures to increase performance and collaboration of diverse global teams.,https://keeni.space?ref=startuptracker,https://crunchbase.com/organization/keeni-space,Keeni Procedures,3,"communication, productivity, ai, bots","service, web app","b2b, b2g, subscription","Keeni, SpotTune, TUNE, Eat Tune, a-tune, Aurora Forecast",January 1 2019,Anchorage US,10-May,2,1,Undisclosed,5,9,1k,4.5m
Custom Lead Research at Scale,https://getdatabees.com?ref=startuptracker,https://startuptracker.io,DataBees,3,ai,web app,"b2b, sales",Margaret,January 1 2017,San Francisco US,101-250,3,1,Undisclosed,5,9,4.6k,1m
Lolli lets you earn free bitcoin when you shop online.,http://www.lolli.com?ref=startuptracker,https://www.crunchbase.com/organization/lolli,Lolli,1,"e commerce, travel, blockchain","mobile app, web app","b2c, free to use","Lolli 🍭, §Alex Adelman 🍭, §matt 🍭",March 1 2018,New York US,10-May,3,1,Undisclosed,61.3k,9,235.6k,20.6k
"Cypress Homecare Solutions provides top quality, individualized & compassionate care to clients.",http://www.cypresshomecare.com/?ref=startuptracker,https://startuptracker.io,Cypress Home Care Solutions,1,startups,service,"b2b, advertising",,January 2 1988,Phoenix US,1,3,1,Self,8.3m,9,556,8.3m
Fun and flexible polling widget for your website,https://www.zigpoll.com?ref=startuptracker,https://www.crunchbase.com/organization/zigpoll,Zigpoll,4,"analytics, e commerce, marketing, startups",web app,"b2c, b2b, free to use, subscription","zigpoll, JQBX",April 7 2019,New York US,1,3,1,Self,11,9,21.7k,219.2k
"We develop custom mobile applications, and websites. We offer a wide range of technical services within the private and public sectors.",https://colorfuldots.com/?ref=startuptracker,https://www.crunchbase.com/organization/colorful-dots,"Colorful Dots, LLC",2,"advertising, consulting, education, governmental","desktop app, mobile app, service, web app","b2c, b2b, b2g, sales","Colorful Dots, LLC, Eric David Smith",March 26 2018,Brooklyn US,2,3,1,Undisclosed,567,9,20.4k,232.9k
Top-Rated 5 Minute fresh and original content Stories for Children that will spark intrigue for years to come.,https://www.trystoried.com?ref=startuptracker,https://startuptracker.io,Try Storied App,4,"education, entertainment","mobile app, web app","non profit, free to use, freemium, subscription",Try Storied,February 1 2019,California US,10-May,2,1,Undisclosed,8,9,0,0
A free and accessible social network for written content and podcasts.,https://www.bawler.xyz/?ref=startuptracker,https://www.crunchbase.com/organization/bawler,Bawler,4,"advertising, media, social networks, big data","mobile app, web app","other, free to use, advertising",,January 24 2019,New York US,10-May,1,1,Undisclosed,3.2k,9,669,6.9m
"Get real relief from chronic pain, depression",https://www.ketamine-infusion.com/?ref=startuptracker,https://startuptracker.io,Ketamine Infusion Centers,1,advertising,service,"b2b, other",,January 2 1988,Phoenix US,1,3,1,Undisclosed,4.6m,9,1k,4.6m
Robin modernizes the open office. The solution to the open office isn’t more walls. It’s activity-based working.,https://robinpowered.com?ref=startuptracker,https://www.crunchbase.com/organization/getrobin,Robin,1,"other, hr and recruitment, startups, real estate","desktop app, mobile app, web app","b2b, sales","Zach Dunn, Sam Dunn",March 1 2014,Boston US,51-100,2,2,29.1m,1.3k,9,74.3k,64.6k
"Finding a family dental clinic near Corning, Bath, and Horseheads, NY",https://www.fingerlakesfamilydental.com/?ref=startuptracker,https://startuptracker.io,Finger Lakes Family Dental,4,advertising,service,"b2c, other","Maria E. Marzo, DDS",January 2 1988,Painted Post US,1,3,1,Undisclosed,2,9,2,0
"We Buy Houses San Antonio, Cash For House San Antonio",https://www.sellmysahousefast.com?ref=startuptracker,https://startuptracker.io,Capstone Homebuyers,1,"other, advertising",service,"b2b, other",,January 2 1988,San Antonio US,1,3,1,Undisclosed,8.4m,9,551,8.4m
Technical Marketing Software products built to simplify inbound marketing for SMBs.,https://www.mktr.ai?ref=startuptracker,https://www.crunchbase.com/organization/mktr-ai,MKTR.AI,4,"analytics, marketing, ai, content","desktop app, service, web app","b2b, other, sales",MKTR.AI,February 14 2018,san francisco US,10-May,2,2,Undisclosed,203,9,2.8k,1.7m
Siarum consolidates all your business tools into one single\xa0platform.,https://www.siarum.com/?ref=startuptracker,https://www.crunchbase.com/organization/siarum-communications-llc,"Siarum Communications, LLC",1,advertising,service,"b2b, other",,January 2 1988,Birmingham US,1,3,1,Undisclosed,9,9,Undisclosed,0
D&S Plumbing is family-owned and-operated company with over 20 years of experience.,https://www.dsplumbingrepair.com/?ref=startuptracker,https://startuptracker.io,D & S Plumbing Repair,1,startups,service,"b2b, free to use",,January 1 1990,Locust Grove US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
Rossos furniture of Gilroy and Morgan,http://www.rosso.com?ref=startuptracker,https://startuptracker.io,"""Rossos Furniture""",4,advertising,service,"b2c, other",Applewild School,January 2 1988,Gilroy US,1,3,1,Undisclosed,3.4m,9,1.4k,3.4m
"At Healthy Solutions™, LLC we have years of experience",http://www.healthysolutionsweb.com/?ref=startuptracker,https://startuptracker.io,Healthy Solutions LLC,1,advertising,service,"b2c, other",,January 2 1988,Scottsdale US,1,3,1,Undisclosed,9,9,Undisclosed,0
"Keep your cool no matter where you are in the Arlington, TX area. You can depend on the team at Williams Home Maintenance, Inc",https://www.williamshm.com/?ref=startuptracker,https://startuptracker.io,"Williams Home Maintenance, Inc",4,startups,service,"b2b, free to use",Jerry Franklin,January 1 1990,Pantego US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
We are a Michigan based company.\xa0 Since 1987,http://toarminapizza.com/?ref=startuptracker,https://startuptracker.io,Toarminas Pizza,4,advertising,other,"b2c, other",Applewild School,January 2 1988,Dearborn US,1,3,1,Undisclosed,4m,9,1.2k,4m
Mudrex helps anyone invest like an algorithmic trader,http://mudrex.com?ref=startuptracker,https://www.crunchbase.com/organization/mudrex,Mudrex,1,"finance, sharing economy, startups, blockchain","service, web app","b2c, b2b, freemium, subscription","Rohit | rgoyal.eth 🦇🔊, PaxPlay",January 7 2019,San Francisco US,11-50,3,1,Undisclosed,2.3k,9,63.3k,75.8k
"Vested Yeti is a new home for your web pages. Organize your web pages, share web pages with friends, and keep track of your web pages.",http://www.vestedyeti.com?ref=startuptracker,https://www.crunchbase.com/organization/vested-yeti,Vested Yeti,4,"other, productivity, social networks","other, web app","b2c, b2b, free to use, freemium",Carlo Tapia,April 23 2016,Sacramento US,2,2,1,Undisclosed,6,9,0,0
"Automated play testing for video games, AR and VR.",http://GameDriver.io?ref=startuptracker,https://crunchbase.com/organization/gamedriver-inc,GameDriver,1,"gaming, ar/vr",desktop app,"b2b, sales, subscription",Shane Evans,May 28 2018,Martinez US,3,2,1,Self,49,9,1.1k,4.3m
"At Schaefer’s Soft Water, we carry water softner systems that are approved for the state of Wisconsin",http://schaeferssoftwater.com/?ref=startuptracker,https://startuptracker.io,Schaefers Soft Water,4,advertising,service,"b2b, other",Applewild School,January 2 1988,Watertown US,1,3,1,Undisclosed,9,9,Undisclosed,0
"If you are facing criminal and family law issues, attorneys at Brabazon Law Office will help you to protect your legal rights",http://www.brabazonlawoffice.com/?ref=startuptracker,https://startuptracker.io,Brabazon Law Office LLC,4,startups,service,"b2b, free to use",Brabazon Law Office,January 1 1990,Green Bay US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
"Acorn Kitchen & Bath, one of Michigans largest Kitchen and Bath design showrooms",https://acornkitchen.com/?ref=startuptracker,https://startuptracker.io,Acorn Kitchen & Bath,4,advertising,service,"b2c, other",Applewild School,January 1 1988,Pontiac US,1,3,1,Undisclosed,5.4m,9,861,5.4m
Everyday Investments Realty offers you a broad menu of comprehensive residential,https://everydayinvestments.com/?ref=startuptracker,https://startuptracker.io,Everyday Investments,4,advertising,"other, service","b2c, other",Applewild School,January 2 1988,Scottsdale US,1,3,1,Self,9,9,Self,0
Welcome to Pediatrix! With exceptional child care since 1986.,http://pediatrixmd.com/?ref=startuptracker,https://startuptracker.io,Pediatrix,4,advertising,service,"b2c, other",Applewild School,January 2 1988,Phoenix US,1,3,1,Undisclosed,9,9,Undisclosed,0
"Phonexas powerful tracking solutions deliver insight on your marketing campaigns, allowing you to make smarter optimizations",https://phonexa.com?ref=startuptracker,https://crunchbase.com/organization/phonexa,Phonexa,1,"advertising, finance, insurance, marketing",web app,"b2b, commission, subscription",David Gasparyan,December 2 2016,Glendale US,51-100,3,1,Undisclosed,328,9,36.4k,131.1k
Stacy D. Johnson Family Dentist specialize in dental care for the entire family including general dentistry,https://mygreenwooddentist.com/?ref=startuptracker,https://startuptracker.io,Stacy D. Johnson Family Dentist,4,advertising,service,"b2c, other",Applewild School,January 2 1988,Greenwood US,1,3,1,Undisclosed,9,9,Undisclosed,0
Faith Ink is a unique shopping website with a distinctive tone focusing,https://faithinkapparel.com?ref=startuptracker,https://startuptracker.io,Faith Ink Apparel,1,advertising,service,"b2b, other",,January 2 1988,Huntington Beach US,1,3,1,Undisclosed,9,9,Undisclosed,0
"When you hire Fischer & Van Thiel, you are hiring a team of family law attorneys",http://www.fandvt.com/?ref=startuptracker,https://startuptracker.io,"Fischer & Van Thiel, L.L.P.",1,advertising,other,"b2b, other",,January 2 1988,Oceanside US,1,3,1,Undisclosed,4.1m,9,1.1k,4.1m
"The Cleveland Furniture Company is a family owned Furniture store located in Cleveland, OH.",https://www.clevelandfurniturecompany.com/?ref=startuptracker,https://startuptracker.io,The Cleveland Furniture Company,1,advertising,service,"b2b, other",,January 1 1988,Parma US,1,3,1,Self,3.4m,9,1.4k,3.4m
Governor’s Park Chiropractic provides you with excellent chiropractic care,https://www.governorsparkchiropractic.com?ref=startuptracker,https://startuptracker.io,"""Governors Park Chiropractic - Denver""",1,advertising,other,"b2c, other",,January 2 1988,Denver US,1,3,1,Self,9,9,Self,0
Helping live streaming influencers achieve more.,https://streamercloud.com?ref=startuptracker,https://startuptracker.io,Streamer Cloud,1,"data, gaming, marketing, media",service,"b2c, sales","StreamerCloud.com, Gamer Ninja",March 3 2018,New York US,3,1,1,Undisclosed,6,9,6,0
"Tile Specialists of Madison is a small, family owned stone and tile installations services provider in Madison, WI.",https://tilespecialistsmadison.com/?ref=startuptracker,https://startuptracker.io,"Tile Specialists of Madison, LLC",1,startups,service,"b2b, other",,January 2 1988,Windsor US,1,3,1,Undisclosed,9,9,Undisclosed,0
"Heart Smart CPR teaches American Heart Association classes for BLS health care providers, basic CPR and AED",http://www.heartsmartcpr.com/?ref=startuptracker,https://www.crunchbase.com/organization/heart-smart-cpr,Heart Smart CPR,1,startups,service,"b2b, other",,January 2 1988,Leander US,1,3,1,Undisclosed,9,9,Undisclosed,0
"A+ Pest and Environmental Services provides exceptional pest control and environmental services in Cape Coral, Florida.",https://www.apluspe.com/?ref=startuptracker,https://startuptracker.io,"A+ Pest And Environmental Services, Inc.",1,startups,service,"b2b, free to use",,January 1 1990,Cape Coral US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
Amos Family Funeral Home & Crematory provides complete funeral services and cremations for the communities of Roeland Park,https://www.amosfamily.com/?ref=startuptracker,https://startuptracker.io,Amos Family Funeral Home & Crematory,4,startups,service,"b2b, free to use",Parker Amos,January 1 1990,Shawnee US,11-50,1,1,Undisclosed,2.5m,9,1.9k,2.5m
"Simon & Milner protects your rights if youve been arrested or convicted of a crime. From DWIs to assault charges, we defend you in court",https://www.simonandmilner.com/?ref=startuptracker,https://startuptracker.io,Simon & Milner,1,startups,service,"b2b, free to use",,January 1 1990,Valley Stream US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
"At Oklahoma City Locksmith, our locksmiths are committed to providing the right solution for every lock and security system issue.",https://locksmithokc.com/?ref=startuptracker,https://startuptracker.io,Oklahoma City Locksmith,2,startups,service,"b2b, free to use",,January 1 1990,Oklahoma City US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
LambdaTest is a cloud-based cross-browser testing platform where you can test your website and web app across 2000+ browser-OS combinations.,https://www.lambdatest.com/?ref=startuptracker,https://www.crunchbase.com/organization/lambdatest,LambdaTest,1,"design, e commerce, startups, software dev","service, web app","b2b, freemium, subscription","Asad, Jay Singh",May 3 2017,San Francisco US,11-50,3,1,Undisclosed,1.6k,9,595.5k,8.2k
"Alamo Insurance & Financial Service provides quality insurance of auto, commercial, property, health, life, contractors.",http://alamoinsurance.us?ref=startuptracker,https://startuptracker.io,Alamo Insurance & Financial Service,4,"advertising, startups",service,"b2b, free to use",Alamo Insurance,January 1 1990,Round Lake Beach US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
We are not a referral network, we are local Indianapolis-based real estate investors,https://www.simplequarters.com/?ref=startuptracker,https://startuptracker.io,Simple Quarters - We Buy Houses Indianapolis,High company activity detected,advertising,service,"b2b, other",,January 2 1988,Carmel US,3,3,Pre,Undisclosed,9,9,Undisclosed
Provides the easiest way to access on-chain data.,http://www.cmorq.com?ref=startuptracker,https://www.crunchbase.com/organization/cmorq,cmorq,1,"analytics, blockchain, accounting and legal, big data",service,"b2b, subscription","Soufian Idriss, Dana Panzer, Clarity, Clarity Money",October 2 2018,New York US,10-May,3,2,Undisclosed,See,9,3.4k,1.4m
Muret CPA PLLC provides superior professional services including Tax Preparation.,http://muretcpa.com/?ref=startuptracker,https://startuptracker.io,Muret CPA PLLC,4,startups,service,"b2b, free to use",Paul Muret,January 1 1990,Tulsa US,11-50,1,1,Undisclosed,3.5m,9,1.3k,3.5m
"Scram Speed Shop is located in Mahomet, Champaign and Bloomington, IL. Scram Speed offers fabrication and welding services",https://www.scramspeed.com/?ref=startuptracker,https://startuptracker.io,Scram Speed,4,startups,service,"b2b, free to use",Steve Moberley,January 1 1990,Mahomet US,11-50,1,1,Undisclosed,8.1m,9,570,8.1m
A cryptocurrency predictions marketplace,https://coinediction.com/?ref=startuptracker,https://crunchbase.com/organization/coinediction,Coinediction,4,"analytics, finance, blockchain, big data",web app,"b2c, commission",Coinediction,April 6 2018,Miami US,10-May,3,1,Self,249,9,923,5m
"All in one software for fitness studios and gyms to manage scheduling, sales and marketing.",https://getstudioyou.com/?ref=startuptracker,https://angel.co/company,StudioYou,4,health,"mobile app, web app","b2b, subscription",Vistar Singh,November 1 2018,"Mountain View, CA US",3,3,1,Self,14,9,824,5.6m
Statful is a customized monitoring platform to track any type of metric. We provide you with real-time data in a centralized point-of-view.,https://www.statful.com?ref=startuptracker,https://crunchbase.com/organization/statful,Statful,4,"analytics, data, startups, big data","service, web app","b2c, b2b, freemium, sales",Statful,August 1 2016,San Diego US,10-May,3,1,Undisclosed,197,9,0,0
"Branding Compass gives automated, expert branding advice. Discover the best words, fonts, colors & visuals for your branding and marketing.",https://brandingcompass.com?ref=startuptracker,https://betalist.com/startups/branding-compass,Emily Brackett,1,"communication, design, marketing, messaging",web app,"b2b, affiliation, sales","Emily Brackett, President of Visible Logic, Emily Brackett",May 15 2016,Portland US,3,3,2,Undisclosed,19,9,5.9k,804.1k
Live Casino that Accept Bitcoin Deposit Search Tool,https://depositbc.com/live-casino-bitcoin/?ref=startuptracker,https://producthunt.com/posts/mobile-casino-sites-with-bitcoin-deposit,Live Casino that Accept Bitcoin Deposit,1,"finance, startups","desktop app, hardware, mobile app, physical goods, service, web app","b2c, free to use",deposit Bitcoin,January 1 2019,New York US,2,3,1,7,2,9,2,0
Online Casino Sites Accepting Neteller Search Tool,https://depositnt.com/online-casino-neteller/?ref=startuptracker,https://angel.co/company,Online Casino Accepting Neteller Search Tool,4,"entertainment, finance","desktop app, hardware, mobile app, physical goods, service, web app","b2c, free to use",Deposit PayPal,January 1 2019,New York US,2,3,1,100,2,9,805,5.7m
"For over 65 years, Saxton Industrial has been designing and manufacturing",https://www.saxtonindustrial.com/?ref=startuptracker,https://startuptracker.io,"Saxton Industrial, Inc.",1,advertising,service,"b2c, other",,January 2 1988,Glendale US,1,3,1,Self,4.1m,9,1.1k,4.1m
Peer-to-peer tool rental application on iOS,https://sparetoolz.com/?ref=startuptracker,https://www.crunchbase.com/organization/sparetoolz,Sparetoolz,1,"sharing economy, startups",mobile app,"b2c, b2b, commission","Zlatko, Tako Agency",January 1 2018,Rocklin US,10-May,2,1,Self,44,9,3.6k,1.3m
"Dmarcly is a SaaS application that blocks phishing, business email compromise, ransomware, spam, and improves email deliverability.",https://dmarcly.com?ref=startuptracker,https://www.crunchbase.com/organization/dmarcly,DMARCLY,4,security,service,"b2b, freemium",getdmarcly,September 30 2018,Seattle US,2,3,1,Undisclosed,46,9,32.7k,145.8k
"One Tap Search and Organize! LOGr aggregates search, simplifies project management and facilitates community sharing.",http://LOGr-Research.com/?ref=startuptracker,https://www.crunchbase.com/organization/logr-research,LOGr Research,1,"education, finance, productivity, startups","mobile app, web app","b2c, advertising, affiliation, freemium, sales, subscription",BizTT,January 1 2019,"Westport, CT US",2,1,1,Undisclosed,9,9,Undisclosed,0
Online estate planning,https://www.gentreo.com?ref=startuptracker,https://startuptracker.io,Gentreo,1,"finance, accounting and legal","desktop app, web app","b2c, b2b, affiliation, subscription",Gentreo,July 31 2018,Boston US,10-May,3,1,Undisclosed,85,9,6.5k,721k
We are premier provider of martial arts classes in Fairfax VA,http://tkdinaction.com/?ref=startuptracker,https://startuptracker.io,Taekwondo In Action,1,other,service,"b2c, advertising",,January 2 1988,Fairfax US,1,3,1,Undisclosed,9,9,Undisclosed,0
ProfitGuru is the easiest way to find the most profits on Amazon.,https://www.profitguru.com/?ref=startuptracker,https://startuptracker.io,ProfitGuru,3,"e commerce, startups","desktop app, service","b2c, b2b, freemium, subscription",,March 31 2019,Midvale US,10-May,3,1,Undisclosed,182.8k,9,26.1k,182.8k
CPR is Arizonas premier automotive motorsports shop,https://cordesperformanceracing.com/?ref=startuptracker,https://startuptracker.io,Cordes Performance Racing,4,startups,service,"b2b, free to use",Joe cordes,January 1 1990,Tempe US,11-50,1,1,Undisclosed,1,9,1,0
"Address: 968 Main St, Wakefield, MA, 01880, USA; Phone No :978-737-7059; Email ID: alexis@apexinvests.com",https://www.apexinvests.com/?ref=startuptracker,https://startuptracker.io,"Apex Investments, LLC - We Buy Houses Boston",1,"other, advertising, marketing",service,"b2b, advertising",,January 2 1988,Wakefield US,1,3,1,Undisclosed,9,9,Undisclosed,0
"Since 1976, Harpers Point Eye Associates has been treating residents in the Cincinnati region for all their eye care need",https://drkirstein.com/?ref=startuptracker,https://startuptracker.io,"""Harpers Point Eye Associates""",4,"marketing, startups",service,"b2b, free to use",Elliot Kirstein,January 1 1990,Cincinnati US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
"Infinity is an all-in-one project management platform where you can organize anything, your way.",https://startinfinity.com?ref=startuptracker,https://crunchbase.com/organization/infinity-3ddc,Infinity,1,productivity,"desktop app, web app","b2c, b2b, other, subscription",Infinity,November 1 2018,Delaware US,10-May,3,1,Undisclosed,880,9,184.1k,26.3k
"BTB Construction Inc has been providing professional roofing, siding and window services to residential",https://www.btbconstructioninc.com/?ref=startuptracker,https://startuptracker.io,BTB Construction Inc,4,"marketing, startups",service,"b2b, free to use",BTB Construction,January 1 1990,Lynchburg US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
"Young W. Chung, DDS offers best and high quality cosmetic and general dentistry services.",https://www.dryoungchung.net/?ref=startuptracker,https://startuptracker.io,"Young W. Chung, DDS",4,"advertising, e commerce, marketing, startups",service,"b2b, free to use",Young Chung,January 1 1990,Redlands US,11-50,1,1,Undisclosed,9,9,Undisclosed,0
A Creative Video Agency Focused On Helping Startups And Brands With Video Advertising,https://sandboxvideo.io?ref=startuptracker,https://crunchbase.com/organization/sandbox-video-46c4,Sandbox Video,1,"advertising, marketing, media, startups",service,"b2b, sales",,April 2 2019,NY US,10-May,2,2,Undisclosed,See,9,2.2k,2.2m
"$5 greeting cards that can be customized for your loved ones, scheduled in advance, and digitally signed. Free shipping.",https://palomapost.com/?ref=startuptracker,https://producthunt.com/posts/paloma-post,Paloma Post,2,retail,physical goods,"b2c, sales",,December 11 2018,"Kansas City, MO US",2,3,2,Undisclosed,See,9,0,0
Kounsel is a platform where clients can look for counselors (any profession) and get help at any time.,http://www.kounsel.io?ref=startuptracker,https://www.crunchbase.com/organization/kounsel,Kounsel,1,"consulting, health, accounting and legal, medical",mobile app,"b2c, free to use, commission, affiliation",Kounsel,June 15 2018,San Francisco US,11-50,3,1,Undisclosed,1.4k,9,1.8k,2.6m
We buy houses anywhere in the DFW,https://www.dewittanddewitt.com?ref=startuptracker,https://startuptracker.io,DeWitt and DeWitt,4,"other, advertising",other,other,DeWitt and DeWitt,January 2 1988,Dallas US,1,3,1,Self,9,9,Self,0
"UniPapers is a writing service that provides model papers for students to find inspiration, get a source of reference.",https://unipapers.org/?ref=startuptracker,https://crunchbase.com/organization/unipapers,UniPapers,1,"other, education, productivity",service,"b2c, sales",UniPapers,January 1 2007,Glendale US,51-100,3,1,Undisclosed,48,9,3k,1.6m
Fasturtle has been consistently awarded one of Phoenix,https://www.fasturtle.com/?ref=startuptracker,https://startuptracker.io,Fasturtle,1,advertising,service,other,,January 2 1988,Scottsdale US,1,3,1,Self,982.6k,9,4.8k,982.6k
Connecting Crowds Through Q&A The Right Way To Bring Everyone Closer To Their Community,https://www.CrowdQuestion.com?ref=startuptracker,https://crunchbase.com/organization/crowdquestion,CrowdQuestion,4,"communication, events, social networks, content","mobile app, web app","b2c, free to use, subscription",Riley Moore,April 12 2019,Sacramento US,4,3,1,Undisclosed,See,9,0,0
Real Time Phishing Intel Simplified,https://phishfeed.com?ref=startuptracker,https://crunchbase.com/organization/phishfeed,PhishFeed,1,"communication, e commerce, finance, gaming",web app,"b2b, subscription",PhishFeed,April 15 2019,"Fairfax, VA US",10-May,3,1,Undisclosed,12,9,0,0
