,Categories,Closed Date Year,Description,Founded Date,Headquarters Location,Number of Founders,Number of Funding Rounds,Organization Name,Total Funding Amount,success
781,"Delivery, Food and Beverage, Hospitality",2016,"SpoonRocket is a next-gen, ultra fast delivery platform that delivers high quality tasty meals to customers in 15 minutes or less.",2013,"Berkeley, California, United States",2.0,2.0,SpoonRocket,13500000.0,1.0
782,"Database, Enterprise Software, Open Source, Real Time",2016,RethinkDB is an open-source distributed NoSQL database storing JSON documents and scaling data for applications.,2009,"Mountain View, California, United States",2.0,4.0,RethinkDB,12200000.0,1.0
783,"Fantasy Sports, Gaming, Video Games",2016,AlphaDraft give eSports fans the chance to play fantasy leagues and place bets on big eSports events.,2014,"New York, New York, United States",2.0,3.0,AlphaDraft,5000000.0,1.0
784,"E-Commerce, Fashion, Personalization, Software",2016,Shoefitr provides a software solution that enables online footwear retailers to recommend shoe sizes for customers.,2010,"Pittsburgh, Pennsylvania, United States",3.0,3.0,Shoefitr,1255000.0,1.0
785,"Customer Service, Housekeeping Service, Restaurants",2016,Kitchit brings local chefs to private households to do the cooking.,2011,"San Francisco, California, United States",2.0,3.0,Kitchit,8100000.0,0.0
786,"Leisure, Tourism, Travel",2016,Beacon is the premier solution for the frequent traveler.,2014,"New York, New York, United States",4.0,1.0,Beacon,7500000.0,0.0
787,"Bitcoin, Payments, Web Hosting",2016,ChangeCoin is a micropayment infrastructure for the Internet.,2013,"San Francisco, California, United States",1.0,2.0,ChangeCoin,4250000.0,1.0
788,"Analytics, Big Data, Enterprise Software",2016,Jut is a company in stealth mode developing a solution for companies to capture and analyze big data.,2013,"San Francisco, California, United States",1.0,1.0,Jut Inc,20000000.0,0.0
789,"Finance, Financial Services, Payments, Transaction Processing",2016,Clinkle offers a payment platform that modernizes the way people transact.,2011,"San Francisco, California, United States",1.0,5.0,Clinkle,30515000.0,0.0
790,"Analytics, Artificial Intelligence, Big Data, Content Discovery, Knowledge Management",2016,Connecting people with knowledge,2012,"Mountain View, California, United States",2.0,2.0,Kifi,11200000.0,1.0
791,"Analytics, Big Data, E-Commerce",2016,Jirafe provides e-commerce-tailored analytics that facilitate data-driven marketing and merchandising for retailers.,2010,"New York, New York, United States",2.0,2.0,Jirafe,7000000.0,0.0
792,"Food and Beverage, Food Processing, Hospitality, Restaurants",2016,Dinner Lab is a membership-based social dining experiment that unites undiscovered chefs with adventurous diners who are looking for,2011,"New Orleans, Louisiana, United States",3.0,2.0,Dinner Lab,9100000.0,0.0
793,"Computer, Enterprise Software, Mobile",2016,"Pixate is a new platform for mobile interaction design. With it, you can create sophisticated interactive native prototypes without code.",2012,"Palo Alto, California, United States",2.0,2.0,Pixate,3800000.0,1.0
794,"Internet of Things, Smart Home, Software",2016,Revolv is a monitoring and control system that allows users to control their connected devices from a single hub.,2012,"Boulder, Colorado, United States",3.0,3.0,Revolv,7318000.0,1.0
795,"Architecture, GreenTech, Manufacturing",2016,"Reaction, Inc. is an innovative product company that designs and manufactures hardware and software to (re)meet a basic human need: shelter.",2011,"Austin, Texas, United States",1.0,7.0,Reaction,12934371.0,0.0
796,"Hardware, Internet of Things, Manufacturing",2016,OORT designs and manufactures hardware and software solutions which enable customers to turn their home or office into a smart one.,2013,"San Francisco, California, United States",2.0,2.0,oort Inc,3000000.0,0.0
797,"Internet, Media and Entertainment, Video",2016,Blab offers a platform that enables its users to communicate with the other users.,2015,"San Francisco, California, United States",3.0,1.0,Blab,5000000.0,0.0
798,"E-Commerce, Product Design, Retail",2016,Bezar is the Marketplace for Design.,2014,"New York, New York, United States",4.0,1.0,Bezar,2250000.0,1.0
799,"Mobile, Music, Social Media, Video",2016,"Eyegroove is a social network for mobile video creativity that enables video editing, music presentation, and video effects.",2013,"San Francisco, California, United States",2.0,3.0,Eyegroove,3550000.0,1.0
800,"Analytics, Big Data",2016,"Apropose develops software solutions for web design problems in consumer, small business, and enterprise applications.",2013,"Mountain View, California, United States",4.0,1.0,Apropose,1875000.0,0.0
801,"Consumer, Home Improvement, Smart Home",2016,"The Happy Home Company provides personal home management that includes home improvement, maintenance and repair.",2014,"San Jose, California, United States",2.0,2.0,The Happy Home Company,3500000.0,0.0
802,"Biotechnology, Health Care, Medical, Mobile",2016,Share Practice is a free social medical reference that provides practitioners with the best way to treat every illness.,2012,"San Francisco, California, United States",3.0,6.0,Share Practice,4125000.0,0.0
803,"Gaming, Mobile, Social",2016,"Bee Cave Games develops social and mobile games for the web, Facebook, and iOS and Android gaming platforms.",2012,"Austin, Texas, United States",2.0,5.0,Bee Cave Games,10850000.0,0.0
804,"Fashion, Jewelry, Wearables",2016,Cuff is creating jewelry wearables alert systems that connect to your phone.,2013,"San Francisco, California, United States",1.0,2.0,Cuff,5000000.0,0.0
805,"Health Care, Hospital, Medical",2016,HealthSpot provides health care services and collaborates with health systems and retailers.,2010,"Dublin, Ohio, United States",2.0,8.0,HealthSpot,54205334.0,0.0
806,"Cloud Computing, Developer Tools, Enterprise Software, iOS, PaaS, Software, Web Development",2016,Nitrous offers web applications development.,2012,"San Francisco, California, United States",2.0,2.0,Nitrous,7650000.0,0.0
807,"Energy, Solar",2016,Yeloha is a website where users can share solar power and be compensated for harvesting solar power.,2012,"Boston, Massachusetts, United States",3.0,2.0,Yeloha,4500000.0,0.0
808,"Electric Vehicle, Online Auctions, Railroad, Transportation, Travel",2016,"Evercar provides cars, coaching, and community to drivers who want to maximize their earnings Uber and Lyft.",2013,"Los Angeles, California, United States",,2.0,Evercar,6700000.0,0.0
809,"Banking, Bitcoin, Finance, Payments",2016,"The easiest way for people to buy, sell, store and send bitcoin. The world's largest bitcoin ATM network.",2013,"San Francisco, California, United States",2.0,2.0,Robocoin,125000.0,0.0
810,"Analytics, Concerts, Events, Mobile, Music, Music Venues, Ticketing, Video Streaming",2016,Magnifi is a website that helps connect users to live music performances in their local area.,2013,"Emeryville, California, United States",4.0,1.0,MAGNIFI,9350000.0,0.0
811,"Apps, Data Integration, Marketing Automation, Personalization, Wearables",2016,Strap is a analytics platform that draws actionable insights from human data.,2014,"Cincinnati, Ohio, United States",3.0,2.0,Strap,1220000.0,0.0
812,"Email, Marketing, SaaS",2016,Helping salespeople spend more time selling,2013,"San Francisco, California, United States",3.0,4.0,Immediately,2550000.0,1.0
813,"Digital Media, Nightlife, Social Media",2016,"BarEye is a digital way to buy drinks. Buy, send and receive drinks from your favorite local bars, straight from your phone.",2010,"Miami, Florida, United States",4.0,3.0,BarEye,849988.0,0.0
814,"Communities, Internet, Software",2016,Halolife is an online platform that provides step-by-step guidance to plan and find a burial or cremation service that meets your needs.,2015,"San Francisco, California, United States",2.0,1.0,Halolife,120000.0,0.0
815,"Semantic Search, Social Media",2016,EagerPanda is building a world where all of human knowledge is well organized and easily accessible,2013,"Portola Valley, California, United States",3.0,4.0,EagerPanda,4400000.0,0.0
816,"Enterprise Software, Photo Editing, Photography",2016,"The smart home for photos. The future of personal photo archives. Store, sync, and rediscover.",2011,"New York, New York, United States",3.0,2.0,Picturelife,4600000.0,1.0
817,"Apps, E-Commerce, Mobile, Software",2016,Shovel apps is a web platform that lets you create awesome e-commerce mobile applications for Android and iOS in just a few minutes.,2014,"San Jose, California, United States",4.0,1.0,Shovel Apps,650000.0,0.0
818,"Human Resources, Recruiting, Software",2016,Meet candidates with video applications from 20+ job sites,2013,"Las Vegas, Nevada, United States",2.0,7.0,JobHive,2902275.0,0.0
819,"Cooking, Food and Beverage, Real Estate, Restaurants",2016,"The best dishes from notable restaurants & chefs, developed for the home kitchen.",2014,"San Mateo, California, United States",3.0,2.0,Din,3000000.0,0.0
820,"Finance, Health Insurance, Insurance",2016,Melody Health Insurance is a provide value-priced health insurance,2015,"Denver, New York, United States",1.0,2.0,Melody Health Insurance,6844932.0,0.0
821,"Mobile Payments, Network Security, SaaS, Small and Medium Businesses, Social Media Marketing, Software",2016,"Prompt.ly is a mobile platform that enables independent service providers to carry out scheduling, promotional, and payment activities.",2013,"San Francisco, California, United States",2.0,1.0,Prompt.ly,1500000.0,1.0
822,"Advertising, Advertising Platforms, Developer Tools, Mobile Apps",2016,App.net offers a distribution and monetization platform for mobile application developers.,2010,"San Francisco, California, United States",1.0,3.0,App.net,3000000.0,0.0
823,"Consulting, Finance, FinTech, Outsourcing",2016,Ziptask is an online outsourcing services platform that employs project managers to execute the projects of consumers and SMEs.,2011,"Anaheim, California, United States",2.0,3.0,Ziptask,118000.0,0.0
824,"Developer APIs, E-Commerce, Payments, Social Media",2016,Commerce brings merchants into Buy Now & Omni Commerce Channels,2012,"Seattle, Washington, United States",3.0,5.0,Comr.se,3670260.0,0.0
825,"Broadcasting, Collaboration, Crowdsourcing, Film, Mobile, Music, Photography, Social Media, Video",2016,Vyclone is an application that synchronizes video clips from multiple users and creates one editable film.,2011,"Venice, California, United States",2.0,1.0,Vyclone,2700000.0,0.0
826,"Computer, GPS, Hardware, Information Technology",2016,"Helios offers bicycle handlebars that integrate high-power LEDs, Bluetooth 4.0, and GPS tracking capabilities.",2012,"San Francisco, California, United States",3.0,3.0,Helios,25000.0,0.0
827,"Energy, Energy Storage, Solar",2016,OneSunn is a provider of commercial solar photovoltaic (PV) and thermal systems that offer solar systems to establishments.,2009,"Graton, California, United States",,2.0,OneSun,41157036.0,0.0
828,"Analytics, Big Data, CRM, Customer Service",2016,Trak.io is a customer success platform for increasing revenue and reducing churn in subscription companies.,2013,"San Francisco, California, United States",7.0,2.0,Trak.io,175000.0,0.0
829,"Bitcoin, Film, Messaging, Music, Video, VoIP",2016,Messaging. Entertainment.,2014,"New York, New York, United States",3.0,2.0,Wiper,4500000.0,0.0
830,"Analytics, Big Data, Business Intelligence, FinTech, Information Services, Internet, Predictive Analytics, Real Estate",2016,We quantify risks & costs for businesses and their customers in the housing sector,2013,"San Francisco, California, United States",3.0,2.0,DwellAware,2181000.0,0.0
831,"Digital Media, Social Media, Video, Video Streaming, Virtual Reality",2016,"Vrideo is a virtual reality start-up building a streaming, hardware-agnostic, and independent immersive video distribution platform.",2014,"Los Angeles, California, United States",2.0,1.0,Vrideo,1800000.0,0.0
832,"Advertising, Mobile, Product Search, Video",2016,Buzztala creates and publishes the perfect video ads for every platform -- at massive scale to best tap advances in audience targeting.,2013,"New York, New York, United States",2.0,3.0,Buzztala,3000000.0,0.0
833,"Hardware, Mobile Apps, Wearables, Wellness",2016,Soundhawk Corporation is focused on the development of wearable high-tech hearing aid equipment.,2011,"Cupertino, California, United States",1.0,2.0,Soundhawk Corporation,11200000.0,0.0
834,"Children, Family, Financial Services, FinTech, Social Media",2016,TrustEgg is a child savings product that combines the security of a trust fund with the power of social networks.,2011,"Temecula, California, United States",2.0,2.0,TrustEgg,1150000.0,0.0
835,"Biotechnology, Life Science, Therapeutics",2016,"Antegrin Therapeutics is a Biotechnology company located in 4320 Forest Park Ave., Ste. 304, St. Louis, MO, United States.",2012,"St Louis, Missouri, United States",3.0,3.0,Antegrin Therapeutics,900000.0,0.0
836,"Cannabis, Legal, Software",2016,CannaBuild is a digital support application that helps cannabis dispensaries ensure compliance & serve their patients better. -,2014,"Denver, Colorado, United States",1.0,2.0,CannaBuild,480000.0,1.0
837,"Collaborative Consumption, Communities, Mobile",2016,The original idea and team has shutdown and has been dissolved. Some members of the team have moved on to create YouAte.,2013,"San Francisco, California, United States",3.0,2.0,Piqniq,587500.0,0.0
838,"Human Resources, Recruiting, Social Recruiting",2016,StrongIntro is a recruiting tool and service that 10x’s your employee referrals.,2015,"San Francisco, California, United States",1.0,1.0,StrongIntro,120000.0,0.0
839,"Information Services, Information Technology",2016,STAND is a mobile application where you connect with people who inspire you to put your compassion into action.,2014,"San Francisco, California, United States",1.0,1.0,STAND Technologies,2250000.0,0.0
840,"Mobile, Sports, Wearables",2016,"Shot Stats is a sports technology company creating groundbreaking hardware and software platforms that will revolutionize the way we learn,",2013,"Atlanta, Georgia, United States",2.0,5.0,Shot Stats,275000.0,0.0
841,"Mobile Apps, Social Media, Video Editing",2016,Nito is mo-cap technology that allows users to chat and send video messages as a 3D avatar all within mobile and desktop devices.,2013,"New York, New York, United States",1.0,2.0,Nito Inc.,795000.0,1.0
842,"Apps, Internet, News",2016,Building a ranked leaderboard of news.,2012,"Boston, Massachusetts, United States",3.0,1.0,BriefMe,400000.0,0.0
843,"Collaborative Consumption, Mobile",2016,On-demand renting of tech items.,2014,"New York, New York, United States",2.0,1.0,Baro,100750.0,0.0
844,"Big Data, Cyber Security, Identity Management, Risk Management, Sustainability",2016,"Armour.io secures your enterprise data at rest, in motion, in use.",2014,"San Antonio, Texas, United States",4.0,1.0,Armour.io,350000.0,0.0
845,"Analytics, Computer, Software",2016,HuntForce is a trail camera analytics platform.,2013,"Omaha, Nebraska, United States",1.0,2.0,HuntForce,1225000.0,0.0
846,"Apps, E-Commerce, Fashion, File Sharing, iOS, Lifestyle, Photography",2016,"Trendabl is a fashion-focused photo-sharing iPhone app that allows users to take fashion-related photos, add filters, and tag them.",2012,"New York, New York, United States",1.0,1.0,Trendabl,1235000.0,0.0
847,"Agriculture, Water",2016,Environmental Sensing & Agricultural Irrigation Automation,2014,"Martin, South Dakota, United States",2.0,3.0,AgSmarts Inc.,400000.0,0.0
848,"Apps, Gamification, iOS, Social Media",2016,Wyldfire is an exclusive network with unique features that helps you meet quality people.,2013,"Los Angeles, California, United States",5.0,3.0,Wyldfire,450000.0,0.0
849,"Enterprise Software, Information Services, Information Technology",2016,Briefcase provides colleges with a tool that exposes students to all jobs relevant to their career paths in an easy to use platform.,2013,"Olathe, Kansas, United States",3.0,2.0,Briefcase,318000.0,0.0
850,"Apps, Consumer Lending, Local",2016,"Virgo connects service seekers with service providers based in New York, United States.",2015,"New York, New York, United States",2.0,1.0,Virgo,250000.0,0.0
851,"Android, Apps, Internet of Things, iOS, Mobile, SaaS",2016,"Identifying opportunity, embedding connectivity, and creating the key web and mobile interfaces to complete the circuit.",2011,"Madison, Wisconsin, United States",2.0,4.0,MobileIgniter,476000.0,0.0
852,"Apps, Mobile",2016,Haven is a free app that makes it easy and convenient to take care of your house.,2014,"Fishers, Indiana, United States",3.0,1.0,Haven,1024999.0,0.0
853,"Collaboration, Education, Software",2016,StudyCloud is a developer of online collaboration platforms for the education and enterprise market.,2010,"Chicago, Illinois, United States",3.0,1.0,StudyCloud,110000.0,0.0
854,"Collaboration, E-Learning, Real Time",2016,Scoot & Doodle is an open-ended creative environment that enables groups of people to share their creations through videos.,2012,"Palo Alto, California, United States",,1.0,Scoot & Doodle,2250000.0,0.0
855,"Analytics, Big Data, Data Center Automation, Data Visualization, Information Technology",2016,"A platform for scientists to automatically analyze, store and share data",2013,"New York, New York, United States",1.0,2.0,Stirplate.io,595000.0,0.0
856,"Analytics, Big Data, Internet, Mobile, Real Estate",2016,"Home buying made time efficient, personalized and stress free for busy professionals.",2013,"New York, New York, United States",2.0,1.0,CityRaven,875000.0,0.0
857,"Music, Professional Services, Software",2016,Sonation apps make singing and playing music more fun and interactive.,2013,"Boston, Massachusetts, United States",3.0,2.0,Sonation,275000.0,0.0
858,"Automotive, Mobile",2016,LYFEBOAT is Uber meets AAA for the lifecycle of your car.,2014,"Cincinnati, Ohio, United States",3.0,1.0,LYFEBOAT,100000.0,0.0
859,"Biotechnology, Manufacturing, Pharmaceutical",2016,Kalidex Pharmaceuticals develops quinolones to fight infections caused by multi-drug resistant organisms.,2010,"Menlo Park, California, United States",1.0,3.0,Kalidex Pharmaceuticals,15000626.0,0.0
860,"E-Commerce, Mobile, Mobile Payments, Price Comparison, Shopping",2016,Mobile-centric shopping solutions designed to remove the online checkout friction,2010,"San Francisco, California, United States",2.0,1.0,Zappli (Acquired by Shopzilla),500000.0,1.0
861,"Analytics, Big Data, Enterprise Software",2016,Big Data Perspective is a Sillicon Vally-based startup that makes open-source software frameworks accessible to mainstream enterprises.,2014,"San Francisco, California, United States",1.0,1.0,Big Data Perspective,650000.0,0.0
862,"Apps, Messaging, Social Media",2016,A social messaging app that brings the party to your lock screen,2014,"San Francisco, California, United States",2.0,1.0,WUT,1000000.0,0.0
863,"E-Commerce, Food and Beverage, Snack Food",2016,Yumbin is compact corner store to that offer snacks and beverages in an office.,2013,"San Francisco, California, United States",1.0,2.0,Yumbin,120000.0,0.0
864,"Computer, Mobile Apps, Software",2016,Comprehensive workflow for tablet classrooms,2012,"Bethlehem, Pennsylvania, United States",4.0,2.0,Skaffl,118000.0,0.0
865,"E-Commerce, Shopping",2016,We analyze your online grocery receipts and recommend healthier options.,2015,"San Francisco, California, United States",2.0,1.0,Epicure,40000.0,0.0
866,"Business Intelligence, Financial Services, Local",2016,Becovillage Inc. is a global Crowdfunding platform with its USA,2009,"Las Vegas, Nevada, United States",,1.0,Becovillage,5000000.0,0.0
867,"E-Commerce, Mobile, Mobile Payments",2016,"RewardMyWay is a technology company that creates mobile applications, allowing users to find, pay, and earn CashBack at local merchants.",2013,"Chicago, Illinois, United States",1.0,1.0,RewardMyWay,2000000.0,0.0
868,"E-Commerce, Fashion, Retail",2016,Masculine clothing and accessories for women and transmen.,2012,"Oakland, California, United States",2.0,2.0,Saint Harridan,137600.0,0.0
869,"Analytics, Sensor, Software",2016,"In-store shopping cart abandonment analytics. (Acquired, Smartrac N.V.)",2014,"Inglewood, California, United States",,1.0,StyleWhere,190000.0,0.0
870,"Brand Marketing, Business Intelligence, Lead Generation, Social Media",2016,Tuned in Selfie,2013,"Las Vegas, Nevada, United States",1.0,3.0,Facities,1500000.0,0.0
871,Angel Investment,2016,"Unicorn.ly is an angel investing platform to help angels collaborate to source, evaluate, mentor, and invest in the most promising startups.",2014,"Palo Alto, California, United States",1.0,1.0,Unicornly,120000.0,0.0
872,"Biotechnology, Manufacturing, Medical",2016,VR1 develops and manufactures non-prescription medicine for the treatment of migraine and severe headaches.,2012,"New York, New York, United States",1.0,4.0,VR1,2389279.0,0.0
873,"E-Learning, Language Learning, Translation Service",2016,Transformative messaging products for learning,2015,"New York, New York, United States",2.0,1.0,Echelon Creative,100000.0,0.0
874,"Communities, Real Estate, SaaS",2016,The Must Have Communication Tool For Your Community,2012,"Tulsa, Oklahoma, United States",2.0,2.0,ReTenant,440000.0,0.0
875,"Analytics, Developer Tools, Real Time",2016,The ultimate set of conversion analytic tools,2014,"San Diego, California, United States",1.0,1.0,Maxly,500000.0,0.0
876,"Product Design, Wearables",2016,PerchBaby is creating products that make parenting easier using state-of-the-art wearable technology.,2014,"San Mateo, California, United States",3.0,1.0,PerchBaby,200000.0,0.0
877,"Analytics, Artificial Intelligence, Geospatial",2016,Arogi provides software for government inspectors to coordinate their routes and schedules,2015,"Goleta, California, United States",2.0,1.0,"Arogi, Inc.",150000.0,0.0
878,"Financial Services, Information Technology, Payments",2016,Curenci is a socially-responsible payment platform that provides loyalty rewards to cardholders and their favorite causes.,2011,"Edina, Missouri, United States",1.0,1.0,Curenci,125000.0,0.0
879,"Communities, Education, Robotics",2016,"Bilibot offers an affordable, open source robotics platform primarily for the education and hobbyist communities.",2011,"San Francisco, California, United States",2.0,1.0,Bilibot,25000.0,0.0
880,"Enterprise Software, Events, Social",2016,SquaredOut develops an online event-driven social calendaring service that allows users to broadcast their upcoming events and activities.,2011,"Costa Mesa, California, United States",,1.0,SquaredOut,225000.0,0.0
881,"Financial Services, Impact Investing, Professional Services",2016,Verinvest was a leading provider of investor verification services to companies and investment funds in the United States.,2013,"Wayne, Pennsylvania, United States",,1.0,Verinvest Corporation,219738.0,0.0
882,"Consumer Electronics, Gift Card, Software",2016,"Livrada offers an e-book card which is a physical gift card, allowing the holder to redeem and download e-books onto their e-reader devices.",2012,"Monrovia, California, United States",2.0,2.0,Livrada,1410816.0,0.0
883,"Big Data, Internet, Retail Technology",2016,Reinventing the good ol' weekly circular.,2013,"San Jose, California, United States",2.0,1.0,Pirc,250000.0,0.0
884,"E-Commerce, Location Based Services, Mobile, Social Media",2016,"Slingr makes it easier, cheaper, and more valuable for consumer brands to acquire customers and participate in social commerce.",2011,"Burbank, California, United States",4.0,1.0,Slingr,455000.0,0.0
885,"Analytics, Database, Marketing",2016,"Context360 gives you powerful new insights into app behavior outside your app that fuels better decisions around when, where.",2014,"San Mateo, California, United States",2.0,2.0,Context360,5266132.0,0.0
886,"Manufacturing, Renewable Energy, Solar",2016,Progeny Solar is a manufacturer of PV solar panels for the European market.,2010,"Marlborough, Massachusetts, United States",,1.0,Progeny Solar,505000.0,0.0
887,"Advertising, App Marketing, Content, Digital Media, E-Commerce, Mobile, Publishing, Social Media, Social Media Marketing",2016,"Kynded is a social media community offering a mobile platform for individuals, groups, and corporations to reward acts of kindness.",2012,"San Francisco, California, United States",,1.0,Kynded,100000.0,0.0
888,"E-Commerce, EBooks, Online Portals",2016,Book Buyback enables users to buy and sell used textbooks with free shipping.,2010,"Sandy, Utah, United States",,1.0,Book Buyback,1000000.0,0.0
889,"E-Learning, Education, Tutoring",2016,"Formative assessment, lesson planning and parent communication",2012,"Boston, Massachusetts, United States",3.0,1.0,BrightLoop,5266132.0,0.0
890,"Manufacturing, Market Research, Marketplace",2016,"The Recovery Station manufactures, markets and services a sleek kiosk that perfectly blends customized protein shakes when and where needed.",2014,"Louisville, Kentucky, United States",,1.0,Recovery Station,20000.0,0.0
891,"E-Commerce, Fashion, Social Network",2016,"Shop fashion curated by bloggers, influencers and friends",2015,"Sunnyvale, California, United States",3.0,1.0,tote,5266132.0,1.0
892,"Google, Social Network, Web Hosting",2016,"ThinkUp gives you insights into your activity on social networks like Twitter, Facebook and Google+.",2009,"New York, New York, United States",2.0,1.0,ThinkUp,5266132.0,0.0
893,"Advertising, Email Marketing, Software",2016,B2B Lead Generation for Adtech Industry,2013,"Dallas, Texas, United States",,2.0,Ad Tech Media Sales,175000.0,0.0
894,"Advertising, Cloud Computing, Enterprise Software, Mobile",2016,Scratch-it is a marketing software tool to create interactive experiences,2013,"Portland, Oregon, United States",2.0,2.0,Scratch-it,5266132.0,0.0
895,"CRM, Enterprise Software, Internet of Things, Software",2016,Google Analytics for Sales Backed by IDG-Accel and Lightspeed,2013,"Mountain View, California, United States",2.0,1.0,Contastic,5266132.0,1.0
896,"Mobile, Ticketing",2016,WalletKit is a SaaS-based platform enabling businesses to design and deliver digital passes and tickets to mobile wallets.,2012,"Mountain View, California, United States",2.0,1.0,WalletKit,5266132.0,0.0
897,Health Care,2016,CarePlanners is a team of senior care advisors in clinical service who work with families to coordinate services for your aging loved ones.,2011,"New York, New York, United States",,1.0,CarePlanners,5266132.0,0.0
898,"Consumer Electronics, Hardware, Wearables",2016,"GMG33 is on AngelList, where the world meets startups.",2014,"Roseville, California, United States",1.0,1.0,GMG33,25000.0,0.0
899,"Association, Communities, Humanitarian, Internet, Non Profit",2016,SoRewarding is a cause-focused social network that integrates giving into daily activities.,2010,"Denver, Colorado, United States",,1.0,SoRewarding,110000.0,0.0
900,"Customer Service, Railroad, Social Network, Transportation",2016,Redesign and manufacture the next hoverboards in the US!,2015,"New Brunswick, New Jersey, United States",2.0,1.0,Glitek,5266132.0,0.0
901,"Analytics, Application Performance Management, Cloud Management, Data Center, Machine Learning, Virtualization",2016,Intelligent Operations for Modern Applications & Infrastructure,2014,"Mountain View, California, United States",1.0,1.0,N42,5266132.0,0.0
902,"Health Care, Hospital, Retirement",2016,Expert Reviews of Senior living Communities SeniorReports is a free resource to help your family find the best senior living options using,2012,"New York, New York, United States",2.0,1.0,Senior Reports,5266132.0,0.0
903,"3D Printing, Advanced Materials, Manufacturing, Textiles",2016,Next generation textile manufacturing.,2014,"San Francisco, California, United States",3.0,3.0,Electroloom,5266132.0,0.0
904,"Computer, Health Care, Hospital, Sensor, Software",2016,LIR is a company offering a bladder fullness sensor for those struggling to manage their bladders.,2015,"San Francisco, California, United States",1.0,1.0,LIR,5266132.0,0.0
905,"Hospitality, Information Technology, Travel",2016,Restaurant efficiency company that allows guests at the table to pay their check from their phone,2014,"Allston, Massachusetts, United States",1.0,1.0,SplitNGo,5266132.0,0.0
906,Social Media,2016,Hunie is an invite-only community for designers to collaborate by giving each other constructive critiques that help improve their work.,2009,"Mountain View, California, United States",1.0,1.0,Hunie,5266132.0,0.0
907,"Content Discovery, FinTech",2016,Trafinity is a technology startup that designs and develops discovery and collaboration tools for the financial markets.,2013,"Seattle, Washington, United States",3.0,1.0,Trafinity,5266132.0,0.0
908,"Consumer Electronics, Information Services, Information Technology",2016,The first truly wireless earbuds powered by a technology 10x superior to Bluetooth.,2014,"San Francisco, California, United States",1.0,2.0,HearNotes Inc.,5266132.0,0.0
909,"Manufacturing, Wine And Spirits, Winery",2016,Tin Whiskers is a manufacturer of wines.,2010,"Saint Paul, Minnesota, United States",3.0,1.0,Tin Whiskers,5266132.0,0.0
910,"Employment, Marketing Automation, Recruiting",2016,Sizzle is a recruitment automation platform that saves recruiters time while improving the candidate experience,2015,"Nashville, Tennessee, United States",2.0,1.0,Sizzle,5266132.0,0.0
911,Health Care,2016,UncleCare offers a solution to manage care delivery and health outcomes for patients with cardiovascular diseases.,2012,"San Jose, California, United States",,1.0,UncleCare,5266132.0,0.0
912,"Computer, Enterprise Applications, Messaging",2016,"Awesome is your Slack Sidekick, an intergalactic Bot that makes space for your team by offering Status, Sidebars, Do Not Disturb and more.",2015,"San Diego, California, United States",2.0,1.0,Awesome AI,5266132.0,0.0
913,Payments,2016,We are a network of individuals who assist startup Executives during times of transformation,2016,"San Francisco, California, United States",1.0,1.0,VOXly Partners,5266132.0,0.0
914,"E-Commerce, Internet of Things, Mobile Payments, Personalization, Shopping",2016,Kikr - the social app giving exclusive access to deals and discounts based on location and follower activity.,2014,"Los Angeles, California, United States",1.0,1.0,Kikr,5266132.0,0.0
915,"Data Integration, Mobile, Mobile Apps",2016,Skyfunnel preditcs users/customer's best re-engaged/purchase time while analyzing their footprints in the app.,2015,"San Francisco, California, United States",2.0,3.0,Skyfunnel,5266132.0,0.0
916,"Consulting, Fitness, Wellness",2016,Core5 Studio was founded with one main focus: Fix everything wrong in the fitness industry. With our years of experience working.,2013,"Brandon, Florida, United States",,1.0,Core5 Studio,5266132.0,0.0
917,"Energy, Energy Efficiency, Oil and Gas",2016,The Company’s #1 objective is to acquire oil and gas leases with the best long-term profit potential at the best possible.,2009,"Plano, Texas, United States",,1.0,Aegis Oil,5266132.0,0.0
918,Sporting Goods,2016,"Gaither Design Company, LLC is a design engineering company that has developed and a product,",2013,"Louisville, Kentucky, United States",,1.0,Gaither Design,5266132.0,0.0
919,"Information Services, Management Consulting, Service Industry",2016,Operationum,2015,"New York, New York, United States",1.0,1.0,Operationum,5266132.0,0.0
920,"Content Discovery, E-Commerce, Fashion, Lifestyle, Retail",2016,BratPackStyle is an Omni-channel commerce platform for adolescent trendsetters.,2015,"New York, New York, United States",,1.0,"BratPackStyle, LLC.",5266132.0,0.0
921,Dietary Supplements,2016,"Nutrify provides tailored recipes based on a user’s unique nutritional needs, clinical data, medications, and health conditions.",2014,"Saint Cloud, Minnesota, United States",,1.0,Nutrify,5266132.0,0.0
922,"Enterprise Software, SaaS, Service Industry",2016,"The Company plans to build, own and operate a 25 ton per hour (""TPH"") material recovery facility (""MRF"") in Licking County Ohio.",2014,"Overland Park, Kansas, United States",,1.0,Level 5 Recycling,5266132.0,0.0
923,Music,2016,Radio Rebel is an online media network showcasing thousands of independent artists from across the world through a radio broadcast and more.,2013,"Denver, Colorado, United States",1.0,1.0,Radio Rebel,5266132.0,0.0
924,"Education, Food and Beverage, Health Care, Hospitality",2016,"The Yummy Garden Kids Eatery, LLC mission is to inspire a symbolic and structural change in children’s health.",2012,"Norfolk, Virginia, United States",,1.0,Yummy Garden Kids Eatery,5266132.0,0.0
