,company_name,description,industry_groups,headquarters
2115,Itinerate,"Itinerate operates as a travel planning software for agents, tour operators and DMCs."," Community and Lifestyle, Software, Travel and Tourism",Colorado
2116,itiliti,itiliti provides human capital management solutions for buyers and suppliers of staffing and services.," Real Estate, Software, Transportation, Travel and Tourism",Minnesota
2117,Iteright,Iteright helps software product teams create solutions that customers need through guided data-driven validation activities.,Software,Florida
2118,iT1 Solutions,"iT1 Solutions Is an IT firm that renders managed IT, software support, email hosting, VoIP and cloud computing services."," Information Technology, Internet Services, Messaging and Telecommunications, Software",South Carolina
2119,Isotropic Design,"Isotropic Design was founded in 2019 to create websites for Architects, Contractors, Service Providers and others."," Design, Software",New York
2120,Knot,Knot is a modern case log that helps doctors and patients.," Apps, Health Care, Mobile, Software",Massachusetts
2121,KnocKnock,We are enhancing virtual communication and interaction for the better.," Hardware, Software",Massachusetts
2122,Kloud-12,Kloud-12 is compatible with multiple devices and platforms giving teachers the freedom to view and share classroom lessons with ease.," Content and Publishing, Education, Information Technology, Internet Services, Media and Entertainment, Video",Georgia
2123,Kippo,Kippo is a dating and social app for gamers," Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Software",California
2124,Kintaba,Kintaba is a modern incident management platform that helps companies recover from major outages and incidents as a team.," Information Technology, Software",New York
2125,Khipu Technologies,"Khipu is a Compliance-as-a-Service solution for banks and payment services providers for high risk transactions, including CBD/Cannabis."," Information Technology, Software",California
2126,KEYZY,Simple cloud based licensing platform for software,Software,California
2127,Keydabra,"Artificial Intelligence, SaaS"," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Georgia
2128,Key Live,Key Live is a live pay-per-stream platform helping talents to earn as well as get them closer to their fans.," Financial Services, Payments, Sales and Marketing",Illinois
2129,Kern Systems,Kern Systems leverages the power of enzymes and software to create the world's most scalable DNA data storage infrastructure.," Biotechnology, Science and Engineering, Software",Massachusetts
2130,Keeper Tax,Keeper Tax is a software platform that automatically monitors purchases for tax deductible expenses.," Apps, Financial Services, Professional Services, Software",California
2131,Karyo,Karyo is a crowdsourced review platform for concerts and music festivals.," Apps, Internet Services, Media and Entertainment, Music and Audio, Software",New York
2132,Kama,Kama is a dating app that streamlines the dating process.," Apps, Community and Lifestyle, Mobile, Software",New York
2133,LeaseUp,LeaseUp is a real estate software company.," Real Estate, Software",Massachusetts
2134,Lawnbot.biz,"Saas, Salesbot, Whitelabel platform, payment, instant quote"," Information Technology, Sales and Marketing, Software",Michigan
2135,LawDesk360,LawDesk360 is an artificial intelligence workflow efficiency platform that helps enterprise legal organizations.," Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",California
2136,LaunchNotes,LaunchNotes delivers exceptional customer experiences by keeping your teams and your users ahead of upcoming product changes.," Other, Software",California
2137,Launchable,Launchable is a software that supports firms in selecting the right tests for coding modification in real-time during the dev cycle.," Information Technology, Internet Services, Software",California
2138,Last Lock,Last Lock allows homes and businesses to transform any mechanical lock system into a highly secure smart lock.,Software,Wisconsin
2139,Lantern,Lantern provides user behavior monitoring for modern product teams.," Information Technology, Privacy and Security",California
2140,LangInnov,LangInnov provides educational applications for bilingual communities.," Apps, Community and Lifestyle, Education, Software",New York
2141,Landau Consulting,"Landau Consulting offers web design and development, web hosting, data management, SEO, internet marketing and IT services to its clients."," Design, Internet Services, Sales and Marketing, Software",New Jersey
2142,Lana Learn,Lana Learn is an online English language platform.," Education, Software",Washington
2143,Kwikse,Experience traditional & immersive entertainment for active mobile audiences," Apps, Content and Publishing, Hardware, Internet Services, Media and Entertainment, Mobile, Software, Video",California
2144," Kuri (Know Eat All, Inc.) ","Kuri, edited by Know Eat All, Inc., is the first sustainable cooking app available on iOS."," Apps, Food and Beverage, Software",California
2145,Kraftful,The software layer for the physical world.," Apps, Consumer Electronics, Internet Services, Real Estate, Software",California
2146,KovaDx,"KovaDx is bridging the health disparity faced by people with sickle cell disease, as well as, other hemolytic anemias."," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Connecticut
2147,KosmoTime,"KosmoTime focuses on the fields of calendar management, to-do list, batching, sprint tasks, and distraction blocking."," Apps, Information Technology, Software",New York
2148,Kontxt,Kontxt is an internet company that offers solutions to reduce deception and improve customer engagement in real-time via app and online.," Apps, Internet Services, Software",California
2149,LogicallyE,LogicallyE develops mobile apps and websites.," Apps, Mobile, Software",New Jersey
2150,Loft,Get the benefits of an internal Kubernetes platform without spending years to build it yourself.," Information Technology, Internet Services, Software",California
2151,Lodestone Health,"Automated clinical notes, EMR data entry and clinical analytics for primary care"," Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",Michigan
2152,Locals,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.," Internet Services, Media and Entertainment, Other, Software",New York
2153," Loadtech, Corp. ","Logistics, SaaS"," Financial Services, Software, Transportation",Florida
2154,LiveGreen,LiveGreen seamlessly tracks users' daily emissions and provides a social platform where people can connect with others by taking action.," Community and Lifestyle, Mobile, Software, Sustainability",Florida
2155,LitLingo,"LitLingo provides an A.I. platform that reduces business risk, improves culture, and saves money with every communication sent."," Artificial Intelligence, Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Texas
2156,Listory,Listory is the world’s first content refinery powered by human-curation to mine the best of the web.," Apps, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Software",New York
2157,Liquid,Liquid provides reimagine traditional HR and finance software solutions for the liquid workforce.," Administrative Services, Internet Services, Software",California
2158,Lionize,"Digital Prezence is an advertising technology company with a focus in influencer campaigns, email marketing, and market research."," Advertising, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software",New York
2159,Linux User Group Oberhausen Rheinland,Linux User Groups aim of introducing the free Linux operating system to as many users as possible and providing support to existing users.," Platforms, Software",Georgia
2160,Linguado,Linguado is a free mobile app that allows users to instantly link with native speakers of the language they desire.," Apps, Mobile, Software",Florida
2161,Linear,Linear allows users to manage software development and track bugs.," Consumer Electronics, Hardware, Software",California
2162,Limitl3ss,Innovative Performance Marketing Network," Advertising, Commerce and Shopping, Sales and Marketing, Software",California
2163,LigoSports,Sports innovation," Software, Sports",Georgia
2164,Lightning Law,"Lightning Law increases access to evidence, making the search for justice faster and more efficient and to lighten the burden on Courts."," Information Technology, Professional Services",Washington
2165,Market Insight Out,Market Insight Out aggregates investment insight from a variety of sources while enabling efficient curation and seamless distribution.," Information Technology, Software",New York
2166,Mango Sciences,Mango Sciences is an emerging market data science company that connects millions of underrepresented patients to precision medicine.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Massachusetts
2167,MamaLingua,MamaLingua is a community focused group looking to create tools to enhance language-learning with your children.," Education, Software",Texas
2168,Majestic Media LLC,"Web Site Design, Digital Marketing, Application Development, and Technology Consulting"," Design, Professional Services, Sales and Marketing, Software",Ohio
2169,Madiwor,Madiwor is a cloud management information system specifically designed for Label Manufacturers.," Information Technology, Software",New York
2170,MaC Venture Capital,"MaC Venture Capital is an early-stage venture capital firm focused on finding ideas, technology, and products that can become infectious."," Financial Services, Information Technology, Lending and Investments",California
2171,Lynx Verification,"Lynx Verification offers online solutions to verify transcripts, degrees, and diploma certificates."," Information Technology, Internet Services, Software",California
2172,Lunchable,Lunchable is an application that streamlines the process for users to join groups to match with other users.," Apps, Community and Lifestyle, Mobile, Software",California
2173,Lumeo,"Lumeo is a complete, edge-to-cloud vision platform that accelerates design, deployment and monitoring of vision solutions."," Consumer Electronics, Hardware, Internet Services, Software",California
2174,Lover App,Lover App develops a mobile application designed to address sexual concerns.," Apps, Information Technology, Media and Entertainment, Mobile, Software",California
2175,Love The Network,Love The Network is a dating app that operates on a community level.," Apps, Community and Lifestyle, Internet Services, Mobile, Platforms, Software",Maine
2176,LoudCrowd,LoudCrowd is a SaaS company redefining the way brands invest and interact with their customers as a tool for growth.," Consumer Electronics, Hardware, Software",Texas
2177,Logistics For Hire,Logistics For Hire is a developer of distribution management software.," Software, Transportation",New Jersey
2178,Mightyapp,Mighty makes Google Chrome faster & use 10x less memory.," Apps, Software",California
2179,Midnight,Midnight is an enterprise software company committed to transforming how enterprises connect and make use of data," Information Technology, Software",California
2180,Meteor Strike Media,Meteor Strike Media is a 21st-century publishing company dedicated to introducing Korean culture to the larger Western world.," Apps, Content and Publishing, Internet Services, Media and Entertainment, Software",Virginia
2181,Mesh Dynamics,Mesh Dynamics provides SaaS solutions for testing distributed services applications.," Data and Analytics, Software",California
2182,MESA Digital Design,MESA Digital Design provides software solutions for the real estate industry.," Hardware, Real Estate, Software",Oklahoma
2183,Merri,Digital Event Planning Platform," Events, Media and Entertainment, Software",New York
2184,MerQube,Cloud-native financial indexing platform," Financial Services, Hardware, Information Technology, Internet Services, Software",California
2185,Merlyn.AI,Merlyn.AI is a Palo Alto-based exchange-traded fund sponsor.," Artificial Intelligence, Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",California
2186,mePrism,mePrism keeps track of user's virtual footprint and provides insights about their data.," Apps, Data and Analytics, Internet Services, Software",New York
2187,Menergi,Menergi is an ecosystem that provides institutional donors access to a diverse pool of nonprofits and communities.," Information Technology, Internet Services, Other",Georgia
2188,MemryX,MemryX is developing an in-memory computing system aimed to improve CPU/GPU computing architecture for data-intensive tasks.," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Michigan
2189,MeloQuest,MeloQuest is a role-playing game that teaches music and instrument skills.," Apps, Gaming, Media and Entertainment, Music and Audio, Software",Colorado
2190,Melodia,"Melodia is a smart music streaming platform, offering a simpler way to play and explore music."," Apps, Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Music and Audio, Science and Engineering, Software",California
2191,meeBeat,A new Social media platform for challengers!," Apps, Internet Services, Media and Entertainment, Mobile, Software, Video",Delaware
2192,MOXIE IoT,App-centric Industrial IoT Solutions," Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Internet Services, Manufacturing, Navigation and Mapping, Science and Engineering, Software",Alabama
2193,Montague Labs,A Full Service Digital Products Agency," Advertising, Apps, Design, Mobile, Sales and Marketing, Software",New York
2194,Monitaur,"Monitaur is a software company that provides auditability, transparency, and governance for companies using machine learning software."," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Massachusetts
2195,Monit,"Predictive cashflow & financial optimization platform for small business owners, distributed by banks and enterprise partners serving SMBs."," Artificial Intelligence, Data and Analytics, Financial Services, Lending and Investments, Software",Massachusetts
2196,MoneyGirls Inc.,Building the future of fintech for a rising generation," Apps, Financial Services, Software",Colorado
2197,Monday Night Mentorship,"Monday Night Mentorship creates mentoring, leadership, and development programs to accelerate the impact of marketers."," Community and Lifestyle, Sales and Marketing, Software",California
2198,Mona,Mona lets anyone create a webpage and start selling their skills online instantly," Apps, Information Technology, Software",California
2199,Mockgrid,"MockGrid specializes in offering modern web design and development for Ecom, SaaS and B2B companies."," Design, Software",California
2200,MoceanLab,MoceanLab is a mobile application that provides sustainable carsharing and transportation services to its customers.," Apps, Mobile, Software, Transportation",California
2201,MobileyMe,MobileyMe is a private cloud network platform that secures mobile phones.," Apps, Mobile, Privacy and Security, Software",Florida
2202,mltrons,mltrons enables organizations to leverage & build advanced machine learning algorithms without ever writing a single line of code.," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",New York
2203,Mistro,Mistro offers a platform that provides unique benefits plan to each remote employee.," Administrative Services, Health Care, Software",California
2204,Mission Met,"Mission Met is a strategic planning company that provides consulting, training, and software services for small nonprofits."," Education, Other, Professional Services, Software",Ohio
2205,Mir Protocol,Mir Protocol is a scalable cryptocurrency protocol which allows arbitrary computations to be verified in constant time.," Financial Services, Software",California
2206,Neosona,Universal healthcare through technology," Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",California
2207,NeoSoma,NeoSoma is a neuro-oncology AI platform providing AI imaging solutions for precise medical management.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Massachusetts
2208,Neatsy AI,Sneaker platform with AI-driven fit recommendations.," Artificial Intelligence, Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Science and Engineering, Software",California
2209,Navii,Navii is an augmented indoor navigation application that provides an onscreen turn-by-turn guidance.," Apps, Information Technology, Mobile, Software",California
2210,Nabsack,A better way to buy & sell.," Apps, Commerce and Shopping, Internet Services, Mobile, Software",California
2211,MyTotem,MyTotem is an Artificial Intelligence (AI)-powered brand maker used to create beautiful designs.," Advertising, Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",Georgia
2212,Myntor,Myntor builds online courses that help students outperform traditional classrooms by providing real-time feedback using conversational AI.," Education, Software",California
2213,Mx3 Data Centers,"Mx3 Data is a data center that utilizes liquid immersion technology for the cooling of machines, servers, and crypto miners."," Energy, Financial Services, Hardware, Information Technology, Natural Resources, Payments, Software, Sustainability",New York
2214,MuukTest,MuukTest is a software testing platform powered by AI that increases Software Devs testing productivity.," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",North Carolina
2215,MustDeliver,MustDeliver is an app that helps shipments happen quickly and efficiently.," Apps, Software, Transportation",Oregon
2216,Mustard,Mustard is an elite-level motion analysis app for broad athletics coaching.," Apps, Software, Sports",California
2217,Museum of Future Experiences,Museum of Future Experiences is an entertainment company that crafts and distributes VR experiences.," Hardware, Media and Entertainment, Software",New York
2218,MuseDev,MuseDev is an innovative code analysis platform.," Consumer Electronics, Hardware, Professional Services, Software",Oregon
2219,OBTIM,OBTIM provides secure and reliable solutions for both on-premises and cloud.," Information Technology, Privacy and Security, Software",New Jersey
2220,ObsidianQA,QA Test Run Dashboard,Software,Washington
2221,NutriSense,NutriSense personalizes nutrition by leveraging state of the art continuous glucose monitoring and machine learning technology.," Artificial Intelligence, Data and Analytics, Health Care, Software, Sports",Illinois
2222,NuriFlex,NuriFlex offers products that provide a complete energy IOT solution.," Information Technology, Internet Services",Washington
2223,Numero,"Numero is a campaign financial software that manages payment processing, accounting, and compliance for their campaigns."," Financial Services, Government and Military, Software",California
2224,Novi,Novi is a technology platform that uses AI to ingest proprietary chemical information from chemical manufacturers.," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",California
2225,Notivize,Notivize provides product managers and product marketers with the solutions they need to continuously optimize product experiences.,Software,California
2226,Notiphy,"SaaS software to help avoid paper processes, provide real-time data and improve collaboration for greater productivity and profitability."," Information Technology, Software",Illinois
2227,Nion Network,Nion Network is a US-based startup that offers business development tools for insurance companies.," Financial Services, Professional Services, Software",New York
2228,ninecoves,We strive to help businesses get reliable and timely insights to make information-driven decisions and develop a data-driven culture.," Data and Analytics, Information Technology, Professional Services, Software",California
2229,Next Alpha,Next Alpha is a Quantitative long/short strategy designed to deliver superior returns with limited risk.,Information Technology,New York
2230,OrderNerd,OrderNerd is a platform for restaurants that consolidates all of the third party delivery apps like Uber Eats & Doordash into one system.," Apps, Internet Services, Software",Georgia
2231,Oracle Health,Oracle Health is a heart failure monitoring system that specialized in heart failure and cardiac arrhythmias.," Artificial Intelligence, Data and Analytics, Health Care, Software",Texas
2232,Opyn,Opyn allows users to earn a premium or take views on assets by trading options on ETH and ERC20s.," Financial Services, Lending and Investments, Other, Payments, Software",California
2233,OpptyNow,OpptyNow is a software services and applications company that provides a platform for merchants and consumers.," Information Technology, Software",Massachusetts
2234,Operation Labs,Operation is a small VC-backed technology search lab started in 2019.,Mobile,California
2235,OompiTech LLC,"Led by a quality engineering veteran, we provide consulting, test engineering and talent acquisition services in the US and India."," Information Technology, Professional Services, Software",California
2236,OneNeighbor,"OneNeighbor is an app that allows homeowners to find, purchase, and manage home services."," Apps, Real Estate, Software",Texas
2237,Onebrief,Onebrief is a visual strategy tool.," Consumer Electronics, Government and Military, Hardware, Information Technology, Software",Texas
2238,One Link Ventures,"One Link Ventures is a full-stack digital agency specialized in software, web and mobile app development."," Apps, Mobile, Software",New York
2239,Oncospace,Oncospace is a medical device manufacturing company that specializes in radiation oncology.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Maryland
2240,Onaroll,Onaroll is an employee rewards app that incentivizes productivity and longevity.," Administrative Services, Health Care, Professional Services, Software, Travel and Tourism",New York
2241,Olema,Olema helps you become a better and more confident decision-maker.," Administrative Services, Other, Software",California
2242,Okay,Okay helps leaders run high-performing teams with dashboards and user-friendly workflows," Data and Analytics, Internet Services, Software",California
2243,OjaExpress,OjaExpress is an ecommerce company that offers a digital marketplace for cultural groceries.," Apps, Commerce and Shopping, Food and Beverage, Software",Illinois
2244,OinkChing,OinkChing is an online financial education platform that provides e-learning services.," Education, Financial Services, Software",Georgia
2245,PavedRoad,A complete cloud-native development platform feature service as code (SaC) and low-code recipes," Internet Services, Software",California
2246,Patent Digest,"artificial Intelligence for patent tracking, search and lawyer recommendation."," Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software",New York
2247,Parsons Technology,"Parsons Technology, Inc.is a sales service organization that specializes in assisting the manufacturing industries with best class software."," Hardware, Information Technology, Manufacturing, Science and Engineering, Software",Vermont
2248,Parrot.MD,Parrot.MD is a free mobile app for credentialed physicians to anonymously sell or claim call assignments.," Apps, Health Care, Software",Minnesota
2249,Parkside Collectibles,"Consumer products, Collectibles, Sports and Entertainment Licensing"," Commerce and Shopping, Consumer Goods, Software",California
2250,Parks Services,Parks Services provides high performance and cost-effective access for specialists in developing tech companies for future markets.," Information Technology, Professional Services, Software",California
2251,Park.Easy,Appless hands-free automated parking payment solution," Financial Services, Payments, Software, Transportation",California
2252,Parcy,Collaborative SaaS for event management.," Events, Information Technology, Media and Entertainment, Software",California
2253,Parasanti,Parasanti is a blue collar analytics company enabling anti big data and battlefield analytics.," Artificial Intelligence, Data and Analytics, Government and Military, Information Technology, Internet Services, Software",Texas
2254,Paragon,Paragon makes it easy to integrate your product with the SaaS apps your customers use.," Data and Analytics, Hardware, Information Technology, Software",California
2255,Palatable,"Palatable is an app that promotes healthy living by providing easy access to food that matches tastes, diets, and nutritional preferences."," Apps, Community and Lifestyle, Food and Beverage, Health Care, Mobile, Software",New Jersey
2256,Pact,"The only cannabis compliance platform to optimize, automate and report every state and local sales tax, business tax and excise tax."," Community and Lifestyle, Financial Services, Food and Beverage, Health Care, Internet Services, Professional Services, Software",Oregon
2257,Pacinos Salon,Pacino's is one of U.S.A's leading celebrity hair dresser and has worked with several celebrities over the years.," Apps, Community and Lifestyle, Education, Health Care, Software",Florida
2258,outSOC,"outSOC is a channel-exclusive, multi-tier, white-label, cloud-based security stack."," Information Technology, Privacy and Security, Software",California
2259,Outpost,Outpost is a platform that enables users to discover and connect with the right startups or investors.," Financial Services, Information Technology, Software",Colorado
2260,Outliant,"Outliant is a digital product development company that offers technical, end-to-end services."," Information Technology, Software",Texas
2261,Plaintext,User authentication and account protection tools helping developers secure modern software stacks.," Information Technology, Privacy and Security, Software",Illinois
2262,Pivot Market,Marketplace that allows brands to book spaces inside stores," Commerce and Shopping, Hardware, Software",Florida
2263,Pilota,Pilota leverages machine learning to predict flight disruptions and automatically rebook travelers' flights ahead of time.," Artificial Intelligence, Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software, Transportation",New York
2264,Pico MES,Pico MES is a computer software company that offers computer software designed for factory and machinery control.," Information Technology, Other, Software",California
2265,PICKL,On demand data from shoppers.," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Design, Hardware, Mobile, Other, Sales and Marketing, Software",California
2266,Phylum Data,"Phylum Data's PaaS, DataEngine, transforms mass amounts of unstructured data into analytics ready data."," Artificial Intelligence, Data and Analytics, Software",New York
2267,Phiona,"The no-code data workspace- integrate, wrangle, and automate"," Data and Analytics, Information Technology, Software",Georgia
2268,Pharo Technology,Web- and application-based safety software.," Community and Lifestyle, Information Technology, Software",California
2269,PharmalytIQ,PharmalytIQ is an information service company which provides end-to-end visibility from the manufacturer to the patient.,Information Technology,New York
2270," Phairify, Inc. ",Phairify is building a transparent and efficient market for physician services.," Health Care, Software",New York
2271,Phaidra,Phaidra provides AI and ML solutions to accelerate performance in large-scale industries.," Artificial Intelligence, Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software",Washington
2272,pH Networks,Cyber Security for Homes - Simplified," Artificial Intelligence, Consumer Electronics, Data and Analytics, Information Technology, Internet Services, Privacy and Security, Real Estate, Software",California
2273,Petrichor,"Petrichor is a cloud-based platform for agribusiness risk management, trade execution, and supply chain management."," Agriculture and Farming, Financial Services, Lending and Investments, Professional Services, Software, Transportation",Illinois
2274,PERSPECTIVES,PERSPECTIVES provides diversity and inclusion training in VR technology.," Education, Hardware, Professional Services, Software",California
2275,Period Tracker,Period Tracker is a software company that design and build application that maintain health records and track the lifecycle of women.," Apps, Community and Lifestyle, Health Care, Software",Georgia
2276,Peridot Technologies,SaaS Ordering Software," Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Software",Washington
2277,Performa Labs,"Performa Labs provides a software platform that allows faster, safer training for professionals with mission-critical careers.",Software,California
2278,Perfect Day,"Perfect Day is an entertainment company that specializes in developing crafted games, free-to-play and mobile gaming."," Gaming, Mobile, Professional Services",Washington
2279,Percepta,"​Percepta uses proprietary AI technology to analyze existing security camera feeds, and alerts employees of shoplifting incidents."," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",Pennsylvania
2280,Pera Labs,Pera Labs develops digiceuticals and AI-powered solutions for fertility.," Agriculture and Farming, Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Pennsylvania
2281,Pretsl,Online Ordering Infrastructure for Retail Foodservice," Commerce and Shopping, Food and Beverage, Other, Software",Minnesota
2282,Prelay,Drive more revenue as a team,Software,California
2283,Predict Point,"SaaS, AI, Machine Learning, Supply Chain, Sales Optimization"," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Internet Services, Software",Washington
2284,Preclusio,Preclusio develops software that helps companies comply with privacy regulations.," Information Technology, Privacy and Security, Software",California
2285,Praisidio,Praisidio™ protects your enterprise by mitigating talent risk through the use of a new generation of augmented intelligence tools.," Artificial Intelligence, Data and Analytics, Internet Services, Professional Services, Science and Engineering, Software",California
2286,Potluck,Potluck is a collaborative party organizer that simplifies the process of planning any type of event.," Apps, Events, Internet Services, Media and Entertainment, Software",Tennessee
2287,Postaga,"Postaga is an IT solutions firm that offers website promotion, custom, resources, review and tool outreach services."," Sales and Marketing, Software",New York
2288,Poppy Seed Health,"Poppy Seed Health offers on-demand text access to doulas, midwives, and nurses."," Health Care, Media and Entertainment, Mobile, Professional Services",New York
2289,Ponderosa,Ponderosa provides DevOps training for working software engineers.,Software,New York
2290,Pomerium,"Pomerium authenticate, authorize, monitor, and secure user access to any application without a VPN."," Apps, Information Technology, Software",California
2291,Polytomic,Sync internal data to your business systems," Data and Analytics, Information Technology, Other, Sales and Marketing, Software",California
2292,Polymer,Polymer is a search and discovery engine for internal business information.," Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",New York
2293,Polygon,Polygon provides tele-assessments and support for learning differences.," Education, Health Care, Software",California
2294,Politiq,"Politiq is a digital platform that locates and connects volunteers, political professionals, and campaigns."," Government and Military, Internet Services, Software",Texas
2295,Polis,Polis is a civic engagement platform that allows citizens to view a metric of actual representation from elected officials.," Government and Military, Software",Oklahoma
2296,PodRoom,PodRoom is a social media platform that provides chatrooms for the podcast communities.," Internet Services, Media and Entertainment, Music and Audio, Software",California
2297,PocketCFO,PocketCFO is a financial management platform that automates cash flow and provides real-time insights to make better financial decisions.," Financial Services, Other, Software",California
2298,Plura Interactive,"Plura Interactive provides digital marketing, e-commerce consulting, data science, web development services to various industries."," Other, Professional Services, Sales and Marketing, Software",Connecticut
2299,Plink,Plink makes smart links for podcasts. Smart links auto-open iOS and Android pre-installed apps or send to App links page.," Advertising, Internet Services, Media and Entertainment, Music and Audio, Sales and Marketing, Software",Montana
2300,Quolum,Quolum is a building industry’s first platform," Consumer Electronics, Hardware, Software",California
2301,Quintessent,Quintessent is a Santa Barbara start-up that commercializes quantum dot-based lasers and photonic integrated circuits.," Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",California
2302,QueryPie,QueryPie allows businesses to secure and streamline data access from anywhere.," Data and Analytics, Information Technology, Internet Services, Software",California
2303,Quantum Narrative,"The future of interactive storytelling, Quantum Narrative is revolutionizing the way the world learns via fun, smart, interactive stories."," Education, Media and Entertainment, Software",Virginia
2304,Quantifai,Quantifai is a machine learning platform that assists scale customer success by solving problems.," Artificial Intelligence, Data and Analytics, Other, Professional Services, Software",Massachusetts
2305,Qualtik,Stop managing your Commercial Real Estate assets in a spreadsheet," Internet Services, Real Estate, Software",Oregon
2306,Qualifi,"Qualifi is a software company enabling on-demand phone interviews with AI, machine learning, and automation."," Administrative Services, Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",Indiana
2307,Quack - Friends of friends,Quack is the easiest way to make connections through the people you trust - your friends.," Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",New York
2308,Qredible,Qredible is a cloud-based platform that connects the entire hemp supply chain by enabling efficient and profitable commerce.," Community and Lifestyle, Food and Beverage, Health Care, Software, Transportation",Florida
2309,Qorebuild(TelaBuild),"TelaBuild is a construction based digital software platform that ensures timely, accurate, and consistent information."," Apps, Education, Professional Services, Real Estate, Software",New Hampshire
2310,Qminds,Share and gain work knowledge," Community and Lifestyle, Internet Services, Mobile, Professional Services",California
2311,QA Wolf,QA Wolf is a cloud-based platform designed to detect bugs.," Information Technology, Internet Services, Software",Virginia
2312,PushSend,"PushSend is a SaaS marketing platform that combines email campaigns, landing pages, and event marketing."," Information Technology, Sales and Marketing, Software",New York
2313,Proteus Games,Proteus Games mobile development company working with mobile game publishers.," Apps, Gaming, Media and Entertainment, Mobile, Software",California
2314,Prophit.ai,"Prophit.ai prevents sales tax overpayments from happening in the first place, making reverse audits redundant."," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",Ohio
2315,Prompt,Supercharged contacts app for busy professionals," Information Technology, Software",California
2316,Zyro,"Zyro is an aerial drone game and brainchild of veteran engineers, drone enthusiasts, and rugby players for outdoor sport."," Apps, Consumer Electronics, Consumer Goods, Hardware, Software, Sports",California
2317,ZypWork,Zypwork provides a platform for gig work to form and grow.," Internet Services, Other, Software",Colorado
2318,Zynq,"Zynq allows the user to create flexible work environments for employees, manage access to the office, and optimize space utilization."," Information Technology, Messaging and Telecommunications, Real Estate, Software",California
2319,Zonehaven,"Zonehaven provides a cloud-based application that helps communities understand, minimize, and respond to wildfire risk."," Apps, Information Technology, Internet Services, Privacy and Security, Software",California
2320,ZolTrain,ZolTrain is a provider of budtender training platform created to help gain the knowledge needed to sell cannabis products.," Community and Lifestyle, Education, Food and Beverage, Health Care, Software",Colorado
2321,ZipSchool,ZipSchool offers live online classes on various topics for kids aged between 4 and 9.," Education, Software",Florida
2322,ZipResume,ZipResume is a build a resume online within minutes and save valuable time and energy.," Administrative Services, Apps, Information Technology, Professional Services, Software",California
2323,Zilla Security,Zilla Security is an early-stage security startup that provides software-as-a-service security management platform.," Information Technology, Privacy and Security, Software",Massachusetts
2324,Zevv,Zevv is a mobile app that enables food brands and entrepreneurs to improve food access for all.," Apps, Food and Beverage, Mobile, Software, Transportation",New York
2325,Zetta Ampersand,A consulting firm focussed on automation & innovation," Information Technology, Professional Services",Florida
2326,Zepto,"Zepto is a time recording platform that helps law firms manage, price and understand their most important asset time."," Government and Military, Information Technology, Privacy and Security, Software",New York
2327,Zebedee,Zebedee develops software and infrastructure to introduce Bitcoin and Lightning support into digital experiences and environments.," Financial Services, Payments, Software",South Carolina
