,company_name,description,cleaned_description
1163,Mt. Cleverest,Mt. Cleverest is an online textbook that improves itself the more it's used.,mt cleverest online textbook improves used
1164,MSBAI,MSBAI is a developer of a platform that creates to solve expertise-barrier problems in engineering.,msbai developer platform creates solve expertisebarrier problem engineering
1165,MOZAIK MEDIA,Mozaik is a live streaming technology company that builds innovative products for cloud based multi-camera video production.,mozaik live streaming technology company build innovative product cloud based multicamera video production
1166,Moxi Platform,Moxi is a SaaS Platform that manages and maintains house vehicles.,moxi saas platform manages maintains house vehicle
1167,Move 37,"Move 37 provides an applied artificial solution that helps to navigate and work with desktop files, applications, and browser tabs.",move 37 provides applied artificial solution help navigate work desktop file application browser tab
1168,nemedio,Nemedio provides solutions that helps to accelerate development times for medical technologies.,nemedio provides solution help accelerate development time medical technology
1169,Neon Coat,"Neon Coat is a groundbreaking iOS app taking models & brands to the next level
through organic social marketing.","neon coat groundbreaking io app taking model  brand next level
through organic social marketing"
1170,NetCloak,NetCloak protects sensitive employee data from spear-phishing emails and other social engineering attacks.,netcloak protects sensitive employee data spearphishing email social engineering attack
1171,Netifi,The next-generation microservices platform.,nextgeneration microservices platform
1172,Netvote,"Netvote is an open source voting protocol, soon available on multiple blockchain platforms.",netvote open source voting protocol soon available multiple blockchain platform
1173,NetWaiter Systems,"Platform and network connecting restaurants, local customers, and industry service providers.",platform network connecting restaurant local customer industry service provider
1174,Neural Magic,"Neural Magic is stealth stage machine learning company, based in Somerville MA.",neural magic stealth stage machine learning company based somerville
1175,Neural Vision Technologies,Neural Vision Technologies  is a Developer of an artificial intelligence software designed to simplify document identification company.,neural vision technology  developer artificial intelligence software designed simplify document identification company
1176,Neuraswitch,Neuraswitch is an AI-powered communications platform.,neuraswitch aipowered communication platform
1177,New Old Road Tech - App and Web Development Solutions,App and Web Development | Business Consultation | Branding | UI/UX Design | Launch | SEO/Marketing | Partnerships,app web development  business consultation  branding  uiux design  launch  seomarketing  partnership
1178,New Territory,"New Territory is a virtual and augmented reality development studio during the day, and virtual reality arcade at night.",new territory virtual augmented reality development studio day virtual reality arcade night
1179,NewsCracker,NewsCracker provides a natural language processing platform to automatically detect fake news online.,newscracker provides natural language processing platform automatically detect fake news online
1180,NewTouch Digital,NewTouch Digital is a health technology company building a mobile health and data analytics platform.,newtouch digital health technology company building mobile health data analytics platform
1181,NextPaw,"NextPaw is an all-in-one platform for pet retailers, groomers, boarding facilities, and trainers to attract new customers.",nextpaw allinone platform pet retailer groomers boarding facility trainer attract new customer
1182,Nichefire,Nichefire is an AI-power marketing analytics company.,nichefire aipower marketing analytics company
1183,NLITX,NLITX is a Online data analytics for small businesses.,nlitx online data analytics small business
1184,Moxi Platform,Moxi is a SaaS Platform that manages and maintains house vehicles.,moxi saas platform manages maintains house vehicle
1185,MOZAIK MEDIA,Mozaik is a live streaming technology company that builds innovative products for cloud based multi-camera video production.,mozaik live streaming technology company build innovative product cloud based multicamera video production
1186,MSBAI,MSBAI is a developer of a platform that creates to solve expertise-barrier problems in engineering.,msbai developer platform creates solve expertisebarrier problem engineering
1187,Mt. Cleverest,Mt. Cleverest is an online textbook that improves itself the more it's used.,mt cleverest online textbook improves used
1188,MTN Haus,MTN Haus is an end-to-end eCommerce solutions provider.,mtn haus endtoend ecommerce solution provider
1189,MultiCultural Press,MultiCultural Press is a multicultural and bilingual story app for kids.,multicultural press multicultural bilingual story app kid
1190,Multiplied,"Multiplied is a premier blockchain marketing and PR agency that specializes in digital marketing, public relations, and content. SF | NYC",multiplied premier blockchain marketing pr agency specializes digital marketing public relation content sf  nyc
1191,MunchMoney,A comprehensive alternative cash management platform,comprehensive alternative cash management platform
1192,Mundo Chat,World's first truly global messaging app with integrated translations! Voilà!,world first truly global messaging app integrated translation voilà
1193,Muses App,Muses is a professional network for entrepreneurs and freelancers,mus professional network entrepreneur freelancer
1194,Muso.AI,"Muso.AI provides an AI-based artist management application that allows the artist to manage, showcase and track the music streams.",musoai provides aibased artist management application allows artist manage showcase track music stream
1195,Must,"Social platform for movie & TV fans, built based on AI, which learns your taste and delivers truly personal ratings and recommendation",social platform movie  tv fan built based ai learns taste delivers truly personal rating recommendation
1196,Muviware by Entertainment Cloud Solutions,An enterprise cloud-based SaaS platform changing the way cinemas maximize their business through knowing and targeting customers.,enterprise cloudbased saas platform changing way cinema maximize business knowing targeting customer
1197,Muxip,"Muxip is a patented, server-side automation system that sources, schedules, and delivers live and VOD content to any platform.",muxip patented serverside automation system source schedule delivers live vod content platform
1198,MVC Interactive,"MVC Interactive provides custom development service, salesforce service, app solution service, and web consulting service.",mvc interactive provides custom development service salesforce service app solution service web consulting service
1199,My Data Outlet,My Data Outlet specializes in integrating financial data into R and Python and offers API to access financial data.,data outlet specializes integrating financial data r python offer api access financial data
1200,My Dental Rep,My Dental Rep helps dentists streamline their business and save money with their custom technology and service.,dental rep help dentist streamline business save money custom technology service
1201,My-Cierge,My-Cierge is created a Travel Management System (TMS) web based end-to-end travel software.,mycierge created travel management system tm web based endtoend travel software
1202,Menta AR,"Augmented Reality, Marketing, Branding, Ecommerce, Viral",augmented reality marketing branding ecommerce viral
1203,MentorAPM,MentorAPM provides enterprise asset performance and work management software.,mentorapm provides enterprise asset performance work management software
1204,Menu3,Menu3 is a software company that develops 3D enabled products and platforms.,menu3 software company develops 3d enabled product platform
1205,Merit.ai,Artificial Intelligence for Healthcare,artificial intelligence healthcare
1206,Merkle Data,Merkle provides accurate and actionable blockchain data to power a blockchain-enabled world.,merkle provides accurate actionable blockchain data power blockchainenabled world
1207," Merkuri Digital Development Group, LLC ",Merkuri is a team of former military and security professionals that provides innovative security technologies.,merkuri team former military security professional provides innovative security technology
1208,Meta Esports,META is a Gaming driven Organization,meta gaming driven organization
1209,Metalenz,"Metalenz designs and sells meta-optics including consumer electronics, mobile phones, and automotive.",metalenz design sell metaoptics including consumer electronics mobile phone automotive
1210,Metrical,Metrical provides artificial intelligence and e-commerce solutions.,metrical provides artificial intelligence ecommerce solution
1211,Metronome,Metronome is a new cryptocurrency focused on making greater decentralization possible and delivering institutional-class endurance.,metronome new cryptocurrency focused making greater decentralization possible delivering institutionalclass endurance
1212,Midas Touch MarQeting,A smart media platform,smart medium platform
1213,MILANER,MILANER empowers the world's top manufacturers to sell direct to consumer for the first time.,milaner empowers world top manufacturer sell direct consumer first time
1214,Mile Auto,Mile Auto provides a pay-per-mile car insurance service that saves lower mileage drivers money.,mile auto provides paypermile car insurance service save lower mileage driver money
1215,MilestoneZero,"MilestoneZero is a web agency that offers artificial intelligence, web development, machine learning and mobile application services",milestonezero web agency offer artificial intelligence web development machine learning mobile application service
1216,milk+honey,milk+honey prepares companies to capitalize on revolutionary advancements in artificial intelligence.,milkhoney prepares company capitalize revolutionary advancement artificial intelligence
1217,Million Studio,"Marketing automation for professional athletes, sports agents, leagues, teams and publishers",marketing automation professional athlete sport agent league team publisher
1218," Mimble, Inc. ","Social Gifting - Fun, Fast and Easy",social gifting  fun fast easy
1219,MIMIR Blockchain Solutions,"We are the world’s first Decentralized Blockchain Service Provider (DBSP) bringing blockchain to those ""off-chain""",world’s first decentralized blockchain service provider dbsp bringing blockchain offchain
1220,Mind-X,"Mind-X combines neurotechnology, augmented reality, and Artificial Intelligence to create computer interference.",mindx combine neurotechnology augmented reality artificial intelligence create computer interference
1221,Mindful Technology,Mindfulness for tech lovers | Values-based tech consulting + education | Tech can be part of the solution!,mindfulness tech lover  valuesbased tech consulting  education  tech part solution
1222,MindRend Technologies,MindRend Technologies is  a VR Robotics Simulator.,mindrend technology  vr robotics simulator
1223,Mindy Curnutt & Associates Consulting,Mindy Curnutt is a Microsoft Data Platform.,mindy curnutt microsoft data platform
1224,Mitosis Games,Mitosis Games is a collective of game-creation superheroes.,mitosis game collective gamecreation superheroes
1225,Lux Optics,Lux Optics is a studio reimagining what photography looks like in the 21st century.,lux optic studio reimagining photography look like 21st century
1226,LVL,LVL is an FDIC-insured mobile banking app where you can exchange cash & Bitcoin for free & invest easily with Autopilot.,lvl fdicinsured mobile banking app exchange cash  bitcoin free  invest easily autopilot
1227,M.C Capital Ventures,MC Capital Ventures is a conglomerate hedge fund company.,mc capital venture conglomerate hedge fund company
1228,Maatic IT Consulting,"Maatic IT Consulting offers web application development, staffing, mobile application development, e-commerce solutions services.",maatic consulting offer web application development staffing mobile application development ecommerce solution service
1229,MACE Virtual Labs,MACE Virtual Labs is a value-added reseller and solution provider of VR and immersive technologies for use in commercial settings.,mace virtual lab valueadded reseller solution provider vr immersive technology use commercial setting
1230,MachineCore,MachineCore is an artificial intelligence company.,machinecore artificial intelligence company
1231,MacProCleaner,"MacProCleaner is your best way to double Mac productivity, keep it clean and speed",macprocleaner best way double mac productivity keep clean speed
1232,MacroSQL Technology,"MacroSQL Technology focuses on making the highest quality design, implementation of enterprise database applications.",macrosql technology focus making highest quality design implementation enterprise database application
1233,Magic AI,"Magic AI  is a platform that brings artificial intelligence, virtual reality, and augmented reality to specific industries and verticals.",magic ai  platform brings artificial intelligence virtual reality augmented reality specific industry vertical
1234,Magic Wonderland Films,Magic Wonderland Films is operates in stealth mode.,magic wonderland film operates stealth mode
1235,Magna Marketing,"Magna Marketing is a Digital Transformation consulting firm that specializes in implementations, advisory services, and managed services.",magna marketing digital transformation consulting firm specializes implementation advisory service managed service
1236," Mahalo Technologies, Inc. ","Providing secure, user driven, digital banking and analytical solutions.",providing secure user driven digital banking analytical solution
1237,Main Location,Main Location is moving real estate forward.,main location moving real estate forward
1238,MapHubs,MapHubs is a technology company that provides software and services to organizations monitoring natural resources.,maphubs technology company provides software service organization monitoring natural resource
1239,MapPlug,MapPlug is facility management software that allows users to import building information and add details on an interactive map.,mapplug facility management software allows user import building information add detail interactive map
1240,Margin,A smart shopping email alias for a happier inbox.,smart shopping email alias happier inbox
1241,MarHub,MarHub is a migration management platform.,marhub migration management platform
1242,Market Games,Market Games is an education technology startup that provides business simulation and gamifying core business education.,market game education technology startup provides business simulation gamifying core business education
1243,Market Vulture,Market Vulture monitors dramatic events around the world and spots the opportunities that lie beneath...,market vulture monitor dramatic event around world spot opportunity lie beneath
1244,LifeFolder,End of Life is the most important conversation we've never had. LifeFolder is here to change that.,end life important conversation weve never lifefolder change
1245,lifeID,"lifeID is the open-source, tokenized protocol for self-sovereign identity.",lifeid opensource tokenized protocol selfsovereign identity
1246,Liftiq,"Liftiq provides artificial intelligence, machine learning, and UX design services.",liftiq provides artificial intelligence machine learning ux design service
1247,Light Field Lab,Light Field Lab is a breakthrough technology startup that builds an innovative holographic ecosystem.,light field lab breakthrough technology startup build innovative holographic ecosystem
1248,LightStance,LightStance is a provider of strategic planning and execution platform built upon a robust process designed to engage people.,lightstance provider strategic planning execution platform built upon robust process designed engage people
1249,Likely.ai,We have created an AI that predicts future events for the entire real estate ecosystem,created ai predicts future event entire real estate ecosystem
1250,Lily.Health,Lily.Health is building the best reproductive health tools using the latest technologies and research.,lilyhealth building best reproductive health tool using latest technology research
1251,Linkasoarus,"Linkasoarus is a social media management platform that enables businesses to discover, grow and engage with audiences.",linkasoarus social medium management platform enables business discover grow engage audience
1252,LinkedField,LinkedField is an Intelligent subcontractor management company.,linkedfield intelligent subcontractor management company
1253,linkshorts,LinkShorts is a completely free tool where anyone can create short links.,linkshorts completely free tool anyone create short link
1254,LionX,"LionX helps companies create customer trust & loyalty with a privacy experience, transparency, and responsiveness.",lionx help company create customer trust  loyalty privacy experience transparency responsiveness
1255,LiquidInvoice,"LiquidInvoice offers payment automation, billing and customer retention services to increase revenue for businesses.",liquidinvoice offer payment automation billing customer retention service increase revenue business
1256,Liss Technologies,"Liss Technologies provides customer support & training, utility measurement, management, & conservation, and payment services.",li technology provides customer support  training utility measurement management  conservation payment service
1257,Listing AR,Show 100x more homes without having to turn a key. Create Real Estate listings in Augmented Reality.,show 100x home without turn key create real estate listing augmented reality
1258,Little Acorn Shave,Little Acorn Shave is a Retailing Company.,little acorn shave retailing company
1259,Little Lion,"Little Lion provides family activities, nutrition, yoga, kickboxing, art, wellness via an online interactive platform",little lion provides family activity nutrition yoga kickboxing art wellness via online interactive platform
1260,Live CGI,Live CGI is a software platform to enable you to make live branded content.,live cgi software platform enable make live branded content
1261,Live Music Network,"Live Music Network offers Myset, an application that provides a way to crowd-source live music.",live music network offer myset application provides way crowdsource live music
1262,Liven,The presentation revolution is here.,presentation revolution
1263,Livenpeace,"Fan clubs of famous sportsmen and sports teams, show business stars",fan club famous sportsman sport team show business star
1264,Livepeer,Livepeer develops and operates a platform for decentralized live video broadcast on the Internet.,livepeer develops operates platform decentralized live video broadcast internet
1265,lmbk,lmbk is bringing emotional intelligence to our everyday digital lives.,lmbk bringing emotional intelligence everyday digital life
1266,Loadblock,Loadblock is a blockchain platform for secure electronic document transfer and rapid payment.,loadblock blockchain platform secure electronic document transfer rapid payment
1267,Loadmill,Helping companies to move fast without breaking things by creating automated tests from real user behavior.,helping company move fast without breaking thing creating automated test real user behavior
1268,Localvest,Localvest is a SaaS investor communications platform.,localvest saas investor communication platform
1269,LockedBrands,"LockedBrands is a platform that integrates smart technologies with modern design to produce sleek, keyless, and personal lockbox systems.",lockedbrands platform integrates smart technology modern design produce sleek keyless personal lockbox system
1270,Logicluster,Logicluster is an AI/ML currency pricing software for the remittance and payments industry.,logicluster aiml currency pricing software remittance payment industry
1271,Logiic,"Logiic offers managed IT, medical, and dental specialist services, accounting, consulting, hardware, and project management services.",logiic offer managed medical dental specialist service accounting consulting hardware project management service
1272,LotMonkey,The auto industy's first web-to-print app.,auto industys first webtoprint app
1273,Lucky Labs,Lucky Labs enables DTC and omni-channel brands to connect with consumers.,lucky lab enables dtc omnichannel brand connect consumer
1274,Ludi,Photo & Video Social Contests for Instagram,photo  video social contest instagram
1275,Ludus,Ludus is a presentation tool platform.,ludus presentation tool platform
1276,Lulius Innovation,"Lulius Innovation offers web app development, auditing and innovative solutions for government, military and commercial companies.",lulius innovation offer web app development auditing innovative solution government military commercial company
1277,Lumatic,Lumatic is a operator of a photography company aimed at capture and share individual stories.,lumatic operator photography company aimed capture share individual story
1278,Lumico Digital,"Lumico Digital is a software development studio, specializing in mobile and web apps for iOS and Android and supporting cloud services.",lumico digital software development studio specializing mobile web apps io android supporting cloud service
1279,LUPR,"LUPR provides a supplier relationship management platform that allows executives to capture, communicate, and analyze all supplier insights.",lupr provides supplier relationship management platform allows executive capture communicate analyze supplier insight
1280,kpiReady,"kpiReady streamlines data collection and reporting so that founders align their team, investors, advisors, and other stakeholders.",kpiready streamlines data collection reporting founder align team investor advisor stakeholder
1281,Kraenion,Kraenion is an applied machine learning company developing a visual cortex for machines that interact with the physical world.,kraenion applied machine learning company developing visual cortex machine interact physical world
1282,Lab 39,Lab 39 is provides a digital health solution to those suffering from chronic pain and their caregivers.,lab 39 provides digital health solution suffering chronic pain caregiver
1283,Laboralisto,Laboralisto is a web-based platform to manage labor litigation cases in Latin America.,laboralisto webbased platform manage labor litigation case latin america
1284,Lactation Innovations,Lactation Innovations is developing a medical device that measures the breastmilk in a baby’s stomach to transform postpartum care.,lactation innovation developing medical device measure breastmilk baby’s stomach transform postpartum care
1285,LadyLab,LadyLab is an mobile app for woman that helps to collaborate and discover paid projects and expand network.,ladylab mobile app woman help collaborate discover paid project expand network
1286,Lambos Digital,Digital Marketing Agency,digital marketing agency
1287,LandOne Takeoff,LandOne Takeoff is a PDF annotation and measurement software for landscape and irrigation contractors.,landone takeoff pdf annotation measurement software landscape irrigation contractor
1288,Lappdata,Lappdata is a web-based lead management application for small to mid-size businesses.,lappdata webbased lead management application small midsize business
1289,Lasting,"Lasting is a relationship counseling company and now a part of Talkspace, the online therapy company.",lasting relationship counseling company part talkspace online therapy company
1290,Lateral Capital,Lateral Capital is a venture fund focused on early and growth stage opportunities in Africa.,lateral capital venture fund focused early growth stage opportunity africa
1291,LaunchpadQ2C,"LaunchpadQ2C is an IT firm that provides optimization as a service, software development, workflow management and quote-to-cash systems.",launchpadq2c firm provides optimization service software development workflow management quotetocash system
1292,Lawgood,Lawgood makes it fast and easy for lawyers to draft and review market-driven contracts.,lawgood make fast easy lawyer draft review marketdriven contract
1293,LawPal,AI Lawyer in your Pocket,ai lawyer pocket
1294,Layer 7 Capital,Layer 7 Capital is a boutique investment bank that specializes in mergers and acquisitions.,layer 7 capital boutique investment bank specializes merger acquisition
1295,Layer 8,Layer 8 is developing technologies and methodologies to protect against harmful human behaviors.,layer 8 developing technology methodology protect harmful human behavior
1296,Lea (Live Event Assistant),An AI concierge that helps live event fans discover events and purchase tickets via text messaging,ai concierge help live event fan discover event purchase ticket via text messaging
1297,Lead2Growth,"Lead2Growth provides IT consultancy, data analysis, reporting, and sales process development services.",lead2growth provides consultancy data analysis reporting sale process development service
1298,Leaderally,Leaderally provides learning and education services.,leaderally provides learning education service
1299,Leadership Now Project,Leadership Now Project started as an innovative model for sustained and strategic engagement to fix democracy.,leadership project started innovative model sustained strategic engagement fix democracy
1300,Leadworx,Leadworx is an Account-Based Prospecting platform. It's product suite is designed to fill top of the funnel with high quality prospects.,leadworx accountbased prospecting platform product suite designed fill top funnel high quality prospect
1301,Leap Security,"Leap Security provides information security, penetration testing, security assessments & cybersecurity services for organizations.",leap security provides information security penetration testing security assessment  cybersecurity service organization
1302,Learning Developments,"Learning Developments is a dedicated team of talented educational technologists, built to meet the increasing demand for high quality.",learning development dedicated team talented educational technologist built meet increasing demand high quality
1303," LearningPal, Inc. ",We help enterprises to save 80% of manual document processing automation with AI-OCR & NLP.,help enterprise save 80 manual document processing automation aiocr  nlp
1304,Learnt,An online marketplace that allows students to seamlessly and instantaneously connect with highly vetted tutors online and in-person.,online marketplace allows student seamlessly instantaneously connect highly vetted tutor online inperson
1305,LedgerPrime,LedgerPrime is a Digital Asset Investment Firm,ledgerprime digital asset investment firm
1306,Ledgie,Ledgie is an upcoming personal finance app for cryptocurrency users.,ledgie upcoming personal finance app cryptocurrency user
1307,Legacy Beta,Legacy Beta is a provider of IT consulting and contracting services.,legacy beta provider consulting contracting service
1308,LegacyBook,Fintech SaaS Mobile Application,fintech saas mobile application
1309,LegalLeaf,"LegalLeaf is a case management software that provides paperless documentation, document organization and tracking.",legalleaf case management software provides paperless documentation document organization tracking
1310,LegatumX,LegatumX is transform traditional documents into Blockchain smart contracts.,legatumx transform traditional document blockchain smart contract
1311,Leisurely,"Leisurely is a booking platform for discovery and culinary experiences including hospitality, cooking classes, marketplace and ticketing.",leisurely booking platform discovery culinary experience including hospitality cooking class marketplace ticketing
1312,Lemacks Media,World's Leading Web Developer | Web Designer | Hosting Company | Solutions Provider,world leading web developer  web designer  hosting company  solution provider
1313,Leo,Leo is an augmented reality app that allows people to experience advanced augmented reality through realistic animated and 3D objects.,leo augmented reality app allows people experience advanced augmented reality realistic animated 3d object
1314,Levered Learning,Levered Learning is a classroom-tested and teacher-designed instructional system providing 3rd-5th grade mathematical learning.,levered learning classroomtested teacherdesigned instructional system providing 3rd5th grade mathematical learning
1315,LexiconAI,"Voice-operated, intelligent assistant for professionals",voiceoperated intelligent assistant professional
1316,LienIQ,LienIQ decentralizes residential non-performing second lien analytics-based investing.,lieniq decentralizes residential nonperforming second lien analyticsbased investing
1317,Life Bot,Life Bot is the only voice app you need to complete daily activities with your voice.,life bot voice app need complete daily activity voice
1318,Life Snapshot,"Life Snapshot is a digital storage vault that protects personal assets, final wishes, and critical documents.",life snapshot digital storage vault protects personal asset final wish critical document
1319,JGist,JGist is the developer of a mobile application intended to connect consumers and companies respectfully .,jgist developer mobile application intended connect consumer company respectfully 
1320,JITX,JITX provides electronic design as a service.,jitx provides electronic design service
1321,JobMethods Inc.,Recruitment of high-salaried professionals,recruitment highsalaried professional
1322,Join Digital,Join Digital manages public and private cloud data and apps through predictive analytics engine.,join digital manages public private cloud data apps predictive analytics engine
1323,Jonny Dapper,Custom Suits For Men & Women,custom suit men  woman
1324,Jono Marketing,"Jono is a creative agency that provides digital advertising, web development and marketing solutions.",jono creative agency provides digital advertising web development marketing solution
1325,Jrop LLC,On Demand Roadside Assistance platform. Request roadside assistance using the mobile app or directly on the website in under 60 seconds.,demand roadside assistance platform request roadside assistance using mobile app directly website 60 second
1326,Jugl LLC,We're building software to make it easier to be a working parent. Sign up to be part of our pre-release community at www.getjugl.com!,building software make easier working parent sign part prerelease community 
1327,Juicebox,"Juicebox is making a more pleasurable world by providing 1-on-1 sex, dating, and relationship coaching anonymously via an app.",juicebox making pleasurable world providing 1on1 sex dating relationship coaching anonymously via app
1328,Junum,Elevating Clinical Nutrition to Drive Results. Improve patient outcomes — and your bottom line — with clinician-driven technology.,elevating clinical nutrition drive result improve patient outcome — bottom line — cliniciandriven technology
1329,Just Learn,Just Learn is a developer of compact ecosystems with add-on modules to fuse nature and technology into engaging hands-on STEM experiences.,learn developer compact ecosystem addon module fuse nature technology engaging handson stem experience
1330,Just My Style,Just My Style is a fashion matching app that creates the ultimate window shopping experience for users through machine learning.,style fashion matching app creates ultimate window shopping experience user machine learning
1331,JustProtect,JustProtect is a platform that helps enterprises simplify the process of distributing to internal and third-party assessments.,justprotect platform help enterprise simplify process distributing internal thirdparty assessment
1332,JustSpot.me,JustSpot.me is a smart location device that doesn’t need to be charged.,justspotme smart location device doesn’t need charged
1333,Kai XR,"Kai XR develops inclusive mixed reality spaces allowing children to explore, dream, and create.",kai xr develops inclusive mixed reality space allowing child explore dream create
1334,Kalepa,AI-powered Decision Support for Commercial Underwriters,aipowered decision support commercial underwriter
1335,KapVoom,KapVoom is an app for driving.,kapvoom app driving
1336,Karhappy,KarHappy is an app that organizes routine car maintenance by picking up and returning fleet vehicles accordingly.,karhappy app organizes routine car maintenance picking returning fleet vehicle accordingly
1337,KARLO,KARLO is the perfect tool to increase customer satisfaction by improving interaction with them and their post-sale experience.,karlo perfect tool increase customer satisfaction improving interaction postsale experience
1338,Karma Nation,Karma Nation is a technology Company.,karma nation technology company
1339,Karyosoft,Karyosoft is a Developer of a Web-based enterprise platform,karyosoft developer webbased enterprise platform
1340,Kickwheel Co.,We put students in charge of their journey to and through college.,put student charge journey college
1341,Kinima,Kinima.fit is an adaptive fitness system that uses 3D camera technology combined with AI to guide your workout like a personal trainer.,kinimafit adaptive fitness system us 3d camera technology combined ai guide workout like personal trainer
1342,Kinzie Capital Partners,"Kinzie invests in lower middle market companies amidst transition in the consumer, manufacturing, and services industries.",kinzie invests lower middle market company amidst transition consumer manufacturing service industry
1343,Kix Mobile,Buy / Sell / Trade / Xchange-Repair™ Mobile Devices,buy  sell  trade  xchangerepair™ mobile device
1344,Kleard,Kleard is an app for real estate agents that helps verify individuals on-the-spot for a showing or open house.,kleard app real estate agent help verify individual onthespot showing open house
1345,Klearly,Klearly is the intelligent GPS for revenue-focused B2B marketing teams.,klearly intelligent gps revenuefocused b2b marketing team
1346,KleverPay,KleverPay is an app for payment solutions.,kleverpay app payment solution
1347,KLYP,We empower Beauty Service Professionals to take control of their careers by providing innovative tools to market and grow their businesses.,empower beauty service professional take control career providing innovative tool market grow business
1348,Know Network Risk,KNR is a cyber security consulting firm that provides cyber security risk management and compliance services.,knr cyber security consulting firm provides cyber security risk management compliance service
1349,Knowbility,AI CFO for founders and Investors,ai cfo founder investor
1350,Kobai,Kobai is a new discipline combining machine and human intelligence with an outcome-first and question and answer-based approach.,kobai new discipline combining machine human intelligence outcomefirst question answerbased approach
1351,Kognos,"Kognos is a cloud-based detection and investigation platform that detects, investigates, and responds to attack campaigns.",kognos cloudbased detection investigation platform detects investigates responds attack campaign
1352,Koki Technology,Developer of an automation software designed to standardize and organize all of the steps of distributed application management.,developer automation software designed standardize organize step distributed application management
1353,Kolu,Kolu is a mobile application that brings tourists together with local tour guides based on three interests.,kolu mobile application brings tourist together local tour guide based three interest
1354,Konch,"Konch is a transcription platform that supports educational institutions with translation, transcoding and entity recognition.",konch transcription platform support educational institution translation transcoding entity recognition
1355,Innovations Realized,Innovations Realized is an information technology company.,innovation realized information technology company
1356,InNovo Partners,InNovo Partners is a Developer of a data management platform,innovo partner developer data management platform
1357,Innsena Communications,Innsena Communications serves companies in the healthcare technology sector with strategic marketing and public relations counsel.,innsena communication serf company healthcare technology sector strategic marketing public relation counsel
1358,InOrbit,InOrbit is a cloud-based robot management platform to help robotics developers and operators scale their robot fleets.,inorbit cloudbased robot management platform help robotics developer operator scale robot fleet
1359,Inovium,Inovium is a full ERP services provider leveraging a combination of expertise and innovation.,inovium full erp service provider leveraging combination expertise innovation
1360,Inrupt,Inrupt is an open-source platform that uses a set of modular requirements to decentralize the web.,inrupt opensource platform us set modular requirement decentralize web
1361,Inside Petroleum,Inside Petroleum is a software development company for the energy industry.,inside petroleum software development company energy industry
1362,Inspector 6,"Inspector 6 uses AI to analyze marketing content, every text block, image, and video.",inspector 6 us ai analyze marketing content every text block image video
1363,InstaScaler,InstaScaler is an automated advertising platform.,instascaler automated advertising platform
1364,instatask,Connecting you instantly with the closest contractors nearby for your on-demand tasks. Uber-like for outdoor chores,connecting instantly closest contractor nearby ondemand task uberlike outdoor chore
1365,InsuraGuest,InsuraGuest is a SaaS company that provides a proprietary InsurTech software platform.,insuraguest saas company provides proprietary insurtech software platform
1366,Integra Ledger,Integra Ledger is a blockchain for the global legal industry that provides secure interoperability among law firms and clients.,integra ledger blockchain global legal industry provides secure interoperability among law firm client
1367,Integrity First Technologies,"Integrity First Technologies is an IT firm that deals with cyber-security, software, apps, geospatial intelligence and project planning.",integrity first technology firm deal cybersecurity software apps geospatial intelligence project planning
1368,Integrātz,Integrātz is a consulting and training company that specializes in intelligent automation.,integrātz consulting training company specializes intelligent automation
1369,IntelliFlux Controls,IntelliFlux Controls delivers process automation software and expert systems for water treatment facilities and technology.,intelliflux control delivers process automation software expert system water treatment facility technology
1370,Intellispark,"Intellispark helps schools to maximize student achievement through a data-driven, community-centered approach to student advising.",intellispark help school maximize student achievement datadriven communitycentered approach student advising
1371,Interimhead,Interimhead is a job matching for interim managers.,interimhead job matching interim manager
1372,Interstellar,"Interstellar is revolutionizing international payments to deliver faster, cheaper and more reliable global financial solutions",interstellar revolutionizing international payment deliver faster cheaper reliable global financial solution
1373,Intervene,Intervene is an education software development company.,intervene education software development company
1374,Interview School,Interview School is a mock-interview software designed and developed with interview questions and feedbacks with the latest updates.,interview school mockinterview software designed developed interview question feedback latest update
1375,inviteme,inviteme is an application securely finds and schedules available times company.,inviteme application securely find schedule available time company
1376,InzoSoftware,Inzo Software builds awesome software solutions that help people manage their business and connect with others.,inzo software build awesome software solution help people manage business connect others
1377,IoTeedom,IoTeedom is a smart city knowledge management SaaS-based service. Our mission is to keep companies accountable in regards to GHG.,ioteedom smart city knowledge management saasbased service mission keep company accountable regard ghg
1378,IQ Lattice,"IQ Lattice provides artificial intelligence solutions for bio-metric surveillance, behavior analytics, and traffic analytics.",iq lattice provides artificial intelligence solution biometric surveillance behavior analytics traffic analytics
1379,iSecureDoc,Early-stage startup developing high-security food product tracking using blockchain technology.,earlystage startup developing highsecurity food product tracking using blockchain technology
1380,iSimu VR,iSimu VR is the premier virtual reality entertainment arcade offering over 40 unique virtual reality experiences.,isimu vr premier virtual reality entertainment arcade offering 40 unique virtual reality experience
1381,Isoratec,"Isoratec offers a comprehensive CRM solution to help track referrals, increase margins and grow the business for the health care sector.",isoratec offer comprehensive crm solution help track referral increase margin grow business health care sector
1382,iSubscribed,iSubscribed is building a next-generation SaaS platform to address many of the pain points faced by consumers and SMBs today.,isubscribed building nextgeneration saas platform address many pain point faced consumer smbs today
1383,IT Professionals,"IT Professionals, Inc is dedicated to providing IT solutions worldwide.",professional inc dedicated providing solution worldwide
1384,JabMix,JabMix is a mobile application that engages in self-defense training.,jabmix mobile application engages selfdefense training
