description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking,
'Kugadi simplifies management of a mobile workforce of security guards through an integrated guard tour system and dispatch system',https://www.kugadi.com/?ref=startuptracker,https://www.crunchbase.com/organization/kugadi,'Kugadi',No recent company activity detected,"'hr and recruitment', 'security', 'real estate'","'mobile app', 'web app'","'b2b', 'subscription'",'Kugadi',May 4 2015,Miami US,5-10,Publicly,Post,Undisclosed,347,9,0,0,
"'Syrreo will help you manage items, quotes, orders, and customers in one streamlined service.'",https://www.syrreo.com?ref=startuptracker,https://www.crunchbase.com/organization/syrreo,'Syrreo',No recent company activity detected,"'marketing', 'media', 'productivity'",'web app',"'b2c', 'b2b', 'freemium', 'subscription'",'G Riar',July 1 2018,BAKERSFIELD US,3,Privately,Pre,Self,13,9,0,0,
"'KineticAI, Inc. is building a modular Factory Analytics and Automation Toolkit for the manufacturing industry.'",https://www.kineticai.com?ref=startuptracker,https://www.crunchbase.com/organization/kineticai,'KineticAI',No recent company activity detected,"'consulting', 'manufacturing', 'robotics', 'ai'","'desktop app', 'hardware', 'service', 'web app'","'b2b', 'subscription'",'Gjergj Camaj',April 30 2019,Indiana US,5-10,Pre,Pre,Undisclosed,35,9,0,0,
'Connect with other travelers and locals that have similar travel plans. Save on your entire trip budget and discover new travel experiences.',http://getabord.com?ref=startuptracker,https://angel.co/company,'Abord',No recent company activity detected,"'sharing economy', 'social networks', 'travel', 'messaging'",'mobile app',"'other', 'b2c', 'b2b', 'free to use', 'commission', 'advertising', 'freemium', 'subscription'",'Abord',June 18 2019,Boulder US,3,Pre,Pre,Undisclosed,18,9,~698,6.6m,
"'A tool that turns your photos, notes, maps into shareable recommendations'",https://www.liist.cc?ref=startuptracker,https://startuptracker.io,'Liist',Sourced by Startup Tracker,"'other', 'data', 'travel', 'content'","'mobile app', 'web app'","'b2c', 'free to use', 'freemium'",,July 4 2019,New York City US,4,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'Bokksu is a premium subscription service that delivers thoughtfully curated boxes of artisanal Japanese snacks and teas.',https://www.bokksu.com/?ref=startuptracker,https://www.crunchbase.com/organization/bokksu,'Bokksu',Low company activity detected,'food and beverages','other',"'other', 'subscription'",'bokksu',March 12 2015,New York US,5-10,Publicly,Pre,Undisclosed,7k,9,~77.5k,62k,
"""Master the world's most powerful marketing ideas each week, for free.""",https://proof.to?ref=startuptracker,https://betalist.com/startups/proofto,'Proof',No recent company activity detected,"'advertising', 'analytics', 'marketing', 'media'",'service',"'b2c', 'b2b', 'free to use', 'subscription'",'Neil Hoyne',July 1 2019,San Jose US,1,Publicly,Pre,Undisclosed,338,9,338,0,
'Datanify is the largest provider of high-quality company databases. We have access to over 100 million unique companies.',https://datantify.com?ref=startuptracker,https://crunchbase.com/organization/datantify,'Datantify',High company activity detected,"'data', 'e commerce', 'startups', 'big data'","'service', 'web app'","'b2c', 'b2b', 'b2g', 'freemium'","""Michael A'Burzynski""",August 15 2018,Montebello US,11-50,Publicly,Pre,Undisclosed,358,9,~18.1k,262.2k,
'SaaSi empowers your team and eliminates waste by providing visibility into your software usage.',http://www.SaaSi.co?ref=startuptracker,https://www.crunchbase.com/organization/saasi,'SaaSi',No recent company activity detected,"'other', 'startups'",'web app',"'b2b', 'free to use', 'freemium'","'Shahar Chaskelevitch', 'Tomer Barnea', 'Dima Grossman', 'Aviram Kadosh'",July 1 2019,New York US,5-10,Publicly,Pre,Undisclosed,19,9,0,0,
'Lean On Me strengthens communities by providing peer-to-peer text lines that allow for easy access to confidential non-crisis support.',https://lean0n.me?ref=startuptracker,https://www.crunchbase.com/organization/lean-on-me,'Lean On Me',No recent company activity detected,"'other', 'education', 'health', 'social networks'",'service',"'non profit', 'free to use', 'sales'",'Lean On Me',February 1 2016,Cambridge US,101-250,Publicly,Pre,Undisclosed,19,9,~821,5.6m,
"'Internet Sunglass Store: sell innovative sunglasses ""unique as you"", ""creative shade for all occasions"", ""hi-tech wear with hi-tech flair"".'",https://www.sunglassinnovation.com?ref=startuptracker,https://crunchbase.com/organization/sunglassinnovation-com,'Sunglass Innovation',High company activity detected,"'e commerce', 'fashion', 'retail'",'physical goods',"'b2c', 'b2b', 'sales'",'Sunglass Innovation®',August 31 2017,Los Angeles US,1,Privately,Pre,Undisclosed,42,9,42,0,
'relationship-based lending application that simplifies loans between friends & family w/ automatic ACH loan payments.',https://www.zirtue.com/?ref=startuptracker,https://www.crunchbase.com/organization/zirtue,'Zirtue',High company activity detected,"'finance', 'sharing economy', 'startups', 'software dev'",'mobile app',"'b2c', 'b2b', 'other', 'free to use'",'ZIRTUE',April 1 2018,Dallas US,5-10,Publicly,Pre,Undisclosed,213,9,~7.2k,654k,
'API for video recording and playback',http://ziggeo.com?ref=startuptracker,https://www.crunchbase.com/organization/ziggeo,'Ziggeo',No recent company activity detected,"'other', 'media', 'startups'","'other', 'service'","'b2b', 'subscription'",'Ziggeo',January 1 2012,New York US,5-10,Publicly,Pre,Undisclosed,4.2k,9,~25.2k,188.9k,
'6nomads is a matching platform that allows companies to find remote verified engineers from around the world.',https://6nomads.com/?ref=startuptracker,https://crunchbase.com/organization/6nomads,'6nomads',High company activity detected,"'hr and recruitment', 'startups', 'ai', 'software dev'",'other',"'b2b', 'sales'",,February 1 2019,San Francisco US,5-10,Publicly,Pre,Undisclosed,See,9,~5.4k,873k,
"'A SaaS platform offering best-in-class consumer experience measurement, capturing the human pulse up to 100x traditional survey methods'",https://www.tapyness.com?ref=startuptracker,https://startuptracker.io,'Tapyness',High company activity detected,"'data', 'iot', 'hospitality'",'web app',"'b2b', 'subscription'",'Tapyness®',May 10 2016,Lawrence US,5-10,Publicly,Pre,Self,250,9,0,0,
'Professional QR Code Generator',https://supercode.co?ref=startuptracker,https://www.crunchbase.com/organization/supercode,'Supercode',High company activity detected,"'other', 'marketing', 'sales'","'service', 'web app'","'b2c', 'b2b', 'freemium', 'subscription'",'Supercode | QR Code Generator',September 1 2019,New York US,5-10,Publicly,Pre,Self,43,9,~1.9k,2.4m,
'We deliver Real-Time Contextual Insights, empowering mobile teams to accelerate their workflow and release with confidence',https://instabug.com?ref=startuptracker,https://www.crunchbase.com/organization/instabug,'Instabug',High company activity detected,"'gaming', 'startups', 'software dev'",'service',"'b2b', 'subscription'",'Omar Gabr',January 1 2013,Palo Alto US,51-100,Publicly,Pre,$20m,3k,9,~63.9k,75.1k
'Rememorate is a mobile app that combines tech tools with tested psychological techniques to help you remember the people you meet.',https://rememorate.com?ref=startuptracker,https://www.crunchbase.com/organization/rememorate,'Rememorate',Low company activity detected,"'education', 'hr and recruitment', 'events', 'sales'",'mobile app',"'b2c', 'b2b', 'freemium', 'subscription'",'Dan B. Lee',May 26 2017,Brooklyn US,5-10,Publicly,Post,Undisclosed,3.5k,9,~840,5.5m,
"'KISSPatent provides IP services for entrepreneurs, small businesses, and startups'",http://kisspatent.com/?ref=startuptracker,https://www.crunchbase.com/organization/kisspatent,'KISSPatent',High company activity detected,"'startups', 'accounting and legal'",'service',"'b2b', 'sales'",'Dvorah Graeser',January 1 2014,Chicago US,5-10,Publicly,Pre,Undisclosed,608,9,~1.9k,2.5m,
"'Empowering the underbanked community by helping them save money, control their finances and build a blockchain based credit score.'",https://uulala.io/?ref=startuptracker,https://www.crunchbase.com/organization/uulala,'Uulala',No recent company activity detected,"'finance', 'hr and recruitment', 'sharing economy'","'mobile app', 'service', 'web app'","'b2c', 'b2b', 'other', 'free to use', 'sales'",'Uulala',June 7 2017,Ontario US,11-50,Privately,Pre,Undisclosed,635,9,~858,5.4m,
'Amazon Seller Accounting and Inventory Profitability Integration for QuickBooks',https://www.entriwise.com?ref=startuptracker,https://crunchbase.com/organization/entriwise,'Entriwise',No recent company activity detected,"'e commerce', 'accounting and legal'",'service',"'b2b', 'free to use', 'subscription'",'Entriwise',October 22 2016,Linden US,5-10,Publicly,Post,Self,33,9,~5k,931.8k,
"'UniBit uses AI to deploy unique market data feeds for trading, analytics and applications.'",https://unibit.ai/?ref=startuptracker,https://producthunt.com/posts/unibit-api,'UniBit',No recent company activity detected,"'analytics', 'ai', 'big data'","'service', 'web app'","'b2c', 'b2b', 'freemium', 'subscription'",'UniBit',January 1 2018,Boston US,11-50,Publicly,Pre,Undisclosed,49,9,~2.7k,1.7m,
"'HelloWoofy.com, a Data Science Driven Marketing Platform, is built for small businesses as small business owners ourselves.'",http://Hellowoofy.com?ref=startuptracker,https://crunchbase.com/organization/woofy-inc,'HelloWoofy.com / Woofy.ai',High company activity detected,"'advertising', 'ai', 'big data', 'content'",'web app',"'b2b', 'subscription'",'👋 Arjun Rai | 👉$49+/year at HelloWoofy.com',August 1 2016,New York US,5-10,Publicly,Post,Undisclosed,3.9k,9,~54.4k,88k,
'HealthAI lets users take a picture of a mole and screen for cancer.',https://www.lazarusai.com?ref=startuptracker,https://crunchbase.com/organization/lazarus-enterprises-2,'HealthAI',High company activity detected,"'health', 'ai'","'other', 'mobile app', 'web app'","'b2c', 'free to use', 'subscription'",'Lazarus',October 5 2017,Cambridge US,3,Publicly,Pre,Undisclosed,30,9,~2.7k,1.7m,
'The best way to hire or be hired in media & entertainment.',https://wrangle.work?ref=startuptracker,https://www.crunchbase.com/organization/wrangle-3a59,'Wrangle',No recent company activity detected,"'productivity', 'hr and recruitment', 'content'",'web app',"'b2c', 'subscription'",'Wrangle',February 2 2019,Los Angeles US,5-10,Privately,Pre,Undisclosed,71,9,~3k,1.5m,
'Open-source project of Go code to bootstrap your software-as-a-service startup.',https://saasstartupkit.com/?ref=startuptracker,https://startuptracker.io,'SaaS Startup Kit',Sourced by Startup Tracker,"'data', 'design', 'startups', 'software dev'","'other', 'service', 'web app'","'b2b', 'non profit', 'free to use'","'SaaS Startup Kit', 'Keeni Procedures', 'Aurora Forecast', 'Keeni Space Operating Procedures'",June 1 2019,Anchorage US,5-10,Publicly,Pre,Self,3,9,~3.2k,1.5m,
'We enable businesses to buy data directly from the users',https://datacy.com/?ref=startuptracker,https://crunchbase.com/organization/datacy,'datacy',Low company activity detected,"'analytics', 'data', 'blockchain', 'big data'","'service', 'web app'","'b2c', 'b2b', 'commission'","'Kaleb Jordan Wilson', 'Paroma Indilo'",October 1 2018,Tennessee US,5-10,Pre,Pre,Self,299,9,~9.7k,486.7k,
'Your one-stop shop for EXCLUSIVE motivated home seller leads!',https://leadgeeks.com?ref=startuptracker,https://crunchbase.com/organization/lead-geeks,'Lead Geeks',High company activity detected,"'advertising', 'marketing', 'real estate'","'other', 'service'","'other', 'subscription'",'Lead Geeks',November 1 2016,Phoenix US,5-10,Publicly,Pre,Undisclosed,258,9,~3k,1.6m,
"""Generates responsive images so you don't have to optimize""",https://piio.co?ref=startuptracker,https://www.crunchbase.com/organization/piio,'Piio',No recent company activity detected,"'other', 'e commerce', 'retail', 'software dev'","'service', 'web app'","'b2b', 'sales', 'subscription'",'Piio',January 1 2018,San Francisco US,5-10,Publicly,Pre,Undisclosed,232,9,~7.5k,627.4k,
'Find out if your email is likely to trigger spam filters. Run a free email spam and security test in less than 1 minute with MailGenius.com',https://www.mailgenius.com/?ref=startuptracker,https://startuptracker.io,'MailGenius',High company activity detected,"'advertising', 'marketing', 'sales'","'other', 'service', 'web app'","'b2b', 'free to use'",'Daniel Levi',April 30 2019,Los Angeles US,4,Publicly,Pre,Undisclosed,186,9,~47.6k,100.6k,
'Mooditude helps build resilience to stress and anxiety',https://apps.apple.com/us/app/mooditude-mood-tracker-cbt/id1450661800?ref=startuptracker,https://producthunt.com/posts/moody,'Mooditude',High company activity detected,'health','mobile app',"'b2c', 'free to use'",'Mooditude App',April 4 2019,Santa Monica US,2,Publicly,Pre,Undisclosed,1k,9,~94.1m,54,
'Single inbox for business messengers.',https://replynow.io/?ref=startuptracker,https://crunchbase.com/organization/reply-now,'Reply Now',No recent company activity detected,"'other', 'messaging'","'desktop app', 'web app'","'b2b', 'freemium', 'subscription'",'Danilka',May 1 2018,San Jose US,5-10,Publicly,Pre,Undisclosed,10,9,~2.4k,1.9m,
"'Continuous, affordable, and powerful cyber Red Teaming service - powered by artificial intelligence and automation.'",http://www.breachbits.com?ref=startuptracker,https://www.crunchbase.com/organization/breachbits,'breachbits',Low company activity detected,"'consulting', 'insurance', 'security', 'ai'",'service',"'b2b', 'b2g', 'subscription'","'breachbits', 'John L.'",February 28 2018,"Washington, D.C. US",2,Pre,Pre,Self,86,9,~1.9k,2.5m,
'PlaybookUX is a user testing software that connects businesses with their target demographic.',https://www.playbookux.com?ref=startuptracker,https://crunchbase.com/organization/playbookux,'PlaybookUX',Low company activity detected,"'design', 'productivity', 'startups'",'web app',"'b2b', 'freemium'","'PlaybookUX', 'Personal Zen'",November 1 2018,New York US,3,Publicly,Pre,Undisclosed,214,9,~30.2k,158k,
'Platform to help celebrities and content creators to create their merchandise store.',http://yoobe.me?ref=startuptracker,https://www.crunchbase.com/organization/yoobe,'Yoobe',High company activity detected,"'design', 'e commerce', 'fashion', 'social networks'","'desktop app', 'mobile app', 'web app'","'other', 'b2c', 'b2b', 'free to use', 'commission', 'affiliation'",'Genau Junior',November 8 2018,San Francisco US,5-10,Publicly,Pre,Undisclosed,638k,9,~7.4k,638k,
'Nynedge is a peer to peer SaaS-based Platform for Remote Jobs.',https://www.nynedge.com?ref=startuptracker,https://www.crunchbase.com/organization/nynedge,'Nynedge',High company activity detected,'hr and recruitment','desktop app',"'b2c', 'b2b', 'free to use', 'subscription'",'Nynedge',November 24 2018,GAITHERSBURG US,5-10,Publicly,Pre,Undisclosed,61,9,~779,5.9m,
'Collaboration is now as easy as copy and paste!',https://www.copybucket.com?ref=startuptracker,https://startuptracker.io,'CopyBucket',No recent company activity detected,"'data', 'productivity', 'messaging', 'software dev'","'desktop app', 'mobile app', 'service'","'b2c', 'freemium'",,January 31 2018,Cupertino US,1,Publicly,Pre,Undisclosed,See,9,0,0,
'View construction history before you hire and build',https://yooney.com?ref=startuptracker,https://www.crunchbase.com/organization/yooney,'Yooney',No recent company activity detected,"'data', 'social networks', 'real estate'","'mobile app', 'web app'","'b2c', 'b2b', 'freemium', 'sales', 'subscription'","'Lillian 🏗♻️', 'Yooney 🏗', 'Block Notary', 'Microwork', 'POA Network'",January 8 2019,san mateo US,5-10,Privately,Pre,Undisclosed,53,9,53,0,
'Crowdfunding and crowdsourcing for cold and unsolved cases.',https://www.coldcrowd.com/?ref=startuptracker,https://crunchbase.com/organization/coldcrowd,'ColdCrowd',No recent company activity detected,"'other', 'social networks'",'web app',"'b2c', 'other', 'free to use'",'ColdCrowd',July 22 2019,Cleveland US,1,Pre,Pre,Undisclosed,250,9,250,0,
"'Publist connects to all of the apps you use so you can search, organize, and store all of your file in one place.'",https://publist.app?ref=startuptracker,https://crunchbase.com/organization/publist,'Publist',High company activity detected,'productivity',"'desktop app', 'web app'","'b2c', 'b2b', 'subscription'",,June 5 2017,San Fransisco US,2,Publicly,Pre,Undisclosed,See,9,0,0,
"'DapIt is a new way for businesses to offer gift cards digitally. Customers have the ability to buy, give instantly, share, and pay.'",http://www.dapitapp.com?ref=startuptracker,https://www.crunchbase.com/organization/dapit-app,'DapIt App',High company activity detected,"'food and beverages', 'fashion', 'startups', 'sales'","'mobile app', 'service'","'other', 'b2c', 'b2b', 'non profit', 'sales', 'subscription'",'MyCali Designs',March 1 2018,Woodland US,5-10,Publicly,Post,Undisclosed,10,9,0,0,
'AI Driven Test Automation for all!',https://testsigma.com?ref=startuptracker,https://www.crunchbase.com/organization/testsigma-inc,'Testsigma',High company activity detected,"'other', 'startups', 'ai', 'software dev'","'other', 'desktop app', 'mobile app', 'service', 'web app'","'other', 'b2c', 'b2b', 'affiliation', 'freemium', 'subscription'",'Testsigma',August 27 2017,Delaware US,11-50,Publicly,Pre,Undisclosed,425,9,~19.2k,247.5k,
"'Plai, Align and focus your employees around what matters with the first free OKR tool. Set objectives, track progress and monitor dashboard!'",https://plai.team?ref=startuptracker,https://crunchbase.com/organization/plai-a8fd,'Plai',High company activity detected,"'analytics', 'productivity', 'hr and recruitment', 'startups'",'web app',"'b2b', 'free to use', 'freemium', 'subscription'","'Andriy Bas', 'Dima Kovalenko'",June 5 2019,Los Angeles US,5-10,Pre,Pre,Undisclosed,65,9,~17.9k,264.6k,
'Invest IRAs and old 401(k)s into cool things. Welcome to “21st century diversification”',https://www.rocketdollar.com?ref=startuptracker,https://www.crunchbase.com/organization/rocket-dollar,'Rocket Dollar',High company activity detected,'finance','service',"'b2c', 'b2b', 'affiliation', 'sales', 'subscription'","'Henry Yoshida, CFP®', 'Thomas Young', 'Richard Dude Jr.'",February 15 2018,Austin US,11-50,Privately,Pre,Undisclosed,898,9,~20.5k,231.9k,
'Production support for modern teams',https://fluxroll.com?ref=startuptracker,https://betalist.com/startups/fluxroll,'fluxroll',No recent company activity detected,"'startups', 'software dev'",'web app',"'b2b', 'subscription'",'Darshan Patil',June 1 2018,New York US,3,Publicly,Pre,Undisclosed,See,9,0,0,
"'In one simple step, the platform enables engineers to accurately price professional services and reduce time to scope a project'",https://scopestack.io?ref=startuptracker,https://startuptracker.io,'ScopeStack',No recent company activity detected,"'communication', 'consulting', 'sales', 'software dev'","'service', 'web app'","'b2b', 'subscription'","'ScopeStack', 'Jon Scott'",January 1 2018,"Greenville, SC US",4,Publicly,Post,Undisclosed,39,9,~3k,1.6m,
'We’re building a new kind of software that empowers people to make better decisions with data.',http://www.sisu.ai?ref=startuptracker,https://www.crunchbase.com/organization/sisu-data,'Sisu',High company activity detected,"'analytics', 'data', 'big data'",'web app',"'b2b', 'freemium', 'sales'",'Peter Bailis',May 15 2018,San Francisco US,11-50,Publicly,Pre,Undisclosed,1.3k,9,~4.3k,1.1m,
'MedBlox provides validation of Patient Identity across organizations.',https://MedBlox.io?ref=startuptracker,https://crunchbase.com/organization/medblox,'MedBlox',No recent company activity detected,"'biotech', 'health', 'blockchain', 'medical'",'other','other',"'Josh Maurer', 'Todd'",January 1 2018,Coralville US,4,Pre,Pre,Undisclosed,306,9,0,0,
'Create connections and scale your business with a more powerful and flexible online form builder.',https://www.mightyforms.com/?ref=startuptracker,https://www.crunchbase.com/organization/mightyforms,'MightyForms',High company activity detected,"'education', 'marketing', 'hr and recruitment', 'accounting and legal'","'service', 'web app'","'b2b', 'free to use', 'subscription'",'Bogdan Glushko',August 10 2018,Cleveland US,5-10,Privately,Pre,Undisclosed,205,9,~16.5k,287.9k,
'Basicly is a tool to help video makers get paid as soon as a project is completed.',https://basicly.io?ref=startuptracker,https://producthunt.com/posts/basicly,'Basicly',High company activity detected,"'media', 'startups', 'content', 'sales'",'service',"'b2c', 'b2b', 'subscription'",'Alex',May 6 2019,New York US,2,Pre,Pre,Undisclosed,218,9,0,0,
'Ubiquitous platform for standardizing and sharing operating procedures to increase performance and collaboration of diverse global teams.',https://keeni.space?ref=startuptracker,https://crunchbase.com/organization/keeni-space,'Keeni Procedures',Sourced by Startup Tracker,"'communication', 'productivity', 'ai', 'bots'","'service', 'web app'","'b2b', 'b2g', 'subscription'","'Keeni', 'SpotTune', 'TUNE', 'Eat Tune', 'a-tune', 'Aurora Forecast'",January 1 2019,Anchorage US,5-10,Privately,Pre,Undisclosed,5,9,~1k,4.5m,
'Custom Lead Research at Scale',https://getdatabees.com?ref=startuptracker,https://startuptracker.io,'DataBees',Sourced by Startup Tracker,'ai','web app',"'b2b', 'sales'",'Margaret',January 1 2017,San Francisco US,101-250,Publicly,Pre,Undisclosed,5,9,~4.6k,1m,
'Lolli lets you earn free bitcoin when you shop online.',http://www.lolli.com?ref=startuptracker,https://www.crunchbase.com/organization/lolli,'Lolli',High company activity detected,"'e commerce', 'travel', 'blockchain'","'mobile app', 'web app'","'b2c', 'free to use'","'Lolli 🍭', '§Alex Adelman 🍭', '§matt 🍭'",March 1 2018,New York US,5-10,Publicly,Pre,Undisclosed,61.3k,9,~235.6k,20.6k,
"'Cypress Homecare Solutions provides top quality, individualized & compassionate care to clients.'",http://www.cypresshomecare.com/?ref=startuptracker,https://startuptracker.io,'Cypress Home Care Solutions',High company activity detected,'startups','service',"'b2b', 'advertising'",,January 2 1988,Phoenix US,1,Publicly,Pre,Self,8.3m,9,~556,8.3m,
'Fun and flexible polling widget for your website',https://www.zigpoll.com?ref=startuptracker,https://www.crunchbase.com/organization/zigpoll,'Zigpoll',No recent company activity detected,"'analytics', 'e commerce', 'marketing', 'startups'",'web app',"'b2c', 'b2b', 'free to use', 'subscription'","'zigpoll', 'JQBX'",April 7 2019,New York US,1,Publicly,Pre,Self,11,9,~21.7k,219.2k,
"'We develop custom mobile applications, and websites. We offer a wide range of technical services within the private and public sectors.'",https://colorfuldots.com/?ref=startuptracker,https://www.crunchbase.com/organization/colorful-dots,"'Colorful Dots, LLC'",Low company activity detected,"'advertising', 'consulting', 'education', 'governmental'","'desktop app', 'mobile app', 'service', 'web app'","'b2c', 'b2b', 'b2g', 'sales'","'Colorful Dots, LLC', 'Eric David Smith'",March 26 2018,Brooklyn US,2,Publicly,Pre,Undisclosed,567,9,~20.4k,232.9k,
'Top-Rated 5 Minute fresh and original content Stories for Children that will spark intrigue for years to come.',https://www.trystoried.com?ref=startuptracker,https://startuptracker.io,'Try Storied App',No recent company activity detected,"'education', 'entertainment'","'mobile app', 'web app'","'non profit', 'free to use', 'freemium', 'subscription'",'Try Storied',February 1 2019,California US,5-10,Privately,Pre,Undisclosed,8,9,0,0,
'A free and accessible social network for written content and podcasts.',https://www.bawler.xyz/?ref=startuptracker,https://www.crunchbase.com/organization/bawler,'Bawler',No recent company activity detected,"'advertising', 'media', 'social networks', 'big data'","'mobile app', 'web app'","'other', 'free to use', 'advertising'",,January 24 2019,New York US,5-10,Pre,Pre,Undisclosed,3.2k,9,~669,6.9m,
"'Get real relief from chronic pain, depression'",https://www.ketamine-infusion.com/?ref=startuptracker,https://startuptracker.io,'Ketamine Infusion Centers',High company activity detected,'advertising','service',"'b2b', 'other'",,January 2 1988,Phoenix US,1,Publicly,Pre,Undisclosed,4.6m,9,~1k,4.6m,
'Robin modernizes the open office. The solution to the open office isn’t more walls. It’s activity-based working.',https://robinpowered.com?ref=startuptracker,https://www.crunchbase.com/organization/getrobin,'Robin',High company activity detected,"'other', 'hr and recruitment', 'startups', 'real estate'","'desktop app', 'mobile app', 'web app'","'b2b', 'sales'","'Zach Dunn', 'Sam Dunn'",March 1 2014,Boston US,51-100,Privately,Post,$29.1m,1.3k,9,~74.3k,64.6k,
"'Finding a family dental clinic near Corning, Bath, and Horseheads, NY'",https://www.fingerlakesfamilydental.com/?ref=startuptracker,https://startuptracker.io,'Finger Lakes Family Dental',No recent company activity detected,'advertising','service',"'b2c', 'other'","'Maria E. Marzo, DDS'",January 2 1988,Painted Post US,1,Publicly,Pre,Undisclosed,2,9,2,0,
"'We Buy Houses San Antonio, Cash For House San Antonio'",https://www.sellmysahousefast.com?ref=startuptracker,https://startuptracker.io,'Capstone Homebuyers',High company activity detected,"'other', 'advertising'",'service',"'b2b', 'other'",,January 2 1988,San Antonio US,1,Publicly,Pre,Undisclosed,8.4m,9,~551,8.4m,
'Technical Marketing Software products built to simplify inbound marketing for SMBs.',https://www.mktr.ai?ref=startuptracker,https://www.crunchbase.com/organization/mktr-ai,'MKTR.AI',No recent company activity detected,"'analytics', 'marketing', 'ai', 'content'","'desktop app', 'service', 'web app'","'b2b', 'other', 'sales'",'MKTR.AI',February 14 2018,san francisco US,5-10,Privately,Post,Undisclosed,203,9,~2.8k,1.7m,
'Siarum consolidates all your business tools into one single\xa0platform.',https://www.siarum.com/?ref=startuptracker,https://www.crunchbase.com/organization/siarum-communications-llc,"'Siarum Communications, LLC'",High company activity detected,'advertising','service',"'b2b', 'other'",,January 2 1988,Birmingham US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
'D&S Plumbing is family-owned and-operated company with over 20 years of experience.',https://www.dsplumbingrepair.com/?ref=startuptracker,https://startuptracker.io,'D & S Plumbing Repair',High company activity detected,'startups','service',"'b2b', 'free to use'",,January 1 1990,Locust Grove US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
"""Rosso's furniture of Gilroy and Morgan""",http://www.rosso.com?ref=startuptracker,https://startuptracker.io,"""Rosso's Furniture""",No recent company activity detected,'advertising','service',"'b2c', 'other'",'Applewild School',January 2 1988,Gilroy US,1,Publicly,Pre,Undisclosed,3.4m,9,~1.4k,3.4m,
"'At Healthy Solutions™, LLC we have years of experience'",http://www.healthysolutionsweb.com/?ref=startuptracker,https://startuptracker.io,'Healthy Solutions LLC',High company activity detected,'advertising','service',"'b2c', 'other'",,January 2 1988,Scottsdale US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"'Keep your cool no matter where you are in the Arlington, TX area. You can depend on the team at Williams Home Maintenance, Inc'",https://www.williamshm.com/?ref=startuptracker,https://startuptracker.io,"'Williams Home Maintenance, Inc'",No recent company activity detected,'startups','service',"'b2b', 'free to use'",'Jerry Franklin',January 1 1990,Pantego US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'We are a Michigan based company.\xa0 Since 1987',http://toarminapizza.com/?ref=startuptracker,https://startuptracker.io,'Toarminas Pizza',No recent company activity detected,'advertising','other',"'b2c', 'other'",'Applewild School',January 2 1988,Dearborn US,1,Publicly,Pre,Undisclosed,4m,9,~1.2k,4m,
'Mudrex helps anyone invest like an algorithmic trader',http://mudrex.com?ref=startuptracker,https://www.crunchbase.com/organization/mudrex,'Mudrex',High company activity detected,"'finance', 'sharing economy', 'startups', 'blockchain'","'service', 'web app'","'b2c', 'b2b', 'freemium', 'subscription'","'Rohit | rgoyal.eth 🦇🔊', 'PaxPlay'",January 7 2019,San Francisco US,11-50,Publicly,Pre,Undisclosed,2.3k,9,~63.3k,75.8k,
"'Vested Yeti is a new home for your web pages. Organize your web pages, share web pages with friends, and keep track of your web pages.'",http://www.vestedyeti.com?ref=startuptracker,https://www.crunchbase.com/organization/vested-yeti,'Vested Yeti',No recent company activity detected,"'other', 'productivity', 'social networks'","'other', 'web app'","'b2c', 'b2b', 'free to use', 'freemium'",'Carlo Tapia',April 23 2016,Sacramento US,2,Privately,Pre,Undisclosed,6,9,0,0,
"'Automated play testing for video games, AR and VR.'",http://GameDriver.io?ref=startuptracker,https://crunchbase.com/organization/gamedriver-inc,'GameDriver',High company activity detected,"'gaming', 'ar/vr'",'desktop app',"'b2b', 'sales', 'subscription'",'Shane Evans',May 28 2018,Martinez US,3,Privately,Pre,Self,49,9,~1.1k,4.3m,
"'At Schaefer’s Soft Water, we carry water softner systems that are approved for the state of Wisconsin'",http://schaeferssoftwater.com/?ref=startuptracker,https://startuptracker.io,'Schaefers Soft Water',No recent company activity detected,'advertising','service',"'b2b', 'other'",'Applewild School',January 2 1988,Watertown US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"'If you are facing criminal and family law issues, attorneys at Brabazon Law Office will help you to protect your legal rights'",http://www.brabazonlawoffice.com/?ref=startuptracker,https://startuptracker.io,'Brabazon Law Office LLC',No recent company activity detected,'startups','service',"'b2b', 'free to use'",'Brabazon Law Office',January 1 1990,Green Bay US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
"""Acorn Kitchen & Bath, one of Michigan's largest Kitchen and Bath design showrooms""",https://acornkitchen.com/?ref=startuptracker,https://startuptracker.io,'Acorn Kitchen & Bath',No recent company activity detected,'advertising','service',"'b2c', 'other'",'Applewild School',January 1 1988,Pontiac US,1,Publicly,Pre,Undisclosed,5.4m,9,~861,5.4m,
